open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-06 15:00:00,1.109,1.1532,1.071,1.1515,4639363.2,2024-12-06 15:14:59.999,5204614.53571,16001,2154311.4,2416109.91992,0
2024-12-06 15:15:00,1.1515,1.2574,1.1378,1.2414,10601710.7,2024-12-06 15:29:59.999,12896091.53605,42857,5110555.8,6223756.37087,0
2024-12-06 15:30:00,1.2403,1.2503,1.151,1.2151,6692350.4,2024-12-06 15:44:59.999,8072790.34381,27632,3133957.4,3785264.19431,0
2024-12-06 15:45:00,1.2151,1.2655,1.2066,1.25,6287041.4,2024-12-06 15:59:59.999,7801693.92144,27733,3259529.7,4046430.40417,0
2024-12-06 16:00:00,1.2489,1.3175,1.2415,1.2882,11332816.2,2024-12-06 16:14:59.999,14578581.54246,47866,5890146.4,7582887.45772,0
2024-12-06 16:15:00,1.2882,1.2921,1.2004,1.25,9799881.0,2024-12-06 16:29:59.999,12157906.25049,43384,4421027.0,5484210.74682,0
2024-12-06 16:30:00,1.25,1.2581,1.2083,1.2423,4234536.6,2024-12-06 16:44:59.999,5222849.33963,26545,2011690.5,2481261.79115,0
2024-12-06 16:45:00,1.2423,1.2666,1.2127,1.2392,4956615.5,2024-12-06 16:59:59.999,6163037.3616,32379,2337420.9,2908042.96542,0
2024-12-06 17:00:00,1.239,1.275,1.2121,1.2501,5244279.1,2024-12-06 17:14:59.999,6541473.99359,36882,2556397.4,3189369.25482,0
2024-12-06 17:15:00,1.2506,1.2567,1.1656,1.1766,5748125.9,2024-12-06 17:29:59.999,6964918.38946,30595,2535432.1,3073254.14416,0
2024-12-06 17:30:00,1.1766,1.1932,1.1283,1.1528,6439009.6,2024-12-06 17:44:59.999,7469920.17155,33443,3262565.3,3788009.68153,0
2024-12-06 17:45:00,1.153,1.1646,1.0838,1.1392,8914912.0,2024-12-06 17:59:59.999,10026992.98559,45823,4346054.4,4894835.30114,0
2024-12-06 18:00:00,1.1388,1.14,1.0941,1.1174,4884170.4,2024-12-06 18:14:59.999,5457733.77854,29193,2571764.1,2871927.97563,0
2024-12-06 18:15:00,1.1174,1.141,1.099,1.1381,2679197.4,2024-12-06 18:29:59.999,2999810.06588,18452,1515103.3,1697727.15939,0
2024-12-06 18:30:00,1.1385,1.1449,1.1086,1.117,3259238.2,2024-12-06 18:44:59.999,3672625.11784,21547,1670492.9,1883382.5105,0
2024-12-06 18:45:00,1.117,1.1354,1.115,1.126,1720355.8,2024-12-06 18:59:59.999,1937439.7479,14361,881495.5,992768.23377,0
2024-12-06 19:00:00,1.1261,1.1386,1.1065,1.1212,2737427.2,2024-12-06 19:14:59.999,3074838.74562,22181,1305269.4,1467399.25624,0
2024-12-06 19:15:00,1.1212,1.1246,1.08,1.1043,3982213.7,2024-12-06 19:29:59.999,4383985.36975,27836,1921572.6,2116364.92201,0
2024-12-06 19:30:00,1.1044,1.1044,1.084,1.0931,2011329.5,2024-12-06 19:44:59.999,2196853.60418,16533,1003845.0,1096628.01479,0
2024-12-06 19:45:00,1.0931,1.1226,1.0901,1.1107,2167092.8,2024-12-06 19:59:59.999,2401645.95129,17515,1111553.1,1232309.24482,0
2024-12-06 20:00:00,1.1106,1.138,1.1,1.1252,3725828.6,2024-12-06 20:14:59.999,4200330.53882,26375,1939353.9,2187212.08959,0
2024-12-06 20:15:00,1.1257,1.1335,1.115,1.127,1466625.4,2024-12-06 20:29:59.999,1648622.94358,12724,797623.5,896807.72119,0
2024-12-06 20:30:00,1.1272,1.1428,1.1142,1.1167,2489174.9,2024-12-06 20:44:59.999,2810719.44275,21485,1202699.0,1359018.10082,0
2024-12-06 20:45:00,1.1161,1.1164,1.09,1.0962,2049932.9,2024-12-06 20:59:59.999,2261040.13528,12274,800564.4,883300.61799,0
2024-12-06 21:00:00,1.0962,1.1115,1.0878,1.0926,1564728.4,2024-12-06 21:14:59.999,1717502.32327,13575,689722.7,757889.23095,0
2024-12-06 21:15:00,1.093,1.1055,1.0895,1.1021,1455288.7,2024-12-06 21:29:59.999,1597754.45602,9257,719934.0,790419.6902,0
2024-12-06 21:30:00,1.1014,1.1043,1.0484,1.0625,5448689.1,2024-12-06 21:44:59.999,5811639.62978,28105,2152652.2,2297133.29352,0
2024-12-06 21:45:00,1.0624,1.08,1.048,1.0727,2664003.2,2024-12-06 21:59:59.999,2818969.8617,17018,1232784.0,1306290.9644,0
2024-12-06 22:00:00,1.0731,1.0824,1.0563,1.0613,1835981.6,2024-12-06 22:14:59.999,1967789.62197,13711,838815.3,899515.62509,0
2024-12-06 22:15:00,1.0617,1.0958,1.061,1.0798,2057684.3,2024-12-06 22:29:59.999,2226202.97947,13091,1050071.3,1136117.53137,0
2024-12-06 22:30:00,1.0802,1.1038,1.0792,1.0941,1749585.5,2024-12-06 22:44:59.999,1914353.92875,11599,868283.7,950329.33997,0
2024-12-06 22:45:00,1.0941,1.1255,1.0918,1.125,1448999.4,2024-12-06 22:59:59.999,1605156.6892,11799,781998.8,866790.31885,0
2024-12-06 23:00:00,1.1243,1.1254,1.08,1.084,2632085.9,2024-12-06 23:14:59.999,2888007.18454,14877,1026078.4,1126102.30107,0
2024-12-06 23:15:00,1.0834,1.1066,1.07,1.0826,1876003.6,2024-12-06 23:29:59.999,2038748.39357,12387,886079.6,964256.41201,0
2024-12-06 23:30:00,1.083,1.0849,1.0383,1.0653,4240638.0,2024-12-06 23:44:59.999,4494196.13735,22690,1839438.0,1951604.86003,0
2024-12-06 23:45:00,1.0657,1.0959,1.057,1.0849,2150095.0,2024-12-06 23:59:59.999,2315895.84504,15053,1039144.1,1119994.82695,0
2024-12-07 00:00:00,1.0849,1.1126,1.0694,1.1053,2091985.1,2024-12-07 00:14:59.999,2295371.0458,15472,1058452.0,1161603.07114,0
2024-12-07 00:15:00,1.1053,1.1092,1.0742,1.0972,1770220.0,2024-12-07 00:29:59.999,1934161.80869,12658,801595.7,875348.58887,0
2024-12-07 00:30:00,1.0975,1.111,1.0866,1.1024,1323861.9,2024-12-07 00:44:59.999,1456250.38401,10614,740829.0,814973.09862,0
2024-12-07 00:45:00,1.1028,1.1148,1.0863,1.1078,1496705.7,2024-12-07 00:59:59.999,1648041.52021,12066,726352.2,800198.15913,0
2024-12-07 01:00:00,1.1073,1.1369,1.0843,1.1109,4601302.1,2024-12-07 01:14:59.999,5125637.63422,28392,2128073.8,2375094.67133,0
2024-12-07 01:15:00,1.1109,1.1117,1.0865,1.0901,1713244.6,2024-12-07 01:29:59.999,1882167.58565,13329,715200.3,785615.14431,0
2024-12-07 01:30:00,1.09,1.1173,1.056,1.0983,4001226.5,2024-12-07 01:44:59.999,4355966.53704,21538,2215522.5,2417788.33261,0
2024-12-07 01:45:00,1.098,1.116,1.0954,1.1084,1577006.9,2024-12-07 01:59:59.999,1747671.44359,9950,830910.1,920893.32441,0
2024-12-07 02:00:00,1.1077,1.1077,1.04,1.0891,4442180.8,2024-12-07 02:14:59.999,4775317.93301,21746,1816029.2,1961039.07549,0
