open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-23 17:00:00,0.087,0.0895,0.085,0.0868,90615846,2025-01-23 17:14:59.999,7864151.5971,18640,49619102,4308994.7683,0
2025-01-23 17:15:00,0.0868,0.0907,0.0852,0.0895,107438318,2025-01-23 17:29:59.999,9471405.5568,20352,63520643,5613382.0255,0
2025-01-23 17:30:00,0.0896,0.0938,0.0874,0.0921,164804296,2025-01-23 17:44:59.999,15032445.8128,33981,88450249,8073515.9617,0
2025-01-23 17:45:00,0.0921,0.0948,0.0918,0.0937,161454178,2025-01-23 17:59:59.999,15091193.0991,40896,78361677,7330527.0526,0
2025-01-23 18:00:00,0.0937,0.0945,0.09,0.0913,136662519,2025-01-23 18:14:59.999,12511685.2241,35487,66427878,6084896.5198,0
2025-01-23 18:15:00,0.0913,0.0935,0.0892,0.0924,115429888,2025-01-23 18:29:59.999,10566437.9154,33391,56306134,5158433.0963,0
2025-01-23 18:30:00,0.0923,0.094,0.0906,0.0916,94515078,2025-01-23 18:44:59.999,8713107.1038,28407,46213605,4262455.6962,0
2025-01-23 18:45:00,0.0916,0.0917,0.0881,0.0905,131395400,2025-01-23 18:59:59.999,11788997.8741,37218,62419294,5602578.3542,0
2025-01-23 19:00:00,0.0904,0.0923,0.089,0.0913,99176530,2025-01-23 19:14:59.999,8950369.905,26600,48874835,4414834.9201,0
2025-01-23 19:15:00,0.0912,0.0914,0.0888,0.0896,98421332,2025-01-23 19:29:59.999,8848936.2012,22456,46937812,4222734.6935,0
2025-01-23 19:30:00,0.0897,0.0901,0.0835,0.0846,202921359,2025-01-23 19:44:59.999,17438416.6901,42841,94922190,8155013.4356,0
2025-01-23 19:45:00,0.0846,0.0856,0.0816,0.0839,163685920,2025-01-23 19:59:59.999,13733520.876,32032,77170213,6477017.2778,0
2025-01-23 20:00:00,0.0839,0.0848,0.0813,0.0842,184541729,2025-01-23 20:14:59.999,15293900.8667,37009,94366457,7823702.2998,0
2025-01-23 20:15:00,0.0842,0.0857,0.083,0.0852,80606026,2025-01-23 20:29:59.999,6813001.8041,18302,38652827,3269342.1089,0
2025-01-23 20:30:00,0.0851,0.0862,0.0835,0.0853,92036484,2025-01-23 20:44:59.999,7834907.9443,19394,48620213,4142266.1739,0
