open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-13 13:00:00,3.0866,3.3307,3.0217,3.204,3324733.2,2024-12-13 13:14:59.999,10692574.65923,47157,1638128.0,5268839.91751,0
2024-12-13 13:15:00,3.2057,3.345,3.1474,3.2657,4016893.4,2024-12-13 13:29:59.999,13076909.19462,51250,1938850.7,6312483.07537,0
2024-12-13 13:30:00,3.2655,3.325,2.965,3.0423,6024329.8,2024-12-13 13:44:59.999,18693745.01596,77320,2712476.3,8416541.63168,0
2024-12-13 13:45:00,3.0413,3.0655,2.925,2.9937,3097729.0,2024-12-13 13:59:59.999,9306125.45995,47689,1468293.7,4414572.42961,0
2024-12-13 14:00:00,2.9922,3.02,2.858,2.9913,3480996.9,2024-12-13 14:14:59.999,10203867.07084,51439,1694483.6,4973197.29586,0
2024-12-13 14:15:00,2.9912,3.0635,2.9581,3.0211,1896642.8,2024-12-13 14:29:59.999,5726402.68988,32402,969783.0,2929180.8773,0
2024-12-13 14:30:00,3.0224,3.1724,2.9959,3.1227,2345750.5,2024-12-13 14:44:59.999,7281471.24792,35198,1168524.8,3625743.65732,0
2024-12-13 14:45:00,3.1224,3.1668,2.997,3.0349,2209390.9,2024-12-13 14:59:59.999,6760075.60429,31674,1030811.9,3155649.75338,0
2024-12-13 15:00:00,3.0349,3.0879,2.952,3.0009,1635104.3,2024-12-13 15:14:59.999,4918573.01365,23727,836624.9,2517958.50767,0
2024-12-13 15:15:00,3.0003,3.0397,2.9689,3.0032,1004482.2,2024-12-13 15:29:59.999,3020022.96646,16466,504209.6,1516483.48658,0
2024-12-13 15:30:00,3.004,3.0659,2.8738,2.9209,2046578.8,2024-12-13 15:44:59.999,6111272.08837,29984,918727.5,2747726.89252,0
2024-12-13 15:45:00,2.9209,2.9699,2.7978,2.8351,3019391.7,2024-12-13 15:59:59.999,8714652.31668,44111,1455576.4,4204698.41054,0
2024-12-13 16:00:00,2.8348,2.9063,2.703,2.7493,4381690.4,2024-12-13 16:14:59.999,12329841.13539,54936,2271029.1,6399830.6648,0
2024-12-13 16:15:00,2.75,2.8,2.7111,2.7483,2197600.5,2024-12-13 16:29:59.999,6057915.33881,34142,1122077.3,3094957.16032,0
2024-12-13 16:30:00,2.7483,2.8666,2.7483,2.8015,1874827.4,2024-12-13 16:44:59.999,5262855.03197,30357,997966.4,2800494.46538,0
2024-12-13 16:45:00,2.8002,2.8355,2.7529,2.7679,927878.5,2024-12-13 16:59:59.999,2595569.49971,13366,419000.7,1173146.64747,0
2024-12-13 17:00:00,2.7671,2.8104,2.734,2.79,915990.2,2024-12-13 17:14:59.999,2540492.58378,12414,524966.0,1456619.56029,0
2024-12-13 17:15:00,2.7891,2.7896,2.5523,2.5936,3279216.5,2024-12-13 17:29:59.999,8727620.00936,51322,1388869.4,3699799.00983,0
2024-12-13 17:30:00,2.595,2.633,2.4226,2.5389,4541317.5,2024-12-13 17:44:59.999,11447407.73728,59754,2157160.7,5441256.7672,0
2024-12-13 17:45:00,2.539,2.5435,2.338,2.4848,3345783.7,2024-12-13 17:59:59.999,8142213.85921,43066,1470336.4,3583150.33809,0
2024-12-13 18:00:00,2.4845,2.5567,2.3912,2.5498,2660850.4,2024-12-13 18:14:59.999,6566884.67483,37990,1423883.3,3519315.35348,0
2024-12-13 18:15:00,2.5486,2.5514,2.3744,2.4478,1984032.2,2024-12-13 18:29:59.999,4848981.83395,28081,961896.0,2350895.71887,0
2024-12-13 18:30:00,2.4476,2.55,2.426,2.4979,2365164.2,2024-12-13 18:44:59.999,5896706.31498,35341,1214250.7,3028566.36314,0
2024-12-13 18:45:00,2.4988,2.5406,2.42,2.5059,1906281.4,2024-12-13 18:59:59.999,4734413.85366,27664,932378.3,2316978.17497,0
2024-12-13 19:00:00,2.5041,2.645,2.5036,2.573,2467236.1,2024-12-13 19:14:59.999,6379185.87787,35516,1263960.3,3268663.86165,0
2024-12-13 19:15:00,2.5729,2.597,2.3952,2.4576,2949925.2,2024-12-13 19:29:59.999,7361965.15309,35205,1474212.4,3685932.9071,0
2024-12-13 19:30:00,2.4571,2.4938,2.4358,2.4711,981568.8,2024-12-13 19:44:59.999,2420734.63084,15098,508377.7,1254515.05659,0
2024-12-13 19:45:00,2.4711,2.4744,2.4299,2.4361,667074.3,2024-12-13 19:59:59.999,1637536.55564,9626,282588.7,694239.18931,0
2024-12-13 20:00:00,2.4382,2.4599,2.3381,2.4022,2320206.2,2024-12-13 20:14:59.999,5573615.05076,29358,1074108.1,2583046.99723,0
2024-12-13 20:15:00,2.4039,2.4578,2.311,2.3867,2583599.0,2024-12-13 20:29:59.999,6147490.15118,34396,1358664.4,3237496.47604,0
2024-12-13 20:30:00,2.388,2.417,2.3722,2.4012,682046.7,2024-12-13 20:44:59.999,1634742.25925,9820,339761.4,814686.11351,0
2024-12-13 20:45:00,2.4024,2.4803,2.3914,2.4609,1012446.6,2024-12-13 20:59:59.999,2472192.11614,13252,568245.4,1387955.15806,0
2024-12-13 21:00:00,2.4633,2.4634,2.3723,2.4063,981886.6,2024-12-13 21:14:59.999,2371822.43624,12630,453018.5,1094561.11798,0
2024-12-13 21:15:00,2.4031,2.49,2.3945,2.4855,621676.5,2024-12-13 21:29:59.999,1518250.00486,8483,359784.2,879834.83875,0
2024-12-13 21:30:00,2.4873,2.5301,2.4472,2.4933,1136068.6,2024-12-13 21:44:59.999,2824552.0209,15451,564944.1,1405789.50483,0
2024-12-13 21:45:00,2.4949,2.5464,2.4467,2.4669,1554338.3,2024-12-13 21:59:59.999,3887079.43336,20331,714423.7,1786786.82257,0
2024-12-13 22:00:00,2.4688,2.5,2.4221,2.4412,654869.8,2024-12-13 22:14:59.999,1612455.8403,9165,287476.9,707968.4605,0
2024-12-13 22:15:00,2.4412,2.476,2.4327,2.4439,495176.7,2024-12-13 22:29:59.999,1216069.77696,7921,250663.2,615837.29271,0
2024-12-13 22:30:00,2.4442,2.5179,2.42,2.487,542759.3,2024-12-13 22:44:59.999,1337250.09684,8175,292410.4,721479.75848,0
2024-12-13 22:45:00,2.4873,2.5147,2.4583,2.5047,506155.4,2024-12-13 22:59:59.999,1258726.84277,9110,262945.4,654608.39146,0
2024-12-13 23:00:00,2.5047,2.522,2.4732,2.5103,367493.3,2024-12-13 23:14:59.999,919624.80595,7454,184486.7,461822.59549,0
2024-12-13 23:15:00,2.5105,2.55,2.4891,2.5011,710145.2,2024-12-13 23:29:59.999,1791631.33445,12511,349673.5,882498.41647,0
2024-12-13 23:30:00,2.5004,2.5205,2.4824,2.4858,454101.5,2024-12-13 23:44:59.999,1133672.58868,8143,256654.9,641031.5595,0
2024-12-13 23:45:00,2.4859,2.4901,2.4416,2.4591,608690.3,2024-12-13 23:59:59.999,1501001.68846,10897,297061.9,732855.02441,0
2024-12-14 00:00:00,2.46,2.4989,2.3801,2.3836,982470.6,2024-12-14 00:14:59.999,2389510.6404,15729,411256.3,1002282.64969,0
2024-12-14 00:15:00,2.3829,2.416,2.3229,2.3974,1124637.7,2024-12-14 00:29:59.999,2676323.73276,19388,550328.4,1311454.02909,0
2024-12-14 00:30:00,2.397,2.43,2.3668,2.4006,852889.2,2024-12-14 00:44:59.999,2044810.55984,15827,437674.1,1050104.45491,0
2024-12-14 00:45:00,2.401,2.42,2.3666,2.3969,400396.7,2024-12-14 00:59:59.999,958322.77825,8169,204723.1,490329.72543,0
2024-12-14 01:00:00,2.397,2.4123,2.2104,2.2245,1821016.1,2024-12-14 01:14:59.999,4193688.69311,25507,643158.4,1486146.81505,0
2024-12-14 01:15:00,2.225,2.2675,2.2,2.2374,1569396.6,2024-12-14 01:29:59.999,3514582.37195,21600,799315.9,1793164.6411,0
2024-12-14 01:30:00,2.2383,2.2676,2.13,2.2563,3604582.2,2024-12-14 01:44:59.999,7897820.43757,44941,1789365.0,3925189.62776,0
2024-12-14 01:45:00,2.2564,2.3211,2.2392,2.3009,1865325.1,2024-12-14 01:59:59.999,4277087.86351,23848,908619.8,2084766.78172,0
2024-12-14 02:00:00,2.3013,2.3292,2.2649,2.2823,1081324.5,2024-12-14 02:14:59.999,2480284.8018,11990,601262.9,1379458.38026,0
