open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-05-13 12:30:00,0.5045,0.5118,0.4825,0.498,13748668,2024-05-13 12:44:59.999,6814203.4065,25492,6747711,3349457.5803,0
2024-05-13 12:45:00,0.498,0.5039,0.4731,0.4773,18531635,2024-05-13 12:59:59.999,8963934.095,37662,8506742,4119905.6624,0
2024-05-13 13:00:00,0.477,0.4826,0.456,0.4603,24641622,2024-05-13 13:14:59.999,11470039.0586,42961,12069993,5622460.5702,0
2024-05-13 13:15:00,0.4606,0.4743,0.46,0.4728,14952973,2024-05-13 13:29:59.999,6985483.295,34036,7987747,3734167.1164,0
2024-05-13 13:30:00,0.4724,0.493,0.4679,0.4849,23249727,2024-05-13 13:44:59.999,11211907.6502,48175,12360940,5962455.4482,0
2024-05-13 13:45:00,0.4849,0.4877,0.4681,0.4727,13374973,2024-05-13 13:59:59.999,6357041.4322,35536,6461165,3071799.4516,0
2024-05-13 14:00:00,0.4728,0.4838,0.4607,0.468,15382348,2024-05-13 14:14:59.999,7225316.2894,36732,7840101,3686634.4683,0
2024-05-13 14:15:00,0.4679,0.4736,0.4621,0.469,10416893,2024-05-13 14:29:59.999,4870694.4983,23955,5482340,2564505.1696,0
2024-05-13 14:30:00,0.469,0.4759,0.464,0.4672,9315057,2024-05-13 14:44:59.999,4384302.7386,21413,4787012,2254357.5282,0
2024-05-13 14:45:00,0.467,0.4868,0.4611,0.4807,18536017,2024-05-13 14:59:59.999,8799683.2854,37945,9592783,4557478.9163,0
2024-05-13 15:00:00,0.4807,0.4838,0.4735,0.48,11469101,2024-05-13 15:14:59.999,5489917.2695,23857,5341639,2558196.1501,0
2024-05-13 15:15:00,0.4798,0.486,0.4722,0.4837,12094764,2024-05-13 15:29:59.999,5804939.6571,35948,5847461,2807835.1462,0
2024-05-13 15:30:00,0.4837,0.5,0.4836,0.4934,19665089,2024-05-13 15:44:59.999,9690083.3992,43669,10815067,5331366.6597,0
2024-05-13 15:45:00,0.4933,0.4996,0.477,0.4784,16193248,2024-05-13 15:59:59.999,7884405.9688,36019,7663621,3732358.2594,0
2024-05-13 16:00:00,0.4784,0.4812,0.466,0.474,18351088,2024-05-13 16:14:59.999,8674455.0692,31134,9300504,4398686.575,0
2024-05-13 16:15:00,0.4739,0.4766,0.46,0.4705,15240070,2024-05-13 16:29:59.999,7131186.282,24917,7169715,3357465.4498,0
2024-05-13 16:30:00,0.4705,0.4705,0.4436,0.4502,25290270,2024-05-13 16:44:59.999,11477272.9763,39180,11541981,5232073.8999,0
2024-05-13 16:45:00,0.4502,0.4506,0.4263,0.4328,29117221,2024-05-13 16:59:59.999,12679401.6943,46379,13999518,6094165.9612,0
2024-05-13 17:00:00,0.4329,0.4429,0.4202,0.4279,27075863,2024-05-13 17:14:59.999,11653816.1822,43755,13804086,5946463.5957,0
2024-05-13 17:15:00,0.4279,0.4362,0.4235,0.4295,13227156,2024-05-13 17:29:59.999,5694267.6257,24805,6780788,2921398.7227,0
2024-05-13 17:30:00,0.4291,0.4402,0.425,0.4343,12709539,2024-05-13 17:44:59.999,5513349.4434,26550,6755478,2931855.1509,0
2024-05-13 17:45:00,0.434,0.436,0.4311,0.4346,5652698,2024-05-13 17:59:59.999,2450819.8872,10646,3119353,1353213.8277,0
2024-05-13 18:00:00,0.4343,0.435,0.4115,0.4145,21387234,2024-05-13 18:14:59.999,8959144.7537,34148,9558715,4003474.0686,0
2024-05-13 18:15:00,0.4144,0.4222,0.4036,0.4199,26526162,2024-05-13 18:29:59.999,10927928.1719,39357,13769175,5676792.2391,0
2024-05-13 18:30:00,0.4198,0.4252,0.413,0.4219,14381513,2024-05-13 18:44:59.999,6043334.5555,28161,7584796,3188878.349,0
2024-05-13 18:45:00,0.4218,0.4386,0.4178,0.4295,17366959,2024-05-13 18:59:59.999,7475268.5944,39382,9411532,4053259.3051,0
2024-05-13 19:00:00,0.4296,0.4369,0.4256,0.4285,7849099,2024-05-13 19:14:59.999,3389451.2294,18284,3954710,1709188.8323,0
2024-05-13 19:15:00,0.4286,0.433,0.4214,0.423,7838760,2024-05-13 19:29:59.999,3342774.0462,17819,3660826,1562314.6971,0
2024-05-13 19:30:00,0.423,0.4327,0.4164,0.4284,9017368,2024-05-13 19:44:59.999,3827591.1053,19629,4814089,2045139.1598,0
2024-05-13 19:45:00,0.4284,0.4336,0.4257,0.4268,6245520,2024-05-13 19:59:59.999,2686807.9584,13595,2938011,1264783.739,0
2024-05-13 20:00:00,0.4271,0.433,0.4247,0.429,5710823,2024-05-13 20:14:59.999,2454053.2608,11927,2806998,1206549.0289,0
2024-05-13 20:15:00,0.429,0.4298,0.4179,0.4198,7484401,2024-05-13 20:29:59.999,3161655.1108,15994,3587668,1515992.2696,0
2024-05-13 20:30:00,0.4198,0.4253,0.4194,0.4218,4030957,2024-05-13 20:44:59.999,1703986.7482,9790,2178539,921288.4194,0
2024-05-13 20:45:00,0.4217,0.4228,0.415,0.4179,5782464,2024-05-13 20:59:59.999,2424588.8036,12632,2775049,1164524.4681,0
2024-05-13 21:00:00,0.418,0.4233,0.4113,0.4168,7106312,2024-05-13 21:14:59.999,2965633.9819,15330,3610712,1507932.9939,0
2024-05-13 21:15:00,0.4167,0.418,0.4022,0.4055,12090088,2024-05-13 21:29:59.999,4943940.6438,24072,5575498,2282062.6271,0
