open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-03 12:15:00,0.7263,0.7924,0.721,0.7884,13331720,2025-01-03 12:29:59.999,10265920.1234,36229,6404031,4936273.8256,0
2025-01-03 12:30:00,0.788,0.8463,0.7752,0.8136,29992999,2025-01-03 12:44:59.999,24510437.7383,75067,14760805,12069648.9636,0
2025-01-03 12:45:00,0.8139,0.9078,0.8117,0.882,51624192,2025-01-03 12:59:59.999,44580357.7431,119230,26698341,23097351.6429,0
2025-01-03 13:00:00,0.8814,0.906,0.8566,0.8987,42465048,2025-01-03 13:14:59.999,37368417.2405,98762,20583926,18127258.8582,0
2025-01-03 13:15:00,0.8984,0.9094,0.823,0.849,49684706,2025-01-03 13:29:59.999,42202687.6228,112629,23706293,20120490.2362,0
2025-01-03 13:30:00,0.849,0.8538,0.8124,0.8332,24924262,2025-01-03 13:44:59.999,20709808.6576,72215,12047363,10014170.0519,0
2025-01-03 13:45:00,0.8332,0.8531,0.8242,0.8432,15932298,2025-01-03 13:59:59.999,13387660.1843,46559,8179812,6877150.2814,0
2025-01-03 14:00:00,0.8433,0.8452,0.8036,0.809,22056357,2025-01-03 14:14:59.999,18119151.1394,65804,9587887,7879349.2027,0
2025-01-03 14:15:00,0.8091,0.8109,0.7738,0.7939,40422781,2025-01-03 14:29:59.999,31918788.4831,100260,19831558,15656615.7716,0
2025-01-03 14:30:00,0.7937,0.8115,0.7642,0.7864,33251871,2025-01-03 14:44:59.999,26157535.4807,88421,16663163,13119141.6424,0
2025-01-03 14:45:00,0.7864,0.8157,0.786,0.813,21925572,2025-01-03 14:59:59.999,17648217.9526,75282,11559042,9305050.4593,0
2025-01-03 15:00:00,0.813,0.8254,0.8,0.8116,17437028,2025-01-03 15:14:59.999,14146043.8938,61030,8492130,6891503.0161,0
2025-01-03 15:15:00,0.8116,0.813,0.788,0.7995,17623891,2025-01-03 15:29:59.999,14135422.0,55443,8088250,6483843.0706,0
2025-01-03 15:30:00,0.7995,0.8154,0.79,0.8067,14683049,2025-01-03 15:44:59.999,11815728.3399,35988,7998415,6437195.5528,0
2025-01-03 15:45:00,0.8068,0.8499,0.8066,0.8483,30991638,2025-01-03 15:59:59.999,25683729.2262,66940,17223878,14277829.688,0
2025-01-03 16:00:00,0.8483,0.8679,0.8353,0.8451,36212898,2025-01-03 16:14:59.999,30785915.1422,94470,17624104,14993154.9926,0
2025-01-03 16:15:00,0.8452,0.85,0.8266,0.828,17481604,2025-01-03 16:29:59.999,14619674.4653,51559,8480059,7092800.906,0
2025-01-03 16:30:00,0.8279,0.8444,0.8155,0.8372,19817103,2025-01-03 16:44:59.999,16474995.0352,60298,9998045,8314704.9623,0
2025-01-03 16:45:00,0.8372,0.8527,0.8352,0.8365,14275017,2025-01-03 16:59:59.999,12036855.0788,47719,7197873,6072130.9232,0
2025-01-03 17:00:00,0.8363,0.845,0.8251,0.8355,10836609,2025-01-03 17:14:59.999,9050022.3888,36729,5149108,4302094.3443,0
2025-01-03 17:15:00,0.8354,0.8459,0.8353,0.8405,8081160,2025-01-03 17:29:59.999,6796792.9781,27182,3989857,3356689.3731,0
2025-01-03 17:30:00,0.8404,0.8539,0.839,0.8398,11596507,2025-01-03 17:44:59.999,9794789.9088,34493,5881864,4970139.0731,0
2025-01-03 17:45:00,0.8398,0.8418,0.8326,0.8391,7696383,2025-01-03 17:59:59.999,6441172.94,23818,3887039,3254325.7041,0
2025-01-03 18:00:00,0.8391,0.8441,0.8192,0.8271,13102843,2025-01-03 18:14:59.999,10914190.6376,40424,6020554,5019489.7406,0
2025-01-03 18:15:00,0.827,0.8348,0.8265,0.8313,6493731,2025-01-03 18:29:59.999,5392346.1248,24641,3343090,2776559.0266,0
2025-01-03 18:30:00,0.8314,0.834,0.7968,0.8104,19949849,2025-01-03 18:44:59.999,16212449.3856,62248,8336813,6780534.4316,0
2025-01-03 18:45:00,0.8105,0.8135,0.7777,0.7998,16415969,2025-01-03 18:59:59.999,13040693.6189,58595,7514705,5972244.1019,0
2025-01-03 19:00:00,0.7998,0.81,0.7916,0.8038,11794991,2025-01-03 19:14:59.999,9450041.3061,42781,5654288,4531447.2779,0
2025-01-03 19:15:00,0.8038,0.81,0.795,0.8076,8168501,2025-01-03 19:29:59.999,6562981.9118,27282,4106709,3299804.9344,0
2025-01-03 19:30:00,0.8074,0.808,0.7959,0.8065,5858698,2025-01-03 19:44:59.999,4703853.6734,20002,2805998,2253016.2547,0
2025-01-03 19:45:00,0.8065,0.807,0.79,0.8011,7056475,2025-01-03 19:59:59.999,5636103.0187,23073,3306006,2641328.9863,0
2025-01-03 20:00:00,0.801,0.8021,0.7851,0.7945,7537359,2025-01-03 20:14:59.999,5992904.2147,27781,3817937,3036699.2579,0
2025-01-03 20:15:00,0.7943,0.8068,0.7918,0.7989,9191796,2025-01-03 20:29:59.999,7349182.9881,31180,4592215,3672910.527,0
2025-01-03 20:30:00,0.799,0.827,0.7973,0.826,11306231,2025-01-03 20:44:59.999,9195819.6907,37174,6171090,5019663.9267,0
2025-01-03 20:45:00,0.8259,0.831,0.8171,0.8189,10928491,2025-01-03 20:59:59.999,9005210.6041,32791,5087897,4195948.9157,0
2025-01-03 21:00:00,0.8189,0.8297,0.8115,0.814,7520683,2025-01-03 21:14:59.999,6166106.2804,24825,3611617,2961759.0971,0
2025-01-03 21:15:00,0.8138,0.8151,0.8032,0.8083,5967698,2025-01-03 21:29:59.999,4826547.4648,20665,2878623,2328417.4271,0
2025-01-03 21:30:00,0.8084,0.8121,0.8002,0.8052,4045646,2025-01-03 21:44:59.999,3265308.7758,15097,1796497,1450723.3473,0
2025-01-03 21:45:00,0.8051,0.8242,0.8046,0.8173,5401332,2025-01-03 21:59:59.999,4407252.3519,19646,2744592,2239319.0384,0
2025-01-03 22:00:00,0.8173,0.8175,0.8048,0.8144,5423693,2025-01-03 22:14:59.999,4406711.011,19405,2684633,2182086.25,0
2025-01-03 22:15:00,0.8142,0.8295,0.814,0.8181,6712882,2025-01-03 22:29:59.999,5529544.2858,25320,3470780,2859645.6443,0
2025-01-03 22:30:00,0.8183,0.829,0.817,0.8224,5189635,2025-01-03 22:44:59.999,4281227.779,18800,2536781,2093152.7854,0
2025-01-03 22:45:00,0.8222,0.8369,0.8164,0.8251,7253048,2025-01-03 22:59:59.999,6004183.6936,27142,3478861,2882272.3622,0
2025-01-03 23:00:00,0.8252,0.8278,0.8074,0.8213,7768352,2025-01-03 23:14:59.999,6348536.9229,30313,3606356,2948074.8347,0
2025-01-03 23:15:00,0.8215,0.8262,0.8001,0.8063,7879782,2025-01-03 23:29:59.999,6391740.1283,30503,3577712,2904014.08,0
2025-01-03 23:30:00,0.8063,0.8156,0.8031,0.8113,5128536,2025-01-03 23:44:59.999,4151126.3407,18738,2542384,2058558.8187,0
2025-01-03 23:45:00,0.8113,0.8196,0.8013,0.8147,6325740,2025-01-03 23:59:59.999,5125737.3484,22410,3265498,2647265.612,0
2025-01-04 00:00:00,0.8148,0.8185,0.8074,0.8155,5824806,2025-01-04 00:14:59.999,4736445.4012,20685,2569802,2089756.9026,0
2025-01-04 00:15:00,0.8155,0.8185,0.8062,0.8156,4751117,2025-01-04 00:29:59.999,3855020.5032,17157,2626517,2131982.5398,0
2025-01-04 00:30:00,0.8154,0.863,0.8146,0.8475,26812666,2025-01-04 00:44:59.999,22646104.9271,97249,14329109,12100184.6854,0
2025-01-04 00:45:00,0.8481,0.8678,0.8293,0.8338,19242903,2025-01-04 00:59:59.999,16404441.0999,77126,8759678,7481520.9739,0
2025-01-04 01:00:00,0.8338,0.842,0.8159,0.8293,13275516,2025-01-04 01:14:59.999,10994046.5219,50699,6447197,5341605.8823,0
2025-01-04 01:15:00,0.8293,0.8311,0.8103,0.8256,10788682,2025-01-04 01:29:59.999,8841787.789,41637,5341264,4379987.3337,0
2025-01-04 01:30:00,0.8253,0.8391,0.8183,0.8365,7779233,2025-01-04 01:44:59.999,6458298.961,28003,4298869,3569525.9819,0
2025-01-04 01:45:00,0.8365,0.8382,0.8239,0.8288,6851411,2025-01-04 01:59:59.999,5691831.4962,20145,3331579,2767119.0092,0
2025-01-04 02:00:00,0.8286,0.8312,0.8184,0.822,4918031,2025-01-04 02:14:59.999,4056749.6925,18956,2351698,1940599.9257,0
2025-01-04 02:15:00,0.8221,0.8272,0.815,0.823,5240237,2025-01-04 02:29:59.999,4299609.6469,19955,2728820,2239624.8503,0
2025-01-04 02:30:00,0.8231,0.8297,0.8191,0.8195,4365462,2025-01-04 02:44:59.999,3594931.8378,16784,1980324,1631232.9596,0
2025-01-04 02:45:00,0.8194,0.8227,0.7802,0.7964,19534452,2025-01-04 02:59:59.999,15630679.5366,59330,7629119,6105207.6642,0
2025-01-04 03:00:00,0.7963,0.7967,0.7479,0.7758,26276387,2025-01-04 03:14:59.999,20146118.7713,74996,12418579,9525250.4201,0
2025-01-04 03:15:00,0.7758,0.7794,0.7637,0.7759,8719318,2025-01-04 03:29:59.999,6728901.2867,30799,4097136,3162931.6062,0
2025-01-04 03:30:00,0.7755,0.7838,0.768,0.7734,7418557,2025-01-04 03:44:59.999,5759315.7709,28335,3599931,2796342.3552,0
2025-01-04 03:45:00,0.7734,0.7779,0.7673,0.775,5200831,2025-01-04 03:59:59.999,4019470.622,19080,2408234,1862155.3657,0
2025-01-04 04:00:00,0.775,0.7809,0.7113,0.7434,30008876,2025-01-04 04:14:59.999,22325001.1774,86883,13285781,9880044.7259,0
2025-01-04 04:15:00,0.7432,0.7559,0.7413,0.7419,12059588,2025-01-04 04:29:59.999,9021765.3444,39377,5964120,4463370.3151,0
2025-01-04 04:30:00,0.742,0.7491,0.7251,0.745,15634221,2025-01-04 04:44:59.999,11529209.7118,49476,7776081,5737791.7234,0
2025-01-04 04:45:00,0.7452,0.7497,0.7388,0.7443,6605202,2025-01-04 04:59:59.999,4925249.8887,21775,3024971,2256253.4282,0
2025-01-04 05:00:00,0.7442,0.7533,0.7433,0.7501,5803898,2025-01-04 05:14:59.999,4343144.905,18820,3020844,2261264.003,0
2025-01-04 05:15:00,0.7501,0.7528,0.7401,0.7431,6956597,2025-01-04 05:29:59.999,5186619.4632,21177,3242780,2418505.0083,0
2025-01-04 05:30:00,0.7432,0.7516,0.7276,0.7349,8956451,2025-01-04 05:44:59.999,6624490.0595,29151,4200968,3110221.9456,0
2025-01-04 05:45:00,0.7348,0.7373,0.717,0.7235,17608350,2025-01-04 05:59:59.999,12774206.8345,45504,8495263,6165500.8778,0
2025-01-04 06:00:00,0.7234,0.7488,0.7227,0.7443,12984202,2025-01-04 06:14:59.999,9586303.3637,36521,6824767,5039703.8786,0
2025-01-04 06:15:00,0.7441,0.75,0.7379,0.7424,9887482,2025-01-04 06:29:59.999,7362832.1712,30114,4586634,3416471.2447,0
2025-01-04 06:30:00,0.7422,0.7511,0.7329,0.7478,7181312,2025-01-04 06:44:59.999,5329378.037,23391,3724804,2765682.3474,0
2025-01-04 06:45:00,0.7475,0.766,0.7435,0.7598,14974940,2025-01-04 06:59:59.999,11323540.1935,45075,7887940,5969350.6814,0
2025-01-04 07:00:00,0.7598,0.7608,0.7452,0.7514,8899534,2025-01-04 07:14:59.999,6717663.7302,27928,3940181,2975615.0003,0
2025-01-04 07:15:00,0.7512,0.7691,0.7511,0.7622,10236386,2025-01-04 07:29:59.999,7790837.3001,31122,5180759,3943371.6678,0
2025-01-04 07:30:00,0.7622,0.7675,0.7535,0.7615,6949027,2025-01-04 07:44:59.999,5286175.7459,22280,3286228,2500067.3909,0
2025-01-04 07:45:00,0.7616,0.7744,0.7602,0.7651,7810079,2025-01-04 07:59:59.999,5989669.8161,21777,3937234,3020925.0647,0
2025-01-04 08:00:00,0.7648,0.775,0.742,0.7509,14642838,2025-01-04 08:14:59.999,11103155.7947,43048,6015108,4564477.0744,0
2025-01-04 08:15:00,0.7508,0.7555,0.7443,0.7514,8797343,2025-01-04 08:29:59.999,6597416.4857,26653,4303425,3227873.4351,0
2025-01-04 08:30:00,0.7516,0.7558,0.7444,0.7492,5800974,2025-01-04 08:44:59.999,4351381.357,18611,2662157,1998062.6531,0
2025-01-04 08:45:00,0.7491,0.7542,0.735,0.7488,12240736,2025-01-04 08:59:59.999,9121286.3669,36006,5919390,4413328.6265,0
2025-01-04 09:00:00,0.7484,0.754,0.745,0.7495,4158012,2025-01-04 09:14:59.999,3118397.723,13610,2132796,1600047.3451,0
2025-01-04 09:15:00,0.7495,0.7539,0.749,0.7522,4483816,2025-01-04 09:29:59.999,3368854.4772,13761,2173782,1633503.6707,0
2025-01-04 09:30:00,0.7524,0.7635,0.74,0.7445,10488694,2025-01-04 09:44:59.999,7873257.7917,31008,4937833,3708972.3817,0
2025-01-04 09:45:00,0.7448,0.7457,0.7382,0.7425,6456672,2025-01-04 09:59:59.999,4790230.5095,18685,3211130,2383398.5829,0
2025-01-04 10:00:00,0.7423,0.7488,0.7367,0.7409,8405945,2025-01-04 10:14:59.999,6241491.2914,21221,3747110,2783603.3695,0
2025-01-04 10:15:00,0.7409,0.7464,0.7393,0.7441,4009773,2025-01-04 10:29:59.999,2978976.078,12950,2109630,1567721.9006,0
2025-01-04 10:30:00,0.744,0.753,0.7439,0.7517,6041677,2025-01-04 10:44:59.999,4531917.8552,17439,3066222,2300148.8461,0
2025-01-04 10:45:00,0.7519,0.7564,0.748,0.7502,5670241,2025-01-04 10:59:59.999,4262701.9032,16196,2495405,1876622.5884,0
2025-01-04 11:00:00,0.7501,0.7502,0.7421,0.7488,4022226,2025-01-04 11:14:59.999,3002837.448,13611,1788068,1335425.8698,0
2025-01-04 11:15:00,0.7488,0.7559,0.746,0.748,5927924,2025-01-04 11:29:59.999,4452435.9132,16712,2979674,2238848.9154,0
2025-01-04 11:30:00,0.748,0.755,0.747,0.7541,3238880,2025-01-04 11:44:59.999,2429184.9196,10558,1908921,1432475.9785,0
2025-01-04 11:45:00,0.7543,0.755,0.7495,0.7539,4214344,2025-01-04 11:59:59.999,3171599.4961,12726,2228215,1677320.7156,0
2025-01-04 12:00:00,0.7539,0.7542,0.7483,0.7506,3773030,2025-01-04 12:14:59.999,2832982.8961,10678,1647102,1236974.4965,0
2025-01-04 12:15:00,0.7508,0.7513,0.743,0.7483,6660862,2025-01-04 12:29:59.999,4974867.8389,19260,2920777,2182372.2555,0
2025-01-04 12:30:00,0.7484,0.7487,0.7381,0.7435,9400496,2025-01-04 12:44:59.999,6982017.0177,23463,4403455,3271548.9272,0
2025-01-04 12:45:00,0.7434,0.7499,0.7342,0.7474,8431138,2025-01-04 12:59:59.999,6265838.4325,21921,4616762,3434209.1695,0
2025-01-04 13:00:00,0.7475,0.7512,0.7385,0.7417,8101393,2025-01-04 13:14:59.999,6030204.7836,21901,3639580,2710314.6054,0
2025-01-04 13:15:00,0.7416,0.7457,0.7356,0.737,6494127,2025-01-04 13:29:59.999,4810808.1895,17210,2803205,2078132.3659,0
2025-01-04 13:30:00,0.7371,0.744,0.7294,0.743,11404134,2025-01-04 13:44:59.999,8423246.7524,30785,5666464,4189355.839,0
2025-01-04 13:45:00,0.7429,0.744,0.725,0.7294,15886916,2025-01-04 13:59:59.999,11646112.5588,38829,7037809,5161478.9962,0
2025-01-04 14:00:00,0.7295,0.7343,0.7024,0.7139,31413486,2025-01-04 14:14:59.999,22543896.309,68122,13083556,9395373.773,0
2025-01-04 14:15:00,0.7138,0.7183,0.7053,0.7124,19081879,2025-01-04 14:29:59.999,13573959.6886,44660,9502721,6762385.5758,0
2025-01-04 14:30:00,0.7122,0.7218,0.7086,0.7183,10550714,2025-01-04 14:44:59.999,7568125.5805,26575,5331668,3824818.7444,0
2025-01-04 14:45:00,0.7182,0.7194,0.7108,0.7153,6581345,2025-01-04 14:59:59.999,4700388.6947,17285,3017408,2155609.6763,0
2025-01-04 15:00:00,0.7151,0.721,0.7053,0.7096,11547710,2025-01-04 15:14:59.999,8232924.8921,28742,5324056,3798160.5449,0
2025-01-04 15:15:00,0.7096,0.7133,0.6694,0.6795,58599306,2025-01-04 15:29:59.999,40195827.8929,119518,24907958,17077921.181,0
2025-01-04 15:30:00,0.6796,0.6875,0.6695,0.6795,25387915,2025-01-04 15:44:59.999,17224308.2597,56120,12623858,8567767.4643,0
2025-01-04 15:45:00,0.6796,0.685,0.6597,0.6784,28677847,2025-01-04 15:59:59.999,19315192.5558,60798,12927539,8716585.1483,0
2025-01-04 16:00:00,0.6783,0.7003,0.6662,0.69,28770334,2025-01-04 16:14:59.999,19580820.5991,62829,14146231,9634279.1286,0
2025-01-04 16:15:00,0.6899,0.6939,0.6779,0.6819,12877295,2025-01-04 16:29:59.999,8817945.2236,33012,6231185,4267119.1118,0
2025-01-04 16:30:00,0.682,0.6899,0.678,0.6845,10829050,2025-01-04 16:44:59.999,7398689.3694,26724,5308795,3627892.6915,0
2025-01-04 16:45:00,0.6844,0.6955,0.6842,0.692,12536637,2025-01-04 16:59:59.999,8662962.162,30508,6257233,4323828.8066,0
2025-01-04 17:00:00,0.6919,0.6935,0.6854,0.69,6180246,2025-01-04 17:14:59.999,4262875.0222,16813,3095675,2136070.9861,0
2025-01-04 17:15:00,0.69,0.6914,0.678,0.6815,8022230,2025-01-04 17:29:59.999,5486439.4032,21344,3642141,2491487.1438,0
2025-01-04 17:30:00,0.6813,0.6871,0.6803,0.6859,5358407,2025-01-04 17:44:59.999,3662867.2564,15126,2916640,1994103.3662,0
2025-01-04 17:45:00,0.6859,0.7,0.6834,0.6928,10745717,2025-01-04 17:59:59.999,7441033.1045,29430,5495282,3805442.0059,0
2025-01-04 18:00:00,0.6928,0.6986,0.6882,0.6971,7861235,2025-01-04 18:14:59.999,5443540.8428,17412,4313959,2987644.2132,0
2025-01-04 18:15:00,0.6971,0.6993,0.6921,0.6939,7360865,2025-01-04 18:29:59.999,5117310.5597,17135,3391822,2358602.6198,0
2025-01-04 18:30:00,0.6938,0.699,0.693,0.6986,3945185,2025-01-04 18:44:59.999,2745193.5953,10048,2289008,1593226.8115,0
2025-01-04 18:45:00,0.6986,0.6986,0.6923,0.6967,4008805,2025-01-04 18:59:59.999,2788405.9118,10772,1802793,1254262.9917,0
2025-01-04 19:00:00,0.6969,0.6975,0.6866,0.6917,6257389,2025-01-04 19:14:59.999,4320421.3116,17172,2829002,1953094.5784,0
2025-01-04 19:15:00,0.6917,0.6949,0.6894,0.6927,3105393,2025-01-04 19:29:59.999,2150397.6627,9173,1556703,1078183.1685,0
2025-01-04 19:30:00,0.6926,0.698,0.6926,0.6942,3144842,2025-01-04 19:44:59.999,2187624.9819,8877,1555446,1082116.34,0
2025-01-04 19:45:00,0.6942,0.6985,0.692,0.6941,3224857,2025-01-04 19:59:59.999,2243192.4074,8516,1664085,1157751.6818,0
2025-01-04 20:00:00,0.6941,0.6974,0.692,0.6942,2271247,2025-01-04 20:14:59.999,1579655.5641,7215,1129748,785896.8472,0
2025-01-04 20:15:00,0.6943,0.698,0.6911,0.6972,3504831,2025-01-04 20:29:59.999,2437207.0419,9313,1815016,1262614.4415,0
2025-01-04 20:30:00,0.6973,0.7189,0.6954,0.7088,23869159,2025-01-04 20:44:59.999,16906593.4162,56642,12619742,8937619.8419,0
2025-01-04 20:45:00,0.7087,0.7189,0.7086,0.7132,7473673,2025-01-04 20:59:59.999,5332373.7033,22705,3799519,2711897.0132,0
2025-01-04 21:00:00,0.7135,0.7157,0.7041,0.7092,7010387,2025-01-04 21:14:59.999,4973866.8698,19026,3330008,2363648.7951,0
2025-01-04 21:15:00,0.7092,0.7138,0.707,0.7112,4055541,2025-01-04 21:29:59.999,2883010.8926,11333,1970421,1400965.1693,0
2025-01-04 21:30:00,0.7112,0.7126,0.7067,0.7118,3133187,2025-01-04 21:44:59.999,2224624.9686,9505,1367179,971169.5128,0
2025-01-04 21:45:00,0.7117,0.7142,0.7081,0.7105,2984376,2025-01-04 21:59:59.999,2123224.6073,9578,1552692,1104964.0795,0
2025-01-04 22:00:00,0.7106,0.7115,0.6954,0.7002,7722075,2025-01-04 22:14:59.999,5417626.608,21272,3341627,2344507.7839,0
2025-01-04 22:15:00,0.7002,0.7046,0.6977,0.7016,3514280,2025-01-04 22:29:59.999,2466362.7178,11112,1740180,1221625.5865,0
2025-01-04 22:30:00,0.7016,0.7031,0.6957,0.7,3384490,2025-01-04 22:44:59.999,2366739.6843,9437,1570140,1098274.9795,0
2025-01-04 22:45:00,0.7,0.7066,0.6997,0.7024,2613878,2025-01-04 22:59:59.999,1838391.368,7611,1286244,904706.441,0
2025-01-04 23:00:00,0.7025,0.7027,0.6822,0.6953,8577424,2025-01-04 23:14:59.999,5936910.1763,22931,3647673,2526200.477,0
2025-01-04 23:15:00,0.6954,0.6985,0.6905,0.6966,3611680,2025-01-04 23:29:59.999,2510213.0944,10910,1867798,1298684.3367,0
2025-01-04 23:30:00,0.6965,0.7052,0.6921,0.7006,4496385,2025-01-04 23:44:59.999,3146291.6902,13948,2346199,1641994.0439,0
2025-01-04 23:45:00,0.7006,0.7054,0.695,0.6988,3771212,2025-01-04 23:59:59.999,2641375.2193,11316,1815233,1272143.0048,0
2025-01-05 00:00:00,0.6987,0.6995,0.6889,0.696,5038204,2025-01-05 00:14:59.999,3496491.3777,16536,2429691,1686899.1733,0
2025-01-05 00:15:00,0.6958,0.7036,0.6946,0.7035,3334817,2025-01-05 00:29:59.999,2327391.4846,10501,1804641,1259996.4965,0
2025-01-05 00:30:00,0.7035,0.7119,0.7005,0.7033,7215639,2025-01-05 00:44:59.999,5097228.8433,19661,3487759,2464931.2034,0
2025-01-05 00:45:00,0.7031,0.7033,0.6928,0.6945,4907119,2025-01-05 00:59:59.999,3422382.2015,14509,2412761,1683195.477,0
2025-01-05 01:00:00,0.6945,0.7077,0.6941,0.6992,5501139,2025-01-05 01:14:59.999,3849639.349,16420,3005227,2102919.2351,0
2025-01-05 01:15:00,0.6992,0.7065,0.6987,0.7034,4084972,2025-01-05 01:29:59.999,2873128.5736,12709,2027541,1425819.6755,0
2025-01-05 01:30:00,0.7035,0.7042,0.6904,0.6913,6303488,2025-01-05 01:44:59.999,4391556.0049,18132,2710483,1889168.7221,0
2025-01-05 01:45:00,0.6913,0.6962,0.688,0.6905,6160247,2025-01-05 01:59:59.999,4262566.1842,16670,2864922,1983124.5422,0
2025-01-05 02:00:00,0.6905,0.6942,0.6835,0.6918,6054669,2025-01-05 02:14:59.999,4172242.3357,15652,2753362,1898886.9633,0
2025-01-05 02:15:00,0.6918,0.696,0.6908,0.6949,2694106,2025-01-05 02:29:59.999,1868699.4598,8682,1402203,972909.3629,0
2025-01-05 02:30:00,0.695,0.6969,0.6717,0.6813,11136191,2025-01-05 02:44:59.999,7609150.47,28925,4428866,3027630.0543,0
2025-01-05 02:45:00,0.6813,0.6918,0.6789,0.6914,5615273,2025-01-05 02:59:59.999,3843389.832,17038,3020037,2067591.0026,0
2025-01-05 03:00:00,0.6915,0.6929,0.6845,0.6889,3738135,2025-01-05 03:14:59.999,2574808.7189,11710,1746471,1202753.7092,0
2025-01-05 03:15:00,0.689,0.6956,0.6863,0.6953,3390551,2025-01-05 03:29:59.999,2344169.5125,10658,1769931,1223681.0016,0
2025-01-05 03:30:00,0.6952,0.6958,0.6901,0.6913,2971819,2025-01-05 03:44:59.999,2058802.9047,9735,1248531,865051.7169,0
2025-01-05 03:45:00,0.6911,0.6987,0.6903,0.6942,3760243,2025-01-05 03:59:59.999,2614640.5447,11344,1895940,1318847.3305,0
2025-01-05 04:00:00,0.6943,0.6965,0.69,0.6916,2665541,2025-01-05 04:14:59.999,1847984.4491,9133,1179987,818302.5742,0
2025-01-05 04:15:00,0.6916,0.6921,0.6866,0.6883,2963608,2025-01-05 04:29:59.999,2043553.767,9518,1295104,893341.6481,0
2025-01-05 04:30:00,0.6882,0.6955,0.6877,0.6949,2304552,2025-01-05 04:44:59.999,1596296.0938,7841,1336213,925772.7036,0
2025-01-05 04:45:00,0.6948,0.695,0.6891,0.6904,2047248,2025-01-05 04:59:59.999,1415922.1356,7571,923134,638464.1729,0
2025-01-05 05:00:00,0.6904,0.6935,0.6837,0.6851,3198606,2025-01-05 05:14:59.999,2201800.1639,9881,1448467,997586.3078,0
2025-01-05 05:15:00,0.6852,0.6884,0.6814,0.6872,3383560,2025-01-05 05:29:59.999,2314825.8314,11185,1738233,1189750.0072,0
2025-01-05 05:30:00,0.6871,0.69,0.6824,0.684,2837786,2025-01-05 05:44:59.999,1945991.132,8161,1371238,940596.0743,0
2025-01-05 05:45:00,0.684,0.6842,0.6723,0.6786,5966459,2025-01-05 05:59:59.999,4050453.51,15772,2274521,1545520.0246,0
2025-01-05 06:00:00,0.6787,0.6796,0.6615,0.6719,11188458,2025-01-05 06:14:59.999,7498159.7868,27130,4563485,3059885.3835,0
2025-01-05 06:15:00,0.6718,0.6795,0.6679,0.6774,6225066,2025-01-05 06:29:59.999,4201079.0617,15850,3506074,2366578.1474,0
2025-01-05 06:30:00,0.6773,0.6871,0.6768,0.684,5745202,2025-01-05 06:44:59.999,3923012.7822,14906,3252675,2220260.0915,0
2025-01-05 06:45:00,0.684,0.6919,0.6835,0.6912,4741111,2025-01-05 06:59:59.999,3262857.8257,11807,2795339,1924045.0887,0
2025-01-05 07:00:00,0.6913,0.7157,0.6909,0.712,18324980,2025-01-05 07:14:59.999,12909101.708,38134,9308978,6556126.7183,0
2025-01-05 07:15:00,0.712,0.7269,0.7094,0.7208,17487024,2025-01-05 07:29:59.999,12567904.5192,38957,8919026,6412617.8815,0
