open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-21 12:45:00,0.1696,0.1773,0.1663,0.1722,12136856,2025-03-21 12:59:59.999,2094551.4723,14637,6082228,1049907.8254,0
2025-03-21 13:00:00,0.1721,0.176,0.1687,0.1718,11784104,2025-03-21 13:14:59.999,2031352.4542,11356,5299240,914715.2187,0
2025-03-21 13:15:00,0.1716,0.1726,0.1641,0.1656,8248212,2025-03-21 13:29:59.999,1385434.2572,9421,3415617,574292.5333,0
2025-03-21 13:30:00,0.1655,0.1672,0.1621,0.1658,4847761,2025-03-21 13:44:59.999,796359.7758,4744,2127377,349670.9888,0
2025-03-21 13:45:00,0.1656,0.168,0.1645,0.1658,2767039,2025-03-21 13:59:59.999,460603.0005,3162,1420823,236627.8701,0
2025-03-21 14:00:00,0.1657,0.1669,0.1623,0.1661,2477678,2025-03-21 14:14:59.999,407270.5733,3104,1250657,205552.6081,0
2025-03-21 14:15:00,0.1661,0.1702,0.1642,0.166,4964439,2025-03-21 14:29:59.999,829936.1501,4730,2410829,403288.562,0
2025-03-21 14:30:00,0.166,0.1698,0.1658,0.1693,2460488,2025-03-21 14:44:59.999,412967.6446,2928,1481212,248865.2417,0
2025-03-21 14:45:00,0.1692,0.1724,0.1677,0.1706,4902707,2025-03-21 14:59:59.999,832569.7128,5217,2480720,422085.3494,0
2025-03-21 15:00:00,0.1704,0.1706,0.1653,0.1663,2782561,2025-03-21 15:14:59.999,466981.0749,2930,1138357,191183.027,0
2025-03-21 15:15:00,0.1664,0.1686,0.1633,0.1647,2184763,2025-03-21 15:29:59.999,361679.4679,2944,927642,153778.3564,0
2025-03-21 15:30:00,0.1646,0.1657,0.1606,0.164,3122658,2025-03-21 15:44:59.999,509578.1715,4196,1476967,241390.4673,0
2025-03-21 15:45:00,0.1639,0.1645,0.1599,0.1628,12079123,2025-03-21 15:59:59.999,1957158.4111,10701,5528134,897953.3571,0
2025-03-21 16:00:00,0.1628,0.1632,0.1563,0.1617,5802822,2025-03-21 16:14:59.999,922978.6144,6343,2557561,407284.4283,0
2025-03-21 16:15:00,0.1618,0.1669,0.1603,0.166,4406995,2025-03-21 16:29:59.999,721755.9847,5923,2563681,420284.7537,0
2025-03-21 16:30:00,0.166,0.1679,0.1622,0.164,3489814,2025-03-21 16:44:59.999,574309.1013,4466,1543380,254336.1691,0
2025-03-21 16:45:00,0.1639,0.165,0.1613,0.1649,2250746,2025-03-21 16:59:59.999,367385.5708,3207,1080320,176406.6656,0
2025-03-21 17:00:00,0.1649,0.1678,0.1641,0.1664,2738592,2025-03-21 17:14:59.999,454627.0249,3597,1523721,253199.1519,0
2025-03-21 17:15:00,0.1664,0.1664,0.1627,0.1636,1349975,2025-03-21 17:29:59.999,222177.7271,2269,515839,84803.6897,0
2025-03-21 17:30:00,0.1637,0.1638,0.1617,0.1636,781422,2025-03-21 17:44:59.999,127182.7647,1487,415259,67615.8919,0
2025-03-21 17:45:00,0.1635,0.1658,0.1626,0.1641,1755209,2025-03-21 17:59:59.999,288482.6611,1922,801628,131860.7759,0
2025-03-21 18:00:00,0.164,0.1646,0.1623,0.1641,1138897,2025-03-21 18:14:59.999,185923.9605,1425,684591,111786.6507,0
2025-03-21 18:15:00,0.1643,0.1799,0.1643,0.1737,8484243,2025-03-21 18:29:59.999,1469616.1327,9393,5322403,921777.97,0
2025-03-21 18:30:00,0.1736,0.1847,0.1718,0.1829,11964568,2025-03-21 18:44:59.999,2151503.8875,14366,6140724,1102648.8212,0
2025-03-21 18:45:00,0.1829,0.185,0.1782,0.1832,7756462,2025-03-21 18:59:59.999,1413041.7734,10105,3751088,683903.8595,0
2025-03-21 19:00:00,0.1835,0.1843,0.1782,0.1788,5437305,2025-03-21 19:14:59.999,985437.7452,7472,2491951,451792.2435,0
2025-03-21 19:15:00,0.1788,0.1804,0.1762,0.1802,3406609,2025-03-21 19:29:59.999,606013.8475,4773,1585884,282258.3099,0
2025-03-21 19:30:00,0.1802,0.1802,0.1761,0.1772,1862585,2025-03-21 19:44:59.999,330777.9524,3128,893248,158652.6172,0
2025-03-21 19:45:00,0.1772,0.1785,0.1755,0.1765,1261790,2025-03-21 19:59:59.999,223459.2929,2190,609631,108012.8394,0
2025-03-21 20:00:00,0.1766,0.1777,0.172,0.1754,3373590,2025-03-21 20:14:59.999,589083.6692,4777,1734391,303406.6139,0
2025-03-21 20:15:00,0.1754,0.1778,0.1751,0.1765,1020572,2025-03-21 20:29:59.999,180322.5638,2154,454853,80409.6079,0
2025-03-21 20:30:00,0.1764,0.1791,0.1756,0.1764,1169178,2025-03-21 20:44:59.999,207067.818,2340,594086,105389.0867,0
