open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-27 08:00:00,95862.1,102000.0,90997.0,100988.8,3.656,2024-12-27 08:14:59.999,363046.8722,246,2.606,258446.865,0
2024-12-27 08:15:00,101399.1,102000.0,100550.0,101678.8,3.728,2024-12-27 08:29:59.999,378518.7015,311,2.56,260231.4187,0
2024-12-27 08:30:00,101664.0,102381.1,101440.0,101881.4,5.696,2024-12-27 08:44:59.999,580718.4311,667,2.234,227914.2139,0
2024-12-27 08:45:00,101893.5,102029.3,101814.3,101953.5,8.6,2024-12-27 08:59:59.999,876104.5923,440,2.444,249024.8967,0
2024-12-27 09:00:00,101972.5,103780.1,101898.8,103489.6,17.599,2024-12-27 09:14:59.999,1810376.16,868,4.672,481865.9581,0
2024-12-27 09:15:00,103594.2,103686.8,103068.9,103148.0,14.521,2024-12-27 09:29:59.999,1500173.0037,1018,3.864,399708.24,0
2024-12-27 09:30:00,103119.8,103249.3,102885.8,103107.9,2.386,2024-12-27 09:44:59.999,245923.2173,372,0.727,74946.2018,0
2024-12-27 09:45:00,103122.0,103152.9,102898.3,103069.4,6.173,2024-12-27 09:59:59.999,635851.5349,976,2.046,210768.3439,0
2024-12-27 10:00:00,103123.6,103250.3,103099.8,103150.6,3.745,2024-12-27 10:14:59.999,386358.8345,618,2.12,218721.9734,0
2024-12-27 10:15:00,103182.9,103424.9,102914.1,103067.4,5.433,2024-12-27 10:29:59.999,560484.1854,676,3.414,352236.8047,0
2024-12-27 10:30:00,103100.0,103148.4,102600.0,102802.3,6.284,2024-12-27 10:44:59.999,645776.9577,801,3.633,373372.9384,0
2024-12-27 10:45:00,102786.3,103110.8,102755.5,103045.4,5.229,2024-12-27 10:59:59.999,538671.1819,427,2.079,214092.9719,0
2024-12-27 11:00:00,102972.0,103056.0,102834.3,102915.2,1.045,2024-12-27 11:14:59.999,107591.0938,248,0.442,45508.8935,0
2024-12-27 11:15:00,102878.5,102943.5,102676.3,102872.5,1.971,2024-12-27 11:29:59.999,202674.8671,348,1.034,106331.8673,0
2024-12-27 11:30:00,102869.2,102970.7,102682.9,102873.0,11.067,2024-12-27 11:44:59.999,1137881.1665,684,9.394,965887.6546,0
2024-12-27 11:45:00,102873.5,103178.1,102830.1,103165.6,13.756,2024-12-27 11:59:59.999,1416262.5504,800,10.108,1040674.1788,0
2024-12-27 12:00:00,103168.6,103310.1,103050.7,103118.4,4.446,2024-12-27 12:14:59.999,458609.2424,487,2.986,308009.809,0
2024-12-27 12:15:00,103118.2,103142.2,102968.0,103022.6,7.659,2024-12-27 12:29:59.999,789266.0635,571,5.025,517866.9935,0
2024-12-27 12:30:00,103039.7,103226.7,102928.0,102956.5,3.958,2024-12-27 12:44:59.999,407994.9477,299,3.379,348306.883,0
2024-12-27 12:45:00,102979.7,103063.3,102895.4,102973.6,3.821,2024-12-27 12:59:59.999,393409.7269,338,2.515,258942.3348,0
2024-12-27 13:00:00,102946.1,102946.3,102530.6,102620.3,3.074,2024-12-27 13:14:59.999,316144.8673,235,2.773,285205.2749,0
2024-12-27 13:15:00,102643.4,102858.2,102503.9,102826.4,1.51,2024-12-27 13:29:59.999,154999.3779,157,1.223,125530.9244,0
2024-12-27 13:30:00,102734.0,102761.8,102507.0,102727.8,0.911,2024-12-27 13:44:59.999,93512.5775,81,0.684,70202.0448,0
2024-12-27 13:45:00,102711.4,102863.5,102623.2,102637.6,0.531,2024-12-27 13:59:59.999,54543.3542,90,0.447,45917.0694,0
2024-12-27 14:00:00,102664.3,102673.5,102301.3,102320.7,1.267,2024-12-27 14:14:59.999,129826.4846,228,0.737,75550.9001,0
2024-12-27 14:15:00,102300.0,102682.5,102300.0,102515.5,0.959,2024-12-27 14:29:59.999,98279.4084,214,0.708,72552.9209,0
2024-12-27 14:30:00,102514.2,102542.3,101645.4,101663.8,3.679,2024-12-27 14:44:59.999,375230.7262,544,1.537,156684.2921,0
2024-12-27 14:45:00,101645.7,101980.2,101445.0,101910.1,5.914,2024-12-27 14:59:59.999,601863.4419,522,4.164,423906.4013,0
2024-12-27 15:00:00,101921.0,101923.6,101409.4,101522.0,4.07,2024-12-27 15:14:59.999,413604.7392,298,2.137,217178.7497,0
2024-12-27 15:15:00,101409.3,101432.2,100795.6,100899.7,9.795,2024-12-27 15:29:59.999,989515.2167,584,6.004,606510.4638,0
2024-12-27 15:30:00,100868.5,100971.3,100154.7,100388.9,8.177,2024-12-27 15:44:59.999,821861.3175,910,4.428,445045.6375,0
2024-12-27 15:45:00,100408.6,100828.4,100222.7,100724.1,3.666,2024-12-27 15:59:59.999,368760.5738,496,2.75,276637.1302,0
2024-12-27 16:00:00,100705.9,100820.7,100350.0,100380.5,2.731,2024-12-27 16:14:59.999,274686.5178,332,0.869,87429.9306,0
2024-12-27 16:15:00,100386.6,100839.0,100279.7,100772.1,4.121,2024-12-27 16:29:59.999,414025.9524,618,2.559,257176.4437,0
2024-12-27 16:30:00,100774.2,101164.5,100500.7,100528.9,4.803,2024-12-27 16:44:59.999,484341.2768,581,3.648,368000.4075,0
2024-12-27 16:45:00,100544.1,100629.9,100150.0,100174.4,5.003,2024-12-27 16:59:59.999,501774.469,387,2.635,264283.833,0
2024-12-27 17:00:00,100174.4,100282.0,99946.3,100107.3,5.362,2024-12-27 17:14:59.999,536717.5398,467,2.312,231479.8218,0
2024-12-27 17:15:00,100111.8,100171.2,99415.6,99730.4,5.044,2024-12-27 17:29:59.999,502898.5357,702,2.854,284679.3741,0
2024-12-27 17:30:00,99718.7,100282.1,99687.7,100242.9,9.227,2024-12-27 17:44:59.999,922655.3924,835,7.084,708578.303,0
2024-12-27 17:45:00,100261.6,100309.0,99955.9,100270.7,3.094,2024-12-27 17:59:59.999,309930.3148,483,2.08,208370.5739,0
2024-12-27 18:00:00,100279.4,100451.1,100167.6,100319.6,1.692,2024-12-27 18:14:59.999,169745.8698,281,1.283,128715.1032,0
2024-12-27 18:15:00,100327.0,100658.4,100327.0,100498.1,1.636,2024-12-27 18:29:59.999,164409.5104,170,1.025,103014.7026,0
2024-12-27 18:30:00,100478.2,100754.8,100478.2,100552.9,1.556,2024-12-27 18:44:59.999,156572.1603,192,1.071,107796.2718,0
2024-12-27 18:45:00,100549.6,100620.6,100242.1,100452.3,0.944,2024-12-27 18:59:59.999,94878.339,146,0.453,45536.8376,0
2024-12-27 19:00:00,100460.6,100542.9,100225.4,100351.6,1.676,2024-12-27 19:14:59.999,168156.1049,243,1.023,102656.2302,0
2024-12-27 19:15:00,100376.4,100376.4,100118.8,100171.8,1.51,2024-12-27 19:29:59.999,151290.5791,227,0.854,85572.2946,0
2024-12-27 19:30:00,100186.6,100521.7,100122.1,100422.3,1.334,2024-12-27 19:44:59.999,133959.1865,158,1.005,100922.1512,0
2024-12-27 19:45:00,100491.3,100678.8,100384.1,100567.7,0.564,2024-12-27 19:59:59.999,56719.6015,102,0.184,18511.8225,0
2024-12-27 20:00:00,100540.4,100557.7,100170.8,100250.0,1.655,2024-12-27 20:14:59.999,166109.5487,161,0.655,65743.6839,0
2024-12-27 20:15:00,100267.0,100456.1,100215.5,100426.9,0.886,2024-12-27 20:29:59.999,88887.6796,141,0.395,39633.2354,0
2024-12-27 20:30:00,100430.8,100597.3,100324.5,100324.5,0.206,2024-12-27 20:44:59.999,20697.925,51,0.066,6632.2513,0
2024-12-27 20:45:00,100270.0,100505.8,100228.9,100453.1,0.416,2024-12-27 20:59:59.999,41753.7013,71,0.237,23784.5589,0
2024-12-27 21:00:00,100509.5,100699.6,100372.7,100682.1,0.459,2024-12-27 21:14:59.999,46159.9374,87,0.183,18400.066,0
2024-12-27 21:15:00,100699.4,100699.4,100558.6,100580.7,1.609,2024-12-27 21:29:59.999,161866.3057,131,0.301,30286.8507,0
2024-12-27 21:30:00,100617.4,100645.3,100401.8,100430.5,0.663,2024-12-27 21:44:59.999,66598.2131,72,0.18,18075.9823,0
2024-12-27 21:45:00,100467.6,100481.5,100240.4,100391.3,2.756,2024-12-27 21:59:59.999,276601.6749,185,2.329,233754.6785,0
2024-12-27 22:00:00,100310.9,100377.5,100053.7,100377.5,1.256,2024-12-27 22:14:59.999,125791.8993,128,0.323,32356.7639,0
2024-12-27 22:15:00,100328.1,100565.4,100221.3,100390.0,0.852,2024-12-27 22:29:59.999,85547.9062,109,0.519,52115.7278,0
2024-12-27 22:30:00,100398.6,100592.0,100254.7,100456.1,0.988,2024-12-27 22:44:59.999,99226.2067,123,0.232,23292.6915,0
2024-12-27 22:45:00,100453.2,100484.8,100249.4,100358.6,0.225,2024-12-27 22:59:59.999,22579.3802,46,0.129,12946.7306,0
2024-12-27 23:00:00,100303.5,100408.6,100209.7,100266.0,0.213,2024-12-27 23:14:59.999,21359.3314,61,0.114,11430.836,0
2024-12-27 23:15:00,100292.1,100380.4,100135.8,100227.0,0.139,2024-12-27 23:29:59.999,13936.9921,53,0.105,10527.4668,0
2024-12-27 23:30:00,100210.3,100220.9,99949.7,100216.1,1.176,2024-12-27 23:44:59.999,117693.9563,175,0.54,54051.8377,0
2024-12-27 23:45:00,100281.9,100413.7,100131.2,100176.7,0.31,2024-12-27 23:59:59.999,31095.3425,81,0.245,24578.8084,0
2024-12-28 00:00:00,100141.8,100300.0,100141.8,100300.0,0.142,2024-12-28 00:14:59.999,14236.4759,39,0.05,5011.9708,0
2024-12-28 00:15:00,100285.6,100408.6,100187.3,100343.8,0.695,2024-12-28 00:29:59.999,69711.3546,69,0.183,18350.4148,0
2024-12-28 00:30:00,100338.4,100338.4,100166.6,100259.7,0.311,2024-12-28 00:44:59.999,31168.9072,28,0.269,26958.8928,0
2024-12-28 00:45:00,100219.7,100336.4,100192.9,100272.0,0.199,2024-12-28 00:59:59.999,19945.4866,35,0.171,17137.0144,0
2024-12-28 01:00:00,100257.6,100310.2,100180.7,100180.7,0.142,2024-12-28 01:14:59.999,14229.3253,31,0.037,3708.6114,0
2024-12-28 01:15:00,100114.3,100114.3,99958.6,100086.1,1.569,2024-12-28 01:29:59.999,156938.3895,74,0.623,62326.2154,0
2024-12-28 01:30:00,100076.7,100445.5,99974.7,100347.5,1.785,2024-12-28 01:44:59.999,178967.8252,198,0.734,73555.7507,0
2024-12-28 01:45:00,100367.2,100462.9,100249.1,100410.9,0.52,2024-12-28 01:59:59.999,52199.7002,104,0.198,19880.9916,0
2024-12-28 02:00:00,100411.1,100486.5,100351.8,100439.9,0.231,2024-12-28 02:14:59.999,23204.4,62,0.12,12054.6375,0
2024-12-28 02:15:00,100425.8,100467.5,100319.9,100397.8,0.307,2024-12-28 02:29:59.999,30833.0683,65,0.143,14361.1154,0
2024-12-28 02:30:00,100370.1,100455.6,100299.1,100349.8,0.161,2024-12-28 02:44:59.999,16161.9122,44,0.128,12849.4917,0
