open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-27 14:45:00,0.627,0.6374,0.5815,0.586,3910613,2024-11-27 14:59:59.999,2329585.6352,7396,1800411,1073381.6428,0
2024-11-27 15:00:00,0.5857,0.5857,0.5534,0.5673,5582151,2024-11-27 15:14:59.999,3161348.2138,11659,2695134,1528432.4258,0
2024-11-27 15:15:00,0.5673,0.5966,0.5662,0.5793,5543791,2024-11-27 15:29:59.999,3210223.3241,12058,2852017,1652057.002,0
2024-11-27 15:30:00,0.5794,0.5822,0.5624,0.5732,2641137,2024-11-27 15:44:59.999,1514032.3669,6717,1283386,735815.064,0
2024-11-27 15:45:00,0.5735,0.598,0.5735,0.5769,4007944,2024-11-27 15:59:59.999,2341684.5717,8953,2119249,1239195.105,0
2024-11-27 16:00:00,0.5774,0.5862,0.5506,0.5547,4107833,2024-11-27 16:14:59.999,2343110.8434,10241,1704959,974231.11,0
2024-11-27 16:15:00,0.5545,0.5587,0.5417,0.5563,4295486,2024-11-27 16:29:59.999,2364765.7535,10536,1942218,1069615.8458,0
2024-11-27 16:30:00,0.5562,0.5654,0.551,0.5561,2943391,2024-11-27 16:44:59.999,1639043.8627,8044,1380518,769092.3271,0
2024-11-27 16:45:00,0.5562,0.5599,0.5283,0.5404,6079436,2024-11-27 16:59:59.999,3287818.786,15432,2663537,1440404.9315,0
2024-11-27 17:00:00,0.5403,0.5454,0.5285,0.5447,4300894,2024-11-27 17:14:59.999,2306042.4871,11983,2011652,1079300.5786,0
2024-11-27 17:15:00,0.5446,0.5656,0.541,0.5568,5167960,2024-11-27 17:29:59.999,2874713.1372,13952,2599582,1446926.4862,0
2024-11-27 17:30:00,0.5567,0.5645,0.5551,0.5621,1626875,2024-11-27 17:44:59.999,910604.742,4889,743832,416497.5855,0
2024-11-27 17:45:00,0.5625,0.5747,0.56,0.5717,2299780,2024-11-27 17:59:59.999,1302696.1776,6998,1179058,668413.3676,0
2024-11-27 18:00:00,0.5717,0.6072,0.5705,0.6005,5622728,2024-11-27 18:14:59.999,3322826.2843,11351,2759395,1632783.9069,0
2024-11-27 18:15:00,0.6006,0.6006,0.5742,0.5855,6090686,2024-11-27 18:29:59.999,3578956.8769,14488,2821040,1657695.5498,0
2024-11-27 18:30:00,0.5857,0.6013,0.5805,0.5905,3801630,2024-11-27 18:44:59.999,2255846.7719,9529,1885788,1119162.436,0
2024-11-27 18:45:00,0.5905,0.5986,0.5748,0.5928,3838933,2024-11-27 18:59:59.999,2251616.6733,10682,1909197,1120364.1725,0
2024-11-27 19:00:00,0.5927,0.6085,0.5817,0.6048,3738245,2024-11-27 19:14:59.999,2214154.1516,9722,2041678,1210739.9749,0
2024-11-27 19:15:00,0.605,0.6304,0.5994,0.6236,9253107,2024-11-27 19:29:59.999,5731372.943,23996,4574047,2834746.2085,0
2024-11-27 19:30:00,0.6234,0.6234,0.6045,0.6187,5777449,2024-11-27 19:44:59.999,3555522.2783,12262,2276816,1398439.1231,0
2024-11-27 19:45:00,0.6187,0.619,0.5991,0.602,2618722,2024-11-27 19:59:59.999,1586023.2467,7289,1300214,787712.5444,0
2024-11-27 20:00:00,0.602,0.6045,0.583,0.5931,3485582,2024-11-27 20:14:59.999,2065830.0629,10335,1567919,929492.7766,0
2024-11-27 20:15:00,0.593,0.6028,0.5877,0.6021,2579987,2024-11-27 20:29:59.999,1534181.1368,9489,1284017,763600.1691,0
2024-11-27 20:30:00,0.6023,0.6183,0.5976,0.612,3098481,2024-11-27 20:44:59.999,1892270.6741,10715,1419735,867113.2591,0
2024-11-27 20:45:00,0.6121,0.6123,0.591,0.6007,2720238,2024-11-27 20:59:59.999,1630134.0025,10490,1310368,785349.8824,0
2024-11-27 21:00:00,0.6007,0.6228,0.5973,0.6082,2625605,2024-11-27 21:14:59.999,1604383.7412,10034,1294464,790916.754,0
2024-11-27 21:15:00,0.6084,0.6189,0.56,0.569,4736129,2024-11-27 21:29:59.999,2796754.5982,15357,2172033,1286779.5257,0
2024-11-27 21:30:00,0.569,0.5802,0.546,0.575,5150397,2024-11-27 21:44:59.999,2918596.1497,13040,2505811,1421050.625,0
2024-11-27 21:45:00,0.5756,0.5809,0.5648,0.5706,2045927,2024-11-27 21:59:59.999,1169008.074,7164,962361,550073.7959,0
2024-11-27 22:00:00,0.5706,0.5777,0.5625,0.5668,2052441,2024-11-27 22:14:59.999,1170419.4715,6275,844463,481447.1192,0
2024-11-27 22:15:00,0.5667,0.5839,0.5634,0.5825,1908479,2024-11-27 22:29:59.999,1094098.1797,6796,976437,560597.0557,0
2024-11-27 22:30:00,0.582,0.586,0.573,0.578,1606509,2024-11-27 22:44:59.999,930229.5482,4703,802912,465675.171,0
2024-11-27 22:45:00,0.5782,0.58,0.5654,0.5725,812451,2024-11-27 22:59:59.999,465721.724,2954,343759,197090.9092,0
2024-11-27 23:00:00,0.5723,0.5846,0.5662,0.5695,1453248,2024-11-27 23:14:59.999,834974.7835,4548,716147,411820.7861,0
2024-11-27 23:15:00,0.5692,0.5748,0.5636,0.5702,1288661,2024-11-27 23:29:59.999,732171.5786,4442,685358,389808.9201,0
2024-11-27 23:30:00,0.5705,0.576,0.56,0.566,1206847,2024-11-27 23:44:59.999,683756.9434,4380,580960,329265.2597,0
2024-11-27 23:45:00,0.5659,0.5671,0.5554,0.5655,951829,2024-11-27 23:59:59.999,534551.6489,3655,432731,243242.9162,0
2024-11-28 00:00:00,0.5655,0.5673,0.5525,0.5612,1381006,2024-11-28 00:14:59.999,770920.4502,5034,648265,362167.661,0
2024-11-28 00:15:00,0.5611,0.5632,0.5527,0.5532,631370,2024-11-28 00:29:59.999,351661.9758,2709,290720,161932.772,0
2024-11-28 00:30:00,0.5531,0.5695,0.5525,0.5694,953482,2024-11-28 00:44:59.999,534859.2442,4194,433606,243636.7361,0
2024-11-28 00:45:00,0.5689,0.5736,0.5547,0.5586,1665409,2024-11-28 00:59:59.999,941888.7994,5533,755229,426955.3955,0
2024-11-28 01:00:00,0.5586,0.5633,0.552,0.5541,1628717,2024-11-28 01:14:59.999,906566.7854,4764,600455,334766.2262,0
2024-11-28 01:15:00,0.5542,0.5656,0.5515,0.5598,982196,2024-11-28 01:29:59.999,548450.821,3870,573170,320396.4785,0
2024-11-28 01:30:00,0.5594,0.5629,0.5537,0.5575,1094368,2024-11-28 01:44:59.999,609776.0498,4383,515686,287442.4307,0
2024-11-28 01:45:00,0.5575,0.577,0.5566,0.5709,1752311,2024-11-28 01:59:59.999,997275.9326,6507,907276,516030.0399,0
2024-11-28 02:00:00,0.5709,0.5732,0.5555,0.5616,1874087,2024-11-28 02:14:59.999,1058492.6061,5993,821854,464547.0325,0
2024-11-28 02:15:00,0.5615,0.5739,0.5588,0.5695,1479776,2024-11-28 02:29:59.999,837279.0495,5548,799145,452335.3523,0
2024-11-28 02:30:00,0.5695,0.5722,0.5618,0.5668,1590404,2024-11-28 02:44:59.999,904627.2282,6071,851127,484057.1297,0
2024-11-28 02:45:00,0.5666,0.57,0.5584,0.5632,1726698,2024-11-28 02:59:59.999,973088.6745,5939,771098,434637.8497,0
2024-11-28 03:00:00,0.563,0.5638,0.5555,0.5557,1464477,2024-11-28 03:14:59.999,816191.7298,4340,695921,387969.0224,0
2024-11-28 03:15:00,0.5559,0.5603,0.5439,0.5516,3181976,2024-11-28 03:29:59.999,1755278.2857,6731,1315018,725213.6155,0
2024-11-28 03:30:00,0.5518,0.5538,0.5443,0.5488,1588672,2024-11-28 03:44:59.999,869670.6318,5093,842198,461180.5265,0
2024-11-28 03:45:00,0.5487,0.5622,0.5469,0.5552,2219512,2024-11-28 03:59:59.999,1235621.6734,6615,1287032,716066.3969,0
