open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-07 11:30:00,0.6386,0.676,0.6339,0.6628,4811757,2025-01-07 11:44:59.999,3194141.4525,13555,2235409,1483947.3826,0
2025-01-07 11:45:00,0.6628,0.6698,0.635,0.6382,5142830,2025-01-07 11:59:59.999,3355626.8427,14037,2372979,1547504.9636,0
2025-01-07 12:00:00,0.6377,0.662,0.6348,0.6576,3461347,2025-01-07 12:14:59.999,2251135.6154,9623,1695969,1103902.3904,0
2025-01-07 12:15:00,0.657,0.6618,0.643,0.6607,2804005,2025-01-07 12:29:59.999,1827594.1483,9365,1603435,1047001.7425,0
2025-01-07 12:30:00,0.6611,0.67,0.647,0.6666,2504491,2025-01-07 12:44:59.999,1654632.971,7458,1248922,825638.9023,0
2025-01-07 12:45:00,0.6668,0.6728,0.6531,0.6599,2724432,2025-01-07 12:59:59.999,1806113.7793,7773,1268220,841398.5487,0
2025-01-07 13:00:00,0.6598,0.6689,0.655,0.6612,2220465,2025-01-07 13:14:59.999,1471542.1299,8387,1101450,730498.1611,0
2025-01-07 13:15:00,0.6613,0.6649,0.6556,0.6577,1970802,2025-01-07 13:29:59.999,1299910.0967,8163,946511,624521.2994,0
2025-01-07 13:30:00,0.6576,0.694,0.6557,0.6808,7568361,2025-01-07 13:44:59.999,5146729.5627,23791,3894622,2647685.2251,0
2025-01-07 13:45:00,0.6813,0.7035,0.6812,0.6931,8398552,2025-01-07 13:59:59.999,5814198.7465,25341,4360257,3020341.2503,0
2025-01-07 14:00:00,0.6931,0.7052,0.685,0.6955,7701921,2025-01-07 14:14:59.999,5355591.1057,24294,3802499,2644656.9604,0
2025-01-07 14:15:00,0.6955,0.7045,0.685,0.6895,5479221,2025-01-07 14:29:59.999,3802562.5936,18485,2633526,1829001.4464,0
2025-01-07 14:30:00,0.6894,0.6943,0.6806,0.6888,3749249,2025-01-07 14:44:59.999,2578525.2617,13388,1838179,1264628.7466,0
2025-01-07 14:45:00,0.6886,0.698,0.6495,0.6637,5909813,2025-01-07 14:59:59.999,4015696.226,18175,2573493,1753328.7296,0
2025-01-07 15:00:00,0.6638,0.6725,0.6375,0.6556,6753352,2025-01-07 15:14:59.999,4434659.8779,20407,3294469,2165049.015,0
2025-01-07 15:15:00,0.6556,0.6592,0.6359,0.6572,4950115,2025-01-07 15:29:59.999,3207905.2752,16382,2536405,1644161.6838,0
2025-01-07 15:30:00,0.6573,0.6592,0.6146,0.6176,6828897,2025-01-07 15:44:59.999,4330762.0528,20233,2916949,1851687.2299,0
2025-01-07 15:45:00,0.6174,0.6298,0.6,0.6282,6039226,2025-01-07 15:59:59.999,3726444.4448,19135,3053594,1887038.6326,0
2025-01-07 16:00:00,0.6282,0.6348,0.6136,0.624,3890695,2025-01-07 16:14:59.999,2431215.5071,13560,1862032,1163708.5295,0
2025-01-07 16:15:00,0.6239,0.6453,0.6221,0.6438,3281644,2025-01-07 16:29:59.999,2084558.8902,11891,1736644,1103346.9339,0
2025-01-07 16:30:00,0.6436,0.6657,0.6435,0.6645,4609384,2025-01-07 16:44:59.999,3022528.2575,16044,2392110,1568671.8834,0
2025-01-07 16:45:00,0.6645,0.6722,0.651,0.6679,4666517,2025-01-07 16:59:59.999,3084999.8054,14780,2217826,1467007.1062,0
2025-01-07 17:00:00,0.6683,0.6789,0.6387,0.6397,6150708,2025-01-07 17:14:59.999,4035909.8082,22135,2752640,1808779.9833,0
2025-01-07 17:15:00,0.6399,0.6428,0.6251,0.6325,3613689,2025-01-07 17:29:59.999,2283650.2089,12860,1654303,1045608.7544,0
2025-01-07 17:30:00,0.6325,0.6436,0.626,0.6344,2398368,2025-01-07 17:44:59.999,1524985.3954,8623,1092454,694763.7218,0
2025-01-07 17:45:00,0.6341,0.6461,0.62,0.6423,3479931,2025-01-07 17:59:59.999,2210545.4008,11548,1707543,1085535.295,0
2025-01-07 18:00:00,0.6423,0.6498,0.6297,0.6333,2881404,2025-01-07 18:14:59.999,1841314.9689,9385,1353175,865283.3703,0
2025-01-07 18:15:00,0.6332,0.6362,0.6245,0.6246,1646686,2025-01-07 18:29:59.999,1037338.6026,5413,734171,462618.1752,0
2025-01-07 18:30:00,0.6247,0.6253,0.6027,0.6074,3042003,2025-01-07 18:44:59.999,1868425.3992,10791,1343038,824976.5333,0
2025-01-07 18:45:00,0.6075,0.6209,0.6041,0.6129,1453387,2025-01-07 18:59:59.999,891721.0777,6579,722945,443542.7287,0
2025-01-07 19:00:00,0.6127,0.6289,0.611,0.6266,1735730,2025-01-07 19:14:59.999,1077703.4154,7493,882455,548287.1552,0
2025-01-07 19:15:00,0.6267,0.6299,0.6124,0.6204,1127098,2025-01-07 19:29:59.999,698912.1316,4817,500250,310014.845,0
2025-01-07 19:30:00,0.6204,0.6253,0.6042,0.6139,1616565,2025-01-07 19:44:59.999,992755.981,5738,763582,469058.5877,0
2025-01-07 19:45:00,0.6139,0.6178,0.5865,0.5894,3254512,2025-01-07 19:59:59.999,1948148.5681,11279,1314605,786399.3069,0
2025-01-07 20:00:00,0.5897,0.5919,0.5806,0.5888,2203248,2025-01-07 20:14:59.999,1290228.8096,8088,1094369,641371.0002,0
2025-01-07 20:15:00,0.5889,0.5933,0.5707,0.5733,2026202,2025-01-07 20:29:59.999,1178790.8657,7054,821746,478606.1457,0
2025-01-07 20:30:00,0.5732,0.5829,0.5646,0.5664,2313602,2025-01-07 20:44:59.999,1328149.8477,8126,1044888,600546.6487,0
2025-01-07 20:45:00,0.5664,0.583,0.56,0.5785,2659988,2025-01-07 20:59:59.999,1521060.1656,9008,1323973,757237.0422,0
2025-01-07 21:00:00,0.5785,0.5959,0.5758,0.5951,1430045,2025-01-07 21:14:59.999,837413.0245,4888,753762,441502.6216,0
2025-01-07 21:15:00,0.5951,0.5975,0.5803,0.5882,1505467,2025-01-07 21:29:59.999,886135.6029,5221,632513,372114.8632,0
2025-01-07 21:30:00,0.5883,0.595,0.575,0.5808,1622481,2025-01-07 21:44:59.999,949132.5758,5274,741131,433531.3129,0
2025-01-07 21:45:00,0.5808,0.585,0.5701,0.5709,1002644,2025-01-07 21:59:59.999,578731.7729,3823,492285,284224.7867,0
2025-01-07 22:00:00,0.571,0.5853,0.5674,0.5844,1456611,2025-01-07 22:14:59.999,838092.9669,5121,770145,443460.1555,0
2025-01-07 22:15:00,0.5843,0.595,0.5822,0.5938,1468965,2025-01-07 22:29:59.999,866371.2314,5394,726649,428673.5585,0
2025-01-07 22:30:00,0.5939,0.6135,0.5911,0.6056,2392840,2025-01-07 22:44:59.999,1446103.7485,8239,1193415,721176.2372,0
2025-01-07 22:45:00,0.6056,0.6124,0.6003,0.6032,989911,2025-01-07 22:59:59.999,599047.7303,4058,448836,271714.9283,0
2025-01-07 23:00:00,0.6033,0.6098,0.5981,0.6088,710768,2025-01-07 23:14:59.999,428303.5008,3048,359570,216766.339,0
2025-01-07 23:15:00,0.6086,0.6341,0.6084,0.6336,2415880,2025-01-07 23:29:59.999,1500538.8777,9862,1320883,820625.0734,0
2025-01-07 23:30:00,0.6332,0.6373,0.6245,0.63,1852248,2025-01-07 23:44:59.999,1170857.1606,7399,954732,603728.9271,0
2025-01-07 23:45:00,0.63,0.6392,0.62,0.6287,1519303,2025-01-07 23:59:59.999,955175.2968,6192,810244,509296.4091,0
2025-01-08 00:00:00,0.6288,0.6324,0.606,0.6139,2263779,2025-01-08 00:14:59.999,1403449.6825,8933,1004021,622572.1432,0
2025-01-08 00:15:00,0.6139,0.6169,0.5948,0.6062,1779688,2025-01-08 00:29:59.999,1074524.5952,7205,840352,507780.3964,0
2025-01-08 00:30:00,0.6062,0.6334,0.6006,0.6325,1740338,2025-01-08 00:44:59.999,1074619.6048,7319,960787,593356.4071,0
2025-01-08 00:45:00,0.6327,0.6515,0.627,0.6471,2619717,2025-01-08 00:59:59.999,1677157.1012,11040,1465148,938562.0581,0
2025-01-08 01:00:00,0.6471,0.66,0.6336,0.6352,4824592,2025-01-08 01:14:59.999,3133497.3666,15412,2317553,1506513.7458,0
2025-01-08 01:15:00,0.635,0.6436,0.6272,0.6392,1895771,2025-01-08 01:29:59.999,1204230.6879,6327,881278,559918.6516,0
2025-01-08 01:30:00,0.6392,0.6496,0.6268,0.6319,2221805,2025-01-08 01:44:59.999,1420652.0337,7282,1100572,704336.9351,0
2025-01-08 01:45:00,0.6315,0.6464,0.6181,0.644,2552862,2025-01-08 01:59:59.999,1605586.4424,8665,1348441,848794.0409,0
2025-01-08 02:00:00,0.644,0.6477,0.6317,0.6398,1885813,2025-01-08 02:14:59.999,1207469.8924,6660,895702,573739.8129,0
2025-01-08 02:15:00,0.6397,0.6437,0.6215,0.6215,2147074,2025-01-08 02:29:59.999,1355470.649,7455,843556,532268.7787,0
2025-01-08 02:30:00,0.6216,0.6332,0.62,0.6274,1366891,2025-01-08 02:44:59.999,855974.9726,5274,686635,429777.4361,0
2025-01-08 02:45:00,0.6277,0.6345,0.62,0.6211,1339940,2025-01-08 02:59:59.999,841316.7299,4633,647570,406924.1365,0
2025-01-08 03:00:00,0.6212,0.6215,0.6014,0.6096,3441714,2025-01-08 03:14:59.999,2093809.5587,9979,1552159,943850.4876,0
2025-01-08 03:15:00,0.6095,0.6151,0.6032,0.6033,1237709,2025-01-08 03:29:59.999,753545.7053,4038,585050,356316.7582,0
2025-01-08 03:30:00,0.6031,0.6147,0.6014,0.6094,1359922,2025-01-08 03:44:59.999,825669.8404,4671,735572,446410.0874,0
2025-01-08 03:45:00,0.6093,0.6099,0.6013,0.6046,1369641,2025-01-08 03:59:59.999,829171.8894,4819,688761,416997.2797,0
2025-01-08 04:00:00,0.6046,0.6051,0.5856,0.5866,2408648,2025-01-08 04:14:59.999,1426561.3598,7196,991174,587062.8747,0
