open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-02 12:30:00,0.8207,0.8545,0.8154,0.8327,1759073,2024-10-02 12:44:59.999,1473403.6038,5921,806633,675565.51,0
2024-10-02 12:45:00,0.8322,0.842,0.8188,0.8249,1809703,2024-10-02 12:59:59.999,1500797.6236,7248,922773,765827.0644,0
2024-10-02 13:00:00,0.825,0.8383,0.803,0.8075,1726379,2024-10-02 13:14:59.999,1419208.4416,6608,791297,651710.3978,0
2024-10-02 13:15:00,0.8075,0.8184,0.792,0.8034,1702205,2024-10-02 13:29:59.999,1369967.0299,7435,882930,710623.8559,0
2024-10-02 13:30:00,0.8024,0.82,0.7955,0.8149,1416214,2024-10-02 13:44:59.999,1142290.116,6466,764732,617236.9172,0
2024-10-02 13:45:00,0.814,0.8244,0.792,0.7993,1534933,2024-10-02 13:59:59.999,1238561.3666,6196,751093,607151.2571,0
2024-10-02 14:00:00,0.7993,0.8014,0.7849,0.7941,1041747,2024-10-02 14:14:59.999,826668.4503,4161,503042,399395.7495,0
2024-10-02 14:15:00,0.794,0.7993,0.7777,0.7818,1008667,2024-10-02 14:29:59.999,792620.3849,3337,412385,324295.7856,0
2024-10-02 14:30:00,0.7817,0.7982,0.7817,0.7882,662859,2024-10-02 14:44:59.999,524924.7169,2420,356872,282459.304,0
2024-10-02 14:45:00,0.7883,0.793,0.7821,0.7832,373435,2024-10-02 14:59:59.999,293655.8293,2008,187424,147533.0687,0
2024-10-02 15:00:00,0.7836,0.7846,0.7657,0.7687,903954,2024-10-02 15:14:59.999,698549.2907,2903,353290,272839.3154,0
2024-10-02 15:15:00,0.7687,0.7848,0.7686,0.7768,551365,2024-10-02 15:29:59.999,429123.2958,2133,287097,223399.9502,0
2024-10-02 15:30:00,0.777,0.7805,0.7659,0.7673,761575,2024-10-02 15:44:59.999,588501.7046,3013,365430,282489.1879,0
2024-10-02 15:45:00,0.7673,0.7846,0.762,0.779,1072428,2024-10-02 15:59:59.999,829401.1058,4093,565005,437144.2058,0
2024-10-02 16:00:00,0.779,0.7875,0.7705,0.7781,898094,2024-10-02 16:14:59.999,698882.964,3636,464254,361430.3923,0
2024-10-02 16:15:00,0.7781,0.7782,0.77,0.7747,343262,2024-10-02 16:29:59.999,265670.6259,970,186588,144452.0423,0
2024-10-02 16:30:00,0.7739,0.7844,0.7472,0.7509,1176359,2024-10-02 16:44:59.999,895185.6357,3613,454312,346359.4841,0
