open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-08 15:45:00,0.9156,0.9378,0.8899,0.9223,3461039,2024-11-08 15:59:59.999,3183082.9873,8668,1918686,1763548.3286,0
2024-11-08 16:00:00,0.9211,0.936,0.9049,0.912,1994391,2024-11-08 16:14:59.999,1833948.1164,6583,1002486,921986.7035,0
2024-11-08 16:15:00,0.912,0.934,0.9104,0.918,1386241,2024-11-08 16:29:59.999,1275695.4221,5168,722891,665823.1051,0
2024-11-08 16:30:00,0.9187,0.9239,0.8987,0.9112,1588930,2024-11-08 16:44:59.999,1447296.4662,6330,868953,792171.1591,0
2024-11-08 16:45:00,0.9114,0.9385,0.9074,0.9293,2310958,2024-11-08 16:59:59.999,2135302.7267,13002,1160039,1072020.1764,0
2024-11-08 17:00:00,0.9293,0.9783,0.9217,0.9578,8608873,2024-11-08 17:14:59.999,8191554.5717,56770,4284767,4080307.1975,0
2024-11-08 17:15:00,0.9581,1.0461,0.953,1.0414,12285536,2024-11-08 17:29:59.999,12335056.382,67136,6294996,6323040.5119,0
2024-11-08 17:30:00,1.0414,1.0434,0.98,1.0177,13043360,2024-11-08 17:44:59.999,13163100.0449,69211,6055472,6115581.4476,0
2024-11-08 17:45:00,1.0176,1.1143,1.002,1.0831,15551378,2024-11-08 17:59:59.999,16436231.8944,83810,7886537,8345518.9026,0
2024-11-08 18:00:00,1.0835,1.1817,1.0683,1.1538,21927859,2024-11-08 18:14:59.999,24788834.1052,120866,11448351,12952395.6497,0
2024-11-08 18:15:00,1.1533,1.1818,1.1133,1.1553,21744131,2024-11-08 18:29:59.999,24971987.8593,119912,10300607,11839729.6254,0
2024-11-08 18:30:00,1.1545,1.1727,1.102,1.1345,14166561,2024-11-08 18:44:59.999,16095697.2927,88073,6902331,7846784.9979,0
2024-11-08 18:45:00,1.1345,1.171,1.1272,1.1507,8990812,2024-11-08 18:59:59.999,10358761.1912,59893,4404875,5076545.5216,0
2024-11-08 19:00:00,1.1515,1.2238,1.1425,1.2041,16311871,2024-11-08 19:14:59.999,19470555.6193,90180,8439938,10077271.7993,0
2024-11-08 19:15:00,1.2041,1.318,1.1981,1.2678,33897248,2024-11-08 19:29:59.999,42767524.2364,182719,16908403,21350240.2737,0
2024-11-08 19:30:00,1.2682,1.333,1.2612,1.2997,20103477,2024-11-08 19:44:59.999,26035038.796,107280,10072595,13056511.0484,0
2024-11-08 19:45:00,1.2996,1.3179,1.2501,1.2684,12302650,2024-11-08 19:59:59.999,15808000.3191,83968,6030441,7751763.7802,0
2024-11-08 20:00:00,1.2684,1.2813,1.1358,1.1394,28980642,2024-11-08 20:14:59.999,34645552.2114,142286,13644381,16318398.8885,0
2024-11-08 20:15:00,1.1385,1.1685,1.085,1.1374,32494089,2024-11-08 20:29:59.999,36563152.6966,151271,16304085,18365210.6148,0
2024-11-08 20:30:00,1.1375,1.175,1.12,1.1705,12432473,2024-11-08 20:44:59.999,14309481.6902,60897,6461113,7446127.7808,0
2024-11-08 20:45:00,1.1706,1.249,1.165,1.2207,16342574,2024-11-08 20:59:59.999,19871709.7275,69149,8573533,10422364.3249,0
2024-11-08 21:00:00,1.2205,1.2336,1.1505,1.16,10484435,2024-11-08 21:14:59.999,12532055.1512,53736,4701924,5626658.4826,0
2024-11-08 21:15:00,1.1599,1.2,1.1366,1.185,9301177,2024-11-08 21:29:59.999,10873386.5768,45680,5059667,5915981.3875,0
2024-11-08 21:30:00,1.185,1.2257,1.1562,1.2053,6865331,2024-11-08 21:44:59.999,8150545.1641,40453,3672408,4362533.1742,0
2024-11-08 21:45:00,1.2055,1.2089,1.1678,1.1809,3823975,2024-11-08 21:59:59.999,4545866.1581,26694,1770799,2105748.1501,0
2024-11-08 22:00:00,1.1809,1.2466,1.1685,1.2312,7593337,2024-11-08 22:14:59.999,9232797.8167,45886,3892987,4734621.876,0
2024-11-08 22:15:00,1.2306,1.31,1.2295,1.2751,15967639,2024-11-08 22:29:59.999,20363452.4702,72981,8197274,10447199.1432,0
2024-11-08 22:30:00,1.275,1.32,1.2369,1.3108,11143181,2024-11-08 22:44:59.999,14339512.2143,58314,5719680,7368368.7528,0
2024-11-08 22:45:00,1.3103,1.32,1.28,1.3125,6964108,2024-11-08 22:59:59.999,9048015.3442,38314,3645821,4738011.1252,0
2024-11-08 23:00:00,1.3125,1.3347,1.2914,1.3204,10317935,2024-11-08 23:14:59.999,13570719.7253,56590,5171740,6807802.9158,0
2024-11-08 23:15:00,1.3201,1.4588,1.3134,1.4189,28195583,2024-11-08 23:29:59.999,39388135.1439,141757,14693695,20518527.7044,0
2024-11-08 23:30:00,1.4181,1.4372,1.3719,1.4186,16227099,2024-11-08 23:44:59.999,22647298.9184,74001,8930751,12458860.2169,0
2024-11-08 23:45:00,1.4176,1.4398,1.374,1.3953,12767141,2024-11-08 23:59:59.999,17915878.8526,70967,6371651,8946138.3616,0
2024-11-09 00:00:00,1.3954,1.52,1.3612,1.3901,33852330,2024-11-09 00:14:59.999,48659179.2963,180262,16812462,24197060.3262,0
2024-11-09 00:15:00,1.3893,1.5085,1.3847,1.4911,18452306,2024-11-09 00:29:59.999,26682639.9495,109277,9457712,13682580.1333,0
2024-11-09 00:30:00,1.4902,1.6,1.4898,1.5504,19214642,2024-11-09 00:44:59.999,29853951.1018,119077,9751483,15156118.4106,0
2024-11-09 00:45:00,1.5498,1.6184,1.5,1.5824,12044477,2024-11-09 00:59:59.999,18608963.4825,75091,5909382,9144759.0989,0
2024-11-09 01:00:00,1.5816,1.7112,1.5753,1.6656,21731474,2024-11-09 01:14:59.999,35570345.1346,126480,11237548,18414590.3947,0
2024-11-09 01:15:00,1.6656,1.96,1.6491,1.8344,46340270,2024-11-09 01:29:59.999,84602683.285,255831,24394829,44529639.2823,0
2024-11-09 01:30:00,1.8344,2.03,1.723,1.8429,49392322,2024-11-09 01:44:59.999,93941901.8151,299067,24905386,47433510.1159,0
2024-11-09 01:45:00,1.8432,1.9475,1.724,1.875,29511906,2024-11-09 01:59:59.999,54248384.2479,209196,14354217,26415257.1039,0
2024-11-09 02:00:00,1.8772,1.905,1.77,1.7818,16836768,2024-11-09 02:14:59.999,30879051.3208,126364,7934050,14565811.9278,0
2024-11-09 02:15:00,1.7818,1.9397,1.7356,1.906,18384951,2024-11-09 02:29:59.999,34107325.7879,128723,9341114,17352179.2838,0
2024-11-09 02:30:00,1.9057,1.93,1.8324,1.8762,11194418,2024-11-09 02:44:59.999,21104101.2157,86668,5238431,9883337.8305,0
2024-11-09 02:45:00,1.8753,1.9191,1.7826,1.8073,13351929,2024-11-09 02:59:59.999,24698405.6194,92622,6458194,11954787.7983,0
2024-11-09 03:00:00,1.8074,1.848,1.7633,1.7985,13924994,2024-11-09 03:14:59.999,25159448.3919,97555,7351812,13286142.9771,0
2024-11-09 03:15:00,1.7984,1.9099,1.7882,1.8349,15377657,2024-11-09 03:29:59.999,28643963.2184,98435,7713749,14371640.3824,0
2024-11-09 03:30:00,1.8346,1.87,1.8021,1.8456,10436312,2024-11-09 03:44:59.999,19192602.4499,59887,5001112,9202615.5531,0
2024-11-09 03:45:00,1.8459,1.912,1.8344,1.8979,12070243,2024-11-09 03:59:59.999,22698638.2855,70889,6038346,11355292.4249,0
2024-11-09 04:00:00,1.8979,1.9806,1.843,1.8914,20825755,2024-11-09 04:14:59.999,39598999.2191,134001,10910613,20777716.9722,0
2024-11-09 04:15:00,1.8919,1.9768,1.8801,1.9628,8180284,2024-11-09 04:29:59.999,15797346.9383,61874,4429022,8556728.4417,0
2024-11-09 04:30:00,1.9631,2.086,1.9301,2.0019,17194116,2024-11-09 04:44:59.999,34522503.3877,117182,8993746,18073231.5527,0
2024-11-09 04:45:00,2.0011,2.0577,1.987,2.004,8403909,2024-11-09 04:59:59.999,17001300.2296,66401,4179646,8460582.0307,0
2024-11-09 05:00:00,2.0041,2.0049,1.8388,1.8577,15114976,2024-11-09 05:14:59.999,28957299.7244,106303,6749001,12935919.61,0
2024-11-09 05:15:00,1.858,1.939,1.8334,1.9158,9858151,2024-11-09 05:29:59.999,18566328.2152,76238,5323092,10036635.8669,0
2024-11-09 05:30:00,1.9164,1.9229,1.8593,1.8755,5524794,2024-11-09 05:44:59.999,10440104.706,46896,2622325,4956957.9833,0
2024-11-09 05:45:00,1.876,1.926,1.8434,1.8675,7169988,2024-11-09 05:59:59.999,13471872.5848,65504,3544070,6666356.1687,0
2024-11-09 06:00:00,1.8666,1.899,1.8431,1.8732,5649787,2024-11-09 06:14:59.999,10595488.3529,51209,2902957,5445248.3744,0
2024-11-09 06:15:00,1.8732,1.9148,1.8312,1.8839,8294234,2024-11-09 06:29:59.999,15538497.6309,66863,4147092,7777237.9344,0
2024-11-09 06:30:00,1.8839,2.0342,1.8798,1.9901,16942012,2024-11-09 06:44:59.999,33453762.6669,107787,8888326,17541970.8919,0
2024-11-09 06:45:00,1.9901,2.0151,1.9578,1.9707,8011987,2024-11-09 06:59:59.999,15911005.757,62217,3872908,7695005.8014,0
2024-11-09 07:00:00,1.9722,2.0145,1.953,1.9718,7356630,2024-11-09 07:14:59.999,14599747.9877,63428,3753268,7452023.1926,0
2024-11-09 07:15:00,1.9706,1.999,1.925,1.9354,7224229,2024-11-09 07:29:59.999,14152406.354,61322,3342402,6550733.7075,0
2024-11-09 07:30:00,1.9366,1.9729,1.911,1.9565,8033068,2024-11-09 07:44:59.999,15585333.0381,64310,3976160,7718671.1473,0
2024-11-09 07:45:00,1.9565,1.995,1.9404,1.9912,8384542,2024-11-09 07:59:59.999,16503320.5538,60420,4378305,8623069.8241,0
2024-11-09 08:00:00,1.9912,1.9973,1.88,1.921,13811691,2024-11-09 08:14:59.999,26602708.0914,85158,6336789,12205445.1071,0
2024-11-09 08:15:00,1.9203,1.9284,1.764,1.7872,26516429,2024-11-09 08:29:59.999,48400258.5264,148938,12315841,22491406.1933,0
2024-11-09 08:30:00,1.7869,1.8162,1.6644,1.6704,25303700,2024-11-09 08:44:59.999,44080122.3203,140089,11687578,20388453.9776,0
2024-11-09 08:45:00,1.6706,1.752,1.6017,1.7346,35794404,2024-11-09 08:59:59.999,59692391.4321,183452,18496004,30886536.6517,0
2024-11-09 09:00:00,1.7341,1.759,1.6824,1.7073,16347575,2024-11-09 09:14:59.999,28075709.6953,98217,8044964,13823547.0055,0
2024-11-09 09:15:00,1.7065,1.744,1.683,1.6981,10544459,2024-11-09 09:29:59.999,18121592.8491,70025,5090089,8752995.5942,0
2024-11-09 09:30:00,1.6981,1.724,1.6255,1.6362,11879211,2024-11-09 09:44:59.999,19903703.0214,83228,5720352,9592120.2237,0
2024-11-09 09:45:00,1.6362,1.73,1.6221,1.7019,13122702,2024-11-09 09:59:59.999,22085878.5302,99354,7050134,11866041.0258,0
2024-11-09 10:00:00,1.702,1.76,1.6941,1.7277,12035734,2024-11-09 10:14:59.999,20881336.0768,92340,6232692,10816190.8699,0
2024-11-09 10:15:00,1.7279,1.7428,1.673,1.7298,9470296,2024-11-09 10:29:59.999,16190427.3603,83515,4743594,8112673.2452,0
2024-11-09 10:30:00,1.7299,1.7313,1.6358,1.6569,9465055,2024-11-09 10:44:59.999,15867019.4189,89246,4396175,7369740.9248,0
2024-11-09 10:45:00,1.6563,1.695,1.6324,1.6595,9318567,2024-11-09 10:59:59.999,15490290.5884,89816,4837359,8045228.7631,0
2024-11-09 11:00:00,1.6601,1.7146,1.6477,1.6835,8434396,2024-11-09 11:14:59.999,14209108.1408,82907,4612814,7772437.1718,0
2024-11-09 11:15:00,1.6836,1.706,1.6562,1.6663,6064015,2024-11-09 11:29:59.999,10191578.6578,63518,3004985,5052049.1655,0
2024-11-09 11:30:00,1.6671,1.695,1.649,1.6664,7719278,2024-11-09 11:44:59.999,12893918.4819,75381,3754999,6274375.3712,0
2024-11-09 11:45:00,1.6662,1.7077,1.6601,1.6923,7841120,2024-11-09 11:59:59.999,13230297.6466,72982,4175745,7049152.7512,0
2024-11-09 12:00:00,1.693,1.6944,1.6242,1.6525,10522631,2024-11-09 12:14:59.999,17455494.1357,88305,5017584,8326474.2545,0
2024-11-09 12:15:00,1.6524,1.6537,1.577,1.5901,17320314,2024-11-09 12:29:59.999,27858024.2084,122840,8157349,13126746.8754,0
2024-11-09 12:30:00,1.5904,1.6599,1.566,1.6151,12390187,2024-11-09 12:44:59.999,20008778.6691,85455,6354668,10266501.628,0
2024-11-09 12:45:00,1.615,1.635,1.554,1.5864,12248726,2024-11-09 12:59:59.999,19441038.9359,90224,6022297,9560510.9514,0
2024-11-09 13:00:00,1.5868,1.5884,1.488,1.5006,24086844,2024-11-09 13:14:59.999,36753240.0952,126305,11265896,17196643.4221,0
2024-11-09 13:15:00,1.501,1.5441,1.4906,1.5226,14235701,2024-11-09 13:29:59.999,21614065.6909,84877,7659634,11632698.7504,0
2024-11-09 13:30:00,1.5229,1.578,1.5172,1.546,13843335,2024-11-09 13:44:59.999,21540826.8392,88289,7328995,11404571.4939,0
2024-11-09 13:45:00,1.5457,1.5574,1.5079,1.5261,8141098,2024-11-09 13:59:59.999,12513836.8699,61620,3901755,5998433.7647,0
2024-11-09 14:00:00,1.5267,1.5674,1.5176,1.5634,6768172,2024-11-09 14:14:59.999,10474059.4037,57469,3495046,5409617.8796,0
2024-11-09 14:15:00,1.5634,1.5695,1.5231,1.5384,6163964,2024-11-09 14:29:59.999,9531491.162,53521,3121986,4828256.3581,0
2024-11-09 14:30:00,1.5381,1.5483,1.5,1.502,6907315,2024-11-09 14:44:59.999,10529062.5456,54880,3323058,5068099.8412,0
2024-11-09 14:45:00,1.502,1.531,1.476,1.5134,11728656,2024-11-09 14:59:59.999,17610323.7569,76983,5792832,8701788.3723,0
2024-11-09 15:00:00,1.5138,1.548,1.5005,1.5393,7886002,2024-11-09 15:14:59.999,11993458.6048,59216,4116796,6261600.2218,0
2024-11-09 15:15:00,1.5389,1.5489,1.5173,1.5334,5675782,2024-11-09 15:29:59.999,8707801.6047,49443,2857899,4386255.4374,0
2024-11-09 15:30:00,1.5335,1.568,1.53,1.5549,7729150,2024-11-09 15:44:59.999,11985733.7254,58262,4070979,6314551.2166,0
2024-11-09 15:45:00,1.5554,1.7076,1.5501,1.6891,23906822,2024-11-09 15:59:59.999,38920476.0263,149100,13295674,21656512.4827,0
2024-11-09 16:00:00,1.6899,1.8617,1.6642,1.7822,46686922,2024-11-09 16:14:59.999,83160772.4496,247427,24149366,43013006.6076,0
2024-11-09 16:15:00,1.783,1.8,1.7223,1.7613,23051901,2024-11-09 16:29:59.999,40697104.7534,132704,11068304,19555248.3264,0
2024-11-09 16:30:00,1.7607,1.7774,1.6644,1.6692,19095894,2024-11-09 16:44:59.999,33045001.9641,122222,8650691,14990828.724,0
2024-11-09 16:45:00,1.6692,1.7222,1.6444,1.6669,13941715,2024-11-09 16:59:59.999,23507158.0183,93543,6784452,11449083.8524,0
2024-11-09 17:00:00,1.6666,1.6989,1.6264,1.6711,15693652,2024-11-09 17:14:59.999,26058932.9634,103490,8102514,13465143.1156,0
2024-11-09 17:15:00,1.6711,1.7105,1.6542,1.6757,11188162,2024-11-09 17:29:59.999,18802765.863,79317,5582829,9389574.8226,0
2024-11-09 17:30:00,1.6762,1.6839,1.6502,1.6545,5008226,2024-11-09 17:44:59.999,8328073.521,47315,2566667,4268517.3142,0
2024-11-09 17:45:00,1.6546,1.6592,1.605,1.62,9832443,2024-11-09 17:59:59.999,16028814.851,69499,4530500,7389125.8869,0
2024-11-09 18:00:00,1.6197,1.652,1.5856,1.6373,8484667,2024-11-09 18:14:59.999,13721781.8662,68318,4310041,6976450.7715,0
2024-11-09 18:15:00,1.6372,1.695,1.6081,1.6743,6402367,2024-11-09 18:29:59.999,10534626.4798,60169,3400935,5603499.9567,0
2024-11-09 18:30:00,1.6743,1.6831,1.6491,1.6543,4881190,2024-11-09 18:44:59.999,8137079.4259,47490,2447616,4082512.3791,0
2024-11-09 18:45:00,1.6543,1.6774,1.6483,1.6697,3466954,2024-11-09 18:59:59.999,5754043.2083,37423,1804087,2994521.4961,0
2024-11-09 19:00:00,1.6701,1.7123,1.6536,1.6951,5486965,2024-11-09 19:14:59.999,9249605.1892,50019,2833251,4778154.9484,0
2024-11-09 19:15:00,1.6947,1.6984,1.6534,1.6701,4033893,2024-11-09 19:29:59.999,6756871.6086,38227,1930893,3235998.6059,0
2024-11-09 19:30:00,1.6701,1.7047,1.665,1.6927,3194102,2024-11-09 19:44:59.999,5386291.5637,32736,1635926,2759512.201,0
2024-11-09 19:45:00,1.6928,1.737,1.6871,1.7279,5416341,2024-11-09 19:59:59.999,9274844.2806,52066,2777624,4757234.6342,0
2024-11-09 20:00:00,1.7279,1.7289,1.6565,1.664,5321402,2024-11-09 20:14:59.999,8962015.5323,46531,2573584,4334024.1972,0
2024-11-09 20:15:00,1.664,1.685,1.6578,1.6634,2397383,2024-11-09 20:29:59.999,4006686.2639,24729,1276696,2134400.2103,0
2024-11-09 20:30:00,1.6634,1.6727,1.6466,1.6694,3232629,2024-11-09 20:44:59.999,5362700.2196,30187,1593748,2644619.5183,0
2024-11-09 20:45:00,1.669,1.6863,1.6525,1.6635,2162560,2024-11-09 20:59:59.999,3608904.4689,22467,1110297,1853330.6844,0
2024-11-09 21:00:00,1.6631,1.6999,1.6565,1.6897,2768026,2024-11-09 21:14:59.999,4650861.6999,29925,1405678,2361920.633,0
2024-11-09 21:15:00,1.6899,1.7396,1.6865,1.7226,4847411,2024-11-09 21:29:59.999,8322419.3892,45382,2508857,4307983.4695,0
2024-11-09 21:30:00,1.7228,1.7998,1.7133,1.7865,8854326,2024-11-09 21:44:59.999,15650715.2381,74758,4661837,8240525.9864,0
2024-11-09 21:45:00,1.7867,1.806,1.7637,1.7696,5278752,2024-11-09 21:59:59.999,9402153.7799,49815,2644347,4712776.5173,0
2024-11-09 22:00:00,1.7702,1.8245,1.7586,1.8127,6113031,2024-11-09 22:14:59.999,10982723.1112,57538,3094646,5562821.7724,0
2024-11-09 22:15:00,1.8126,1.8199,1.741,1.7585,5095106,2024-11-09 22:29:59.999,9091438.422,48314,2243442,4009026.6789,0
2024-11-09 22:30:00,1.7585,1.7925,1.7569,1.7921,3356455,2024-11-09 22:44:59.999,5942403.2476,32706,1814872,3214425.3447,0
2024-11-09 22:45:00,1.7919,1.81,1.78,1.7866,3271089,2024-11-09 22:59:59.999,5876418.7442,29798,1475777,2651750.4914,0
2024-11-09 23:00:00,1.7865,1.8277,1.7803,1.7955,4042518,2024-11-09 23:14:59.999,7287042.8886,36511,2022983,3647525.0633,0
2024-11-09 23:15:00,1.7954,1.8276,1.7865,1.8019,3700823,2024-11-09 23:29:59.999,6699939.3938,33972,1973599,3571865.1528,0
2024-11-09 23:30:00,1.8017,1.8035,1.7659,1.7775,4093709,2024-11-09 23:44:59.999,7296651.2264,37486,1951688,3479977.3563,0
