open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-02 12:30:00,0.619,0.621,0.593,0.612,5773356,2024-04-02 12:44:59.999,3520843.017,10921,2710326,1649411.774,0
2024-04-02 12:45:00,0.611,0.626,0.61,0.625,3529497,2024-04-02 12:59:59.999,2181139.948,9470,1809124,1119156.124,0
2024-04-02 13:00:00,0.625,0.65,0.624,0.646,9021097,2024-04-02 13:14:59.999,5749602.778,22233,4527935,2889434.066,0
2024-04-02 13:15:00,0.646,0.658,0.627,0.637,11830330,2024-04-02 13:29:59.999,7629459.671,24748,5990132,3866311.19,0
2024-04-02 13:30:00,0.636,0.651,0.622,0.651,7738486,2024-04-02 13:44:59.999,4931583.414,18067,3968227,2532629.111,0
2024-04-02 13:45:00,0.651,0.729,0.65,0.705,30753353,2024-04-02 13:59:59.999,21400926.003,66489,15273608,10614710.936,0
2024-04-02 14:00:00,0.706,0.779,0.693,0.766,38410184,2024-04-02 14:14:59.999,28462504.386,89452,19565801,14511315.672,0
2024-04-02 14:15:00,0.765,0.77,0.723,0.737,22723166,2024-04-02 14:29:59.999,16872509.65,52473,10768831,7998442.683,0
2024-04-02 14:30:00,0.737,0.738,0.7,0.728,22647911,2024-04-02 14:44:59.999,16220953.845,48263,10500232,7528732.846,0
2024-04-02 14:45:00,0.728,0.729,0.68,0.692,19482751,2024-04-02 14:59:59.999,13632431.777,41552,9264934,6480730.128,0
2024-04-02 15:00:00,0.692,0.711,0.668,0.703,18549647,2024-04-02 15:14:59.999,12792749.129,36066,9211902,6359052.646,0
2024-04-02 15:15:00,0.703,0.724,0.7,0.721,16334233,2024-04-02 15:29:59.999,11647472.747,34123,8568847,6114541.562,0
2024-04-02 15:30:00,0.721,0.736,0.711,0.719,15898493,2024-04-02 15:44:59.999,11531775.078,35511,7960456,5777701.044,0
2024-04-02 15:45:00,0.718,0.719,0.678,0.689,16015909,2024-04-02 15:59:59.999,11200419.378,36051,7277234,5093131.844,0
2024-04-02 16:00:00,0.69,0.715,0.688,0.703,11704780,2024-04-02 16:14:59.999,8220343.043,28280,6246582,4387635.143,0
2024-04-02 16:15:00,0.704,0.726,0.698,0.725,11277166,2024-04-02 16:29:59.999,8043423.223,26919,6140551,4383596.439,0
2024-04-02 16:30:00,0.725,0.731,0.71,0.718,9249799,2024-04-02 16:44:59.999,6680504.213,23798,4514613,3263761.8,0
2024-04-02 16:45:00,0.717,0.738,0.708,0.731,11485617,2024-04-02 16:59:59.999,8337769.916,27061,5498191,3995919.421,0
2024-04-02 17:00:00,0.731,0.774,0.726,0.767,26478005,2024-04-02 17:14:59.999,19947762.283,57191,13892926,10469189.355,0
2024-04-02 17:15:00,0.768,0.809,0.756,0.803,23894905,2024-04-02 17:29:59.999,18716409.873,53271,12853621,10079565.616,0
2024-04-02 17:30:00,0.803,0.843,0.785,0.828,38578018,2024-04-02 17:44:59.999,31531665.295,76980,19399345,15859600.812,0
2024-04-02 17:45:00,0.828,0.83,0.785,0.807,23930289,2024-04-02 17:59:59.999,19230594.017,56511,11236372,9029360.892,0
2024-04-02 18:00:00,0.807,0.854,0.806,0.836,25702142,2024-04-02 18:14:59.999,21396805.368,68027,13560591,11288753.431,0
2024-04-02 18:15:00,0.837,0.88,0.825,0.875,34027573,2024-04-02 18:29:59.999,29262414.516,85456,17429527,15001099.93,0
2024-04-02 18:30:00,0.875,0.91,0.86,0.89,43610816,2024-04-02 18:44:59.999,38505224.361,104112,22988097,20320153.677,0
2024-04-02 18:45:00,0.89,0.903,0.834,0.846,32151038,2024-04-02 18:59:59.999,28002006.057,93857,14412322,12564404.793,0
2024-04-02 19:00:00,0.847,0.876,0.836,0.837,19929390,2024-04-02 19:14:59.999,17130321.494,56881,9567005,8227343.596,0
