open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-19 12:30:00,0.3012,0.3193,0.2946,0.3077,8497447,2024-09-19 12:44:59.999,2636111.86,14179,3498719,1086517.3223,0
2024-09-19 12:45:00,0.3079,0.334,0.3076,0.3269,13878823,2024-09-19 12:59:59.999,4496302.7531,23210,6595709,2138923.8545,0
2024-09-19 13:00:00,0.3272,0.3728,0.3264,0.37,31298226,2024-09-19 13:14:59.999,11092151.083,52510,15989358,5666525.3098,0
2024-09-19 13:15:00,0.3699,0.4432,0.3688,0.3988,90750427,2024-09-19 13:29:59.999,37379128.2932,114407,43760381,18031304.4696,0
2024-09-19 13:30:00,0.3988,0.4184,0.387,0.4013,42185368,2024-09-19 13:44:59.999,16945904.9494,50915,20079730,8078039.8386,0
2024-09-19 13:45:00,0.4013,0.407,0.3815,0.4037,27330023,2024-09-19 13:59:59.999,10785228.7452,36453,12730439,5026895.6402,0
2024-09-19 14:00:00,0.4034,0.4267,0.4008,0.4078,31122740,2024-09-19 14:14:59.999,12851966.2795,43672,14849017,6136212.2066,0
2024-09-19 14:15:00,0.4077,0.4124,0.3876,0.3964,18059993,2024-09-19 14:29:59.999,7218809.404,28176,8150609,3259709.8945,0
2024-09-19 14:30:00,0.3965,0.4093,0.3956,0.4019,12006639,2024-09-19 14:44:59.999,4840935.4473,20031,6051901,2440851.6964,0
2024-09-19 14:45:00,0.402,0.415,0.3936,0.4128,19522126,2024-09-19 14:59:59.999,7925269.91,30985,9420444,3826941.8877,0
2024-09-19 15:00:00,0.4129,0.415,0.4002,0.407,16026126,2024-09-19 15:14:59.999,6563254.8067,23635,7649723,3135621.2526,0
2024-09-19 15:15:00,0.407,0.4123,0.3918,0.3993,14027015,2024-09-19 15:29:59.999,5632692.1288,22612,6509254,2615665.4339,0
2024-09-19 15:30:00,0.3996,0.4115,0.3978,0.4108,10363192,2024-09-19 15:44:59.999,4212834.0962,17504,5325998,2165971.0719,0
2024-09-19 15:45:00,0.4107,0.4139,0.4064,0.4103,8817618,2024-09-19 15:59:59.999,3615985.9995,15060,4381264,1798011.121,0
2024-09-19 16:00:00,0.4106,0.4176,0.395,0.4015,14786995,2024-09-19 16:14:59.999,5977671.1752,23877,7006281,2835965.6984,0
2024-09-19 16:15:00,0.4016,0.4058,0.3941,0.3989,10140533,2024-09-19 16:29:59.999,4052990.9603,16509,4961584,1985843.241,0
2024-09-19 16:30:00,0.3988,0.402,0.3863,0.3889,12264377,2024-09-19 16:44:59.999,4831634.3019,21352,5521097,2177428.0887,0
2024-09-19 16:45:00,0.3889,0.3905,0.3684,0.378,22697841,2024-09-19 16:59:59.999,8538029.5383,30870,10384200,3905546.6994,0
2024-09-19 17:00:00,0.378,0.3999,0.3754,0.395,14441905,2024-09-19 17:14:59.999,5614887.7771,26814,7970963,3100498.9982,0
2024-09-19 17:15:00,0.3949,0.4,0.3867,0.3906,9458513,2024-09-19 17:29:59.999,3723205.1336,17324,4432949,1746023.2069,0
2024-09-19 17:30:00,0.3909,0.3949,0.384,0.3935,5780429,2024-09-19 17:44:59.999,2251320.9592,11920,3109937,1211858.8399,0
2024-09-19 17:45:00,0.3935,0.3941,0.3822,0.388,4958680,2024-09-19 17:59:59.999,1924660.9512,10011,2337805,907638.5949,0
2024-09-19 18:00:00,0.3877,0.3918,0.3835,0.3873,4074308,2024-09-19 18:14:59.999,1583180.9022,7099,1999715,777553.3813,0
2024-09-19 18:15:00,0.3872,0.3922,0.3826,0.3866,4682697,2024-09-19 18:29:59.999,1820494.156,8840,2160211,840607.4843,0
2024-09-19 18:30:00,0.3866,0.39,0.3831,0.3867,2980288,2024-09-19 18:44:59.999,1153333.4245,5158,1550012,600143.6369,0
2024-09-19 18:45:00,0.3866,0.406,0.3855,0.402,10578037,2024-09-19 18:59:59.999,4208576.7896,19863,5897037,2345522.7684,0
2024-09-19 19:00:00,0.4019,0.4041,0.3889,0.3918,7730262,2024-09-19 19:14:59.999,3063654.5642,13670,3516378,1394872.3731,0
2024-09-19 19:15:00,0.3918,0.395,0.3868,0.3906,3961534,2024-09-19 19:29:59.999,1550186.6249,7800,1826995,715367.8271,0
2024-09-19 19:30:00,0.3906,0.3985,0.3891,0.3964,4395236,2024-09-19 19:44:59.999,1735742.4419,7642,2378005,939402.8513,0
