open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-20 11:30:00,0.4999,0.4999,0.04335,0.04836,125099656,2024-09-20 11:44:59.999,5730941.04569,30717,60119768,2755870.30257,0
2024-09-20 11:45:00,0.04832,0.05167,0.04493,0.04604,232707295,2024-09-20 11:59:59.999,11073998.36393,46554,103389837,4926641.46223,0
2024-09-20 12:00:00,0.04605,0.04747,0.04562,0.04691,99360734,2024-09-20 12:14:59.999,4617448.05948,20914,49593389,2307094.43818,0
2024-09-20 12:15:00,0.04687,0.04877,0.0462,0.04706,121432833,2024-09-20 12:29:59.999,5778987.35019,25107,60310126,2870289.59917,0
2024-09-20 12:30:00,0.04713,0.04855,0.04656,0.04723,91344613,2024-09-20 12:44:59.999,4332215.55774,22583,42749839,2029427.49066,0
2024-09-20 12:45:00,0.04718,0.04832,0.04603,0.04691,70193301,2024-09-20 12:59:59.999,3301122.08998,16510,33661178,1585288.03147,0
2024-09-20 13:00:00,0.04691,0.04716,0.04301,0.04527,139452658,2024-09-20 13:14:59.999,6262238.04845,28426,58254958,2613734.35146,0
2024-09-20 13:15:00,0.04526,0.04739,0.04461,0.04668,75965891,2024-09-20 13:29:59.999,3491816.52977,17197,38532280,1773388.65131,0
2024-09-20 13:30:00,0.04664,0.0468,0.04571,0.04634,52875636,2024-09-20 13:44:59.999,2443456.46184,12825,24544914,1134832.71133,0
2024-09-20 13:45:00,0.04637,0.04664,0.044,0.04515,89367472,2024-09-20 13:59:59.999,4029194.11457,19606,37779710,1704617.04382,0
2024-09-20 14:00:00,0.04515,0.04564,0.0446,0.04531,38006937,2024-09-20 14:14:59.999,1714018.41709,8949,19621959,885885.19349,0
2024-09-20 14:15:00,0.04532,0.04664,0.0447,0.04621,50395531,2024-09-20 14:29:59.999,2296354.94859,10656,26546769,1211354.0384,0
2024-09-20 14:30:00,0.04621,0.04676,0.0457,0.04662,46688575,2024-09-20 14:44:59.999,2164550.72174,10729,22850922,1060126.1437,0
2024-09-20 14:45:00,0.04661,0.04785,0.0464,0.04715,65147195,2024-09-20 14:59:59.999,3065424.94924,16375,32260242,1519367.79582,0
2024-09-20 15:00:00,0.04715,0.0474,0.04643,0.04716,49281314,2024-09-20 15:14:59.999,2314849.052,10575,23027288,1082644.92489,0
2024-09-20 15:15:00,0.04719,0.0474,0.04676,0.04697,33262762,2024-09-20 15:29:59.999,1566894.4134,7848,14554265,686005.69919,0
2024-09-20 15:30:00,0.04697,0.04702,0.046,0.04698,43368958,2024-09-20 15:44:59.999,2024233.45093,9422,20642160,964402.73138,0
2024-09-20 15:45:00,0.047,0.0474,0.0468,0.04706,24822483,2024-09-20 15:59:59.999,1168535.97793,5699,12304046,579569.01562,0
2024-09-20 16:00:00,0.04706,0.0503,0.0469,0.04986,136521229,2024-09-20 16:14:59.999,6681653.2376,27278,72794949,3561697.01666,0
2024-09-20 16:15:00,0.04986,0.05015,0.0482,0.04855,95997871,2024-09-20 16:29:59.999,4700702.29825,22291,44952788,2202928.52689,0
2024-09-20 16:30:00,0.04855,0.04979,0.045,0.04637,171996799,2024-09-20 16:44:59.999,8115335.83909,34791,77277855,3646373.21039,0
2024-09-20 16:45:00,0.04636,0.047,0.0458,0.04653,68362080,2024-09-20 16:59:59.999,3175315.56581,18828,34043605,1582433.45737,0
2024-09-20 17:00:00,0.04653,0.04805,0.04632,0.04705,80916892,2024-09-20 17:14:59.999,3820869.60638,19767,41933687,1981106.67325,0
2024-09-20 17:15:00,0.04705,0.0477,0.04694,0.04724,35128684,2024-09-20 17:29:59.999,1662375.10677,9649,17604102,833538.04358,0
2024-09-20 17:30:00,0.04724,0.0477,0.04687,0.04719,36926809,2024-09-20 17:44:59.999,1746072.43246,9962,16426538,777513.68985,0
2024-09-20 17:45:00,0.04719,0.04726,0.04603,0.04669,39468408,2024-09-20 17:59:59.999,1842179.54206,10562,18549286,866473.75726,0
2024-09-20 18:00:00,0.04668,0.04689,0.04626,0.04679,27067966,2024-09-20 18:14:59.999,1261714.1598,7636,13591966,633987.37438,0
2024-09-20 18:15:00,0.04681,0.047,0.04608,0.04667,29092017,2024-09-20 18:29:59.999,1353819.85388,7545,14530270,676753.94329,0
2024-09-20 18:30:00,0.04667,0.04918,0.04652,0.04803,90383759,2024-09-20 18:44:59.999,4348285.87465,23653,46907522,2255827.77008,0
2024-09-20 18:45:00,0.04798,0.04855,0.04764,0.0481,40107266,2024-09-20 18:59:59.999,1930078.79287,11700,18988791,914655.22414,0
2024-09-20 19:00:00,0.04809,0.04865,0.0476,0.04806,25712256,2024-09-20 19:14:59.999,1236759.52641,8608,12847265,618317.41025,0
2024-09-20 19:15:00,0.0481,0.04815,0.04641,0.04799,47905500,2024-09-20 19:29:59.999,2272023.79856,14362,19621967,933102.06684,0
2024-09-20 19:30:00,0.048,0.04833,0.04757,0.04809,24364504,2024-09-20 19:44:59.999,1169958.54238,8215,11351137,545249.21523,0
2024-09-20 19:45:00,0.04812,0.04831,0.04741,0.04764,21458164,2024-09-20 19:59:59.999,1028265.61195,6481,9208052,441797.37916,0
2024-09-20 20:00:00,0.04763,0.04803,0.04688,0.0476,29095645,2024-09-20 20:14:59.999,1384322.0111,7675,13742857,654670.0397,0
2024-09-20 20:15:00,0.04755,0.04755,0.0465,0.04685,48422078,2024-09-20 20:29:59.999,2279878.95158,11572,22923628,1079904.88093,0
2024-09-20 20:30:00,0.04686,0.04705,0.0455,0.04602,66687442,2024-09-20 20:44:59.999,3084028.58734,17231,29199698,1352405.24345,0
2024-09-20 20:45:00,0.04603,0.04617,0.0445,0.04473,87665293,2024-09-20 20:59:59.999,3960711.09173,20478,36913008,1669578.86103,0
2024-09-20 21:00:00,0.04473,0.0449,0.04152,0.04262,192299539,2024-09-20 21:14:59.999,8215087.10953,42681,84327400,3601577.45064,0
2024-09-20 21:15:00,0.04263,0.04398,0.0423,0.0437,64456781,2024-09-20 21:29:59.999,2787481.30098,13991,34819246,1506295.44083,0
2024-09-20 21:30:00,0.0437,0.04391,0.04237,0.04322,41424742,2024-09-20 21:44:59.999,1785812.75326,11651,19206848,828356.82302,0
2024-09-20 21:45:00,0.04325,0.04353,0.04252,0.04326,27521731,2024-09-20 21:59:59.999,1185575.09075,7255,14238481,613672.81752,0
2024-09-20 22:00:00,0.04326,0.04439,0.04281,0.04418,51866959,2024-09-20 22:14:59.999,2271382.81417,14835,27211705,1192312.9239,0
2024-09-20 22:15:00,0.04422,0.04475,0.04389,0.04435,45309658,2024-09-20 22:29:59.999,2009482.90381,12873,20928995,928905.79921,0
2024-09-20 22:30:00,0.04435,0.04435,0.04326,0.04354,25873418,2024-09-20 22:44:59.999,1133067.51304,8204,10259999,449901.95584,0
2024-09-20 22:45:00,0.04357,0.0446,0.04354,0.04416,22469732,2024-09-20 22:59:59.999,991327.64814,6769,10952468,483351.30023,0
2024-09-20 23:00:00,0.04416,0.0447,0.04396,0.04447,19419151,2024-09-20 23:14:59.999,861963.90354,6563,9325410,414038.01748,0
2024-09-20 23:15:00,0.04447,0.04474,0.04401,0.04442,17154098,2024-09-20 23:29:59.999,760696.49044,4979,7961347,353217.77626,0
2024-09-20 23:30:00,0.04442,0.04451,0.04364,0.0441,28649888,2024-09-20 23:44:59.999,1262592.84661,8266,12320238,543444.36521,0
2024-09-20 23:45:00,0.04407,0.04479,0.04402,0.04447,23386704,2024-09-20 23:59:59.999,1038961.96342,5201,11622181,516344.33376,0
2024-09-21 00:00:00,0.04446,0.0446,0.0438,0.04384,20617095,2024-09-21 00:14:59.999,910949.71485,5990,9165225,405179.13468,0
2024-09-21 00:15:00,0.04384,0.04446,0.043,0.04387,37376269,2024-09-21 00:29:59.999,1631485.83526,9791,17450359,762385.88797,0
2024-09-21 00:30:00,0.04387,0.0444,0.04374,0.04412,17264310,2024-09-21 00:44:59.999,761177.35267,4922,8931610,393837.07126,0
2024-09-21 00:45:00,0.0441,0.04413,0.04309,0.04362,29254593,2024-09-21 00:59:59.999,1275379.09406,7736,13612856,593620.49283,0
2024-09-21 01:00:00,0.04362,0.04399,0.04308,0.04361,23409743,2024-09-21 01:14:59.999,1017602.98342,6281,11565632,502980.28321,0
2024-09-21 01:15:00,0.04365,0.044,0.04331,0.0438,17863893,2024-09-21 01:29:59.999,781602.51018,4702,9080609,397540.27204,0
2024-09-21 01:30:00,0.0438,0.044,0.04322,0.04349,16935717,2024-09-21 01:44:59.999,738887.15951,4268,7681526,335287.06453,0
2024-09-21 01:45:00,0.04353,0.04353,0.0421,0.04305,45822186,2024-09-21 01:59:59.999,1963508.31881,11212,17983380,771442.82162,0
2024-09-21 02:00:00,0.04306,0.04348,0.043,0.04319,22847609,2024-09-21 02:14:59.999,986916.5455,5226,8984075,388460.93564,0
2024-09-21 02:15:00,0.04316,0.04327,0.0402,0.04152,92233493,2024-09-21 02:29:59.999,3819828.83809,19666,38370899,1588923.52338,0
2024-09-21 02:30:00,0.0415,0.04201,0.04101,0.04145,26013443,2024-09-21 02:44:59.999,1082806.25841,7469,11668536,486139.08954,0
2024-09-21 02:45:00,0.04145,0.04164,0.03999,0.04103,47752799,2024-09-21 02:59:59.999,1947568.23946,10935,19870914,812080.2879,0
2024-09-21 03:00:00,0.04105,0.04108,0.039,0.03994,69916045,2024-09-21 03:14:59.999,2784152.39147,15563,28556625,1137962.2009,0
2024-09-21 03:15:00,0.03994,0.0403,0.03774,0.03831,107049615,2024-09-21 03:29:59.999,4148590.42552,22654,44411476,1723328.02629,0
2024-09-21 03:30:00,0.03834,0.03888,0.0375,0.03852,90718652,2024-09-21 03:44:59.999,3465513.44492,16370,44550267,1704074.50916,0
2024-09-21 03:45:00,0.03852,0.04052,0.03807,0.03946,91861562,2024-09-21 03:59:59.999,3596036.08134,18417,50091793,1962583.36493,0
2024-09-21 04:00:00,0.03945,0.03998,0.03863,0.03908,75220737,2024-09-21 04:14:59.999,2954183.08943,17189,39179648,1539050.37084,0
2024-09-21 04:15:00,0.03908,0.03925,0.03816,0.03874,48668141,2024-09-21 04:29:59.999,1880109.30637,11301,23607234,912453.34677,0
2024-09-21 04:30:00,0.03874,0.03944,0.03772,0.03884,65800502,2024-09-21 04:44:59.999,2533721.9504,13404,31995000,1233484.31212,0
2024-09-21 04:45:00,0.03886,0.04006,0.03867,0.0394,45552170,2024-09-21 04:59:59.999,1797098.38085,9604,25219518,995447.67412,0
2024-09-21 05:00:00,0.0394,0.03979,0.03901,0.03963,24112907,2024-09-21 05:14:59.999,951307.70875,6224,11853540,467988.0005,0
2024-09-21 05:15:00,0.03961,0.03991,0.0391,0.03927,23442023,2024-09-21 05:29:59.999,925637.67921,5275,11327241,447538.27426,0
2024-09-21 05:30:00,0.0393,0.04086,0.03917,0.04024,39885776,2024-09-21 05:44:59.999,1602289.91644,7561,21983102,883249.56147,0
2024-09-21 05:45:00,0.04026,0.04059,0.0397,0.03988,37895738,2024-09-21 05:59:59.999,1521032.10236,7924,18926811,759997.53622,0
2024-09-21 06:00:00,0.03988,0.04058,0.03941,0.04031,38485024,2024-09-21 06:14:59.999,1542282.64435,8524,19233186,771332.34884,0
