open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-03 07:00:00,0.6864,0.6985,0.6689,0.6758,2286914,2024-09-03 07:14:59.999,1550451.9496,8161,1036553,703057.6645,0
2024-09-03 07:15:00,0.6754,0.7066,0.6741,0.6963,4389152,2024-09-03 07:29:59.999,3052267.4908,11410,2214422,1537105.2395,0
2024-09-03 07:30:00,0.6959,0.7045,0.69,0.6929,2418643,2024-09-03 07:44:59.999,1684393.1828,8529,1072040,746606.9054,0
2024-09-03 07:45:00,0.6923,0.6929,0.68,0.6854,2348941,2024-09-03 07:59:59.999,1610274.9989,8620,1036422,710844.8696,0
2024-09-03 08:00:00,0.6853,0.686,0.67,0.6791,2791308,2024-09-03 08:14:59.999,1890185.7875,8575,1513203,1024486.9585,0
2024-09-03 08:15:00,0.6789,0.688,0.6758,0.6779,1282210,2024-09-03 08:29:59.999,873213.7693,4687,705792,480874.2319,0
2024-09-03 08:30:00,0.678,0.6816,0.668,0.6763,2123825,2024-09-03 08:44:59.999,1433364.0746,8439,1003749,677873.5462,0
2024-09-03 08:45:00,0.6761,0.6792,0.6553,0.6645,2295334,2024-09-03 08:59:59.999,1540633.3754,8249,1098776,738696.3837,0
2024-09-03 09:00:00,0.6652,0.674,0.6581,0.6629,2131491,2024-09-03 09:14:59.999,1422601.2917,8918,943845,630057.5488,0
2024-09-03 09:15:00,0.6629,0.6711,0.6623,0.67,1152484,2024-09-03 09:29:59.999,770392.0435,4538,610153,407939.9698,0
2024-09-03 09:30:00,0.67,0.67,0.6579,0.6626,1428865,2024-09-03 09:44:59.999,948648.0038,5371,693686,460676.9213,0
2024-09-03 09:45:00,0.6622,0.6685,0.6567,0.667,1937025,2024-09-03 09:59:59.999,1283657.8118,5533,1067027,707374.204,0
2024-09-03 10:00:00,0.6672,0.6674,0.6594,0.6658,1316459,2024-09-03 10:14:59.999,874621.7366,4125,657074,436649.1054,0
2024-09-03 10:15:00,0.6659,0.667,0.6574,0.6625,1496772,2024-09-03 10:29:59.999,991126.6976,6179,684802,453735.8213,0
2024-09-03 10:30:00,0.6625,0.6685,0.66,0.665,1141911,2024-09-03 10:44:59.999,759603.6346,3721,659833,439020.4625,0
2024-09-03 10:45:00,0.665,0.681,0.661,0.6768,3134230,2024-09-03 10:59:59.999,2110782.7343,9763,1742248,1173588.9752,0
2024-09-03 11:00:00,0.6768,0.68,0.6711,0.6723,1697440,2024-09-03 11:14:59.999,1144995.3588,6790,741250,500208.5659,0
2024-09-03 11:15:00,0.6723,0.68,0.6694,0.6738,1717399,2024-09-03 11:29:59.999,1157564.2129,5428,795865,536753.1434,0
2024-09-03 11:30:00,0.6738,0.6843,0.673,0.6792,1443770,2024-09-03 11:44:59.999,981261.7121,5424,728210,494968.6639,0
2024-09-03 11:45:00,0.6789,0.6805,0.674,0.6756,1010259,2024-09-03 11:59:59.999,683586.2318,3864,426886,289047.6999,0
2024-09-03 12:00:00,0.6755,0.683,0.6734,0.6789,1285556,2024-09-03 12:14:59.999,870920.5959,4203,672649,455822.6344,0
2024-09-03 12:15:00,0.679,0.6847,0.677,0.6815,1500004,2024-09-03 12:29:59.999,1021421.9111,4496,810038,551761.9664,0
2024-09-03 12:30:00,0.6815,0.6838,0.677,0.6788,1067417,2024-09-03 12:44:59.999,726592.1771,3839,484440,329875.7776,0
2024-09-03 12:45:00,0.6785,0.679,0.662,0.6647,2690707,2024-09-03 12:59:59.999,1798964.7029,9464,1112065,743450.7683,0
2024-09-03 13:00:00,0.6648,0.6693,0.6635,0.664,1479024,2024-09-03 13:14:59.999,986304.0362,5680,720823,480867.5453,0
2024-09-03 13:15:00,0.664,0.6758,0.6635,0.671,1824741,2024-09-03 13:29:59.999,1221653.6406,6649,966534,647099.3872,0
2024-09-03 13:30:00,0.6705,0.6713,0.6461,0.6559,4726201,2024-09-03 13:44:59.999,3113607.1683,15519,2038712,1343677.9138,0
2024-09-03 13:45:00,0.6565,0.6575,0.6492,0.6519,2164079,2024-09-03 13:59:59.999,1414675.1796,8189,1025844,670740.6674,0
2024-09-03 14:00:00,0.6518,0.6535,0.6437,0.6476,2182510,2024-09-03 14:14:59.999,1415691.2614,7488,1168069,757661.3195,0
2024-09-03 14:15:00,0.6476,0.6553,0.6412,0.6516,2004536,2024-09-03 14:29:59.999,1301881.813,7112,1129954,734277.9242,0
2024-09-03 14:30:00,0.6515,0.6541,0.6453,0.6475,1097426,2024-09-03 14:44:59.999,713131.7608,3661,556013,361496.1696,0
2024-09-03 14:45:00,0.6471,0.6481,0.6422,0.646,1051954,2024-09-03 14:59:59.999,679074.2449,3944,499389,322496.0462,0
2024-09-03 15:00:00,0.6456,0.653,0.645,0.6522,950578,2024-09-03 15:14:59.999,617560.4613,3336,598600,388878.5361,0
2024-09-03 15:15:00,0.6523,0.6535,0.6336,0.638,1675173,2024-09-03 15:29:59.999,1075521.5522,5629,677141,434640.2237,0
2024-09-03 15:30:00,0.6379,0.6402,0.6225,0.628,3089514,2024-09-03 15:44:59.999,1953686.1145,10568,1505863,952849.4559,0
2024-09-03 15:45:00,0.6284,0.635,0.6275,0.6309,1782770,2024-09-03 15:59:59.999,1124661.5057,5825,942970,595058.4962,0
2024-09-03 16:00:00,0.6309,0.6349,0.6227,0.6268,1344002,2024-09-03 16:14:59.999,846234.6362,4701,706247,445110.7992,0
2024-09-03 16:15:00,0.6264,0.6311,0.6162,0.6192,1733080,2024-09-03 16:29:59.999,1079083.7279,6172,812131,506023.0009,0
