open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-23 13:00:00,1.16,1.237,1.16,1.19,2104423,2024-09-23 13:14:59.999,2513219.389,9864,976511,1165508.014,0
2024-09-23 13:15:00,1.19,1.21,1.157,1.179,1089332,2024-09-23 13:29:59.999,1291884.219,6766,497824,591478.644,0
2024-09-23 13:30:00,1.177,1.178,1.143,1.163,1017649,2024-09-23 13:44:59.999,1175800.8,5240,470974,544437.363,0
2024-09-23 13:45:00,1.161,1.178,1.151,1.168,600103,2024-09-23 13:59:59.999,699137.894,2753,317280,369899.936,0
2024-09-23 14:00:00,1.167,1.171,1.101,1.109,1660118,2024-09-23 14:14:59.999,1875247.014,7010,755543,853279.918,0
2024-09-23 14:15:00,1.109,1.118,1.071,1.103,2011591,2024-09-23 14:29:59.999,2202238.543,8112,1017771,1115261.05,0
2024-09-23 14:30:00,1.103,1.124,1.093,1.119,788996,2024-09-23 14:44:59.999,874613.129,3729,441015,489392.34,0
2024-09-23 14:45:00,1.119,1.12,1.094,1.1,492162,2024-09-23 14:59:59.999,543129.205,2206,201774,222773.868,0
2024-09-23 15:00:00,1.1,1.115,1.091,1.094,398702,2024-09-23 15:14:59.999,439375.149,2419,192843,212723.95,0
2024-09-23 15:15:00,1.094,1.106,1.081,1.092,441638,2024-09-23 15:29:59.999,481899.067,2183,202557,221228.603,0
2024-09-23 15:30:00,1.092,1.106,1.071,1.081,407844,2024-09-23 15:44:59.999,443406.876,2196,184016,200597.096,0
2024-09-23 15:45:00,1.081,1.09,1.074,1.082,258888,2024-09-23 15:59:59.999,280187.231,1375,162888,176407.027,0
2024-09-23 16:00:00,1.081,1.082,1.05,1.059,815185,2024-09-23 16:14:59.999,870791.043,4042,324172,347227.424,0
2024-09-23 16:15:00,1.059,1.083,1.058,1.077,595469,2024-09-23 16:29:59.999,638498.856,2870,339817,364593.126,0
2024-09-23 16:30:00,1.078,1.099,1.072,1.096,609329,2024-09-23 16:44:59.999,662282.103,3449,348933,379442.617,0
