open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-13 12:30:00,0.0222,0.026,0.02104,0.02464,438712745,2024-11-13 12:44:59.999,10564170.5245,40685,202112733,4865366.15713,0
2024-11-13 12:45:00,0.02464,0.0258,0.0219,0.02302,361395014,2024-11-13 12:59:59.999,8662815.36512,37009,159921969,3844579.81257,0
2024-11-13 13:00:00,0.02302,0.02384,0.02068,0.02167,245480751,2024-11-13 13:14:59.999,5485420.75623,28252,106242971,2376109.65781,0
2024-11-13 13:15:00,0.02167,0.0224,0.02038,0.02075,181920250,2024-11-13 13:29:59.999,3904627.15927,18279,84572152,1820778.55161,0
2024-11-13 13:30:00,0.02078,0.02292,0.02075,0.0213,173689097,2024-11-13 13:44:59.999,3780672.53321,17778,82126802,1793440.08359,0
2024-11-13 13:45:00,0.02128,0.02141,0.01971,0.02016,173701524,2024-11-13 13:59:59.999,3576055.56645,15624,72313784,1491222.44406,0
2024-11-13 14:00:00,0.02014,0.02128,0.01856,0.01978,241182645,2024-11-13 14:14:59.999,4754112.76837,19175,100209944,1972400.17038,0
2024-11-13 14:15:00,0.01978,0.02012,0.01801,0.01899,189499257,2024-11-13 14:29:59.999,3572592.3595,15013,90996170,1716781.91027,0
2024-11-13 14:30:00,0.01899,0.0195,0.01802,0.01918,180398463,2024-11-13 14:44:59.999,3392815.27695,17886,87635585,1649718.51098,0
2024-11-13 14:45:00,0.01916,0.0212,0.01831,0.02029,293969831,2024-11-13 14:59:59.999,5703513.40379,27357,148107936,2881635.66487,0
2024-11-13 15:00:00,0.02027,0.02084,0.01824,0.01969,238421037,2024-11-13 15:14:59.999,4620437.10216,20869,103054212,2001645.35727,0
2024-11-13 15:15:00,0.01967,0.0205,0.01901,0.02015,108178419,2024-11-13 15:29:59.999,2132573.26337,10069,52709214,1039478.37077,0
2024-11-13 15:30:00,0.02015,0.02126,0.01966,0.01982,184577631,2024-11-13 15:44:59.999,3780429.61464,18628,87682354,1798168.64264,0
2024-11-13 15:45:00,0.01979,0.0208,0.01887,0.02036,169472679,2024-11-13 15:59:59.999,3369037.20833,16673,79929244,1591123.29674,0
2024-11-13 16:00:00,0.02036,0.02101,0.0188,0.01924,144833575,2024-11-13 16:14:59.999,2866787.51704,13993,61162265,1211870.60391,0
2024-11-13 16:15:00,0.01928,0.02057,0.01899,0.02007,87443644,2024-11-13 16:29:59.999,1723947.99572,9704,45056214,890907.78635,0
2024-11-13 16:30:00,0.02011,0.02032,0.01926,0.01942,103805808,2024-11-13 16:44:59.999,2044912.70137,11377,43897092,866272.11811,0
2024-11-13 16:45:00,0.01942,0.02019,0.01875,0.02008,119451806,2024-11-13 16:59:59.999,2329373.22437,10912,61658990,1206984.26348,0
2024-11-13 17:00:00,0.02008,0.02136,0.01979,0.02114,155233039,2024-11-13 17:14:59.999,3195054.89156,17974,70231547,1446062.7127,0
2024-11-13 17:15:00,0.02112,0.02166,0.02043,0.02098,164281189,2024-11-13 17:29:59.999,3477141.67403,18728,79154187,1679200.4158,0
2024-11-13 17:30:00,0.02098,0.0225,0.0207,0.02093,181787891,2024-11-13 17:44:59.999,3925945.4442,21535,89199202,1930056.11775,0
2024-11-13 17:45:00,0.0209,0.02212,0.0209,0.0219,91638994,2024-11-13 17:59:59.999,1980390.72076,12813,49688326,1073944.80803,0
2024-11-13 18:00:00,0.02191,0.02218,0.02136,0.02194,60860939,2024-11-13 18:14:59.999,1328607.3701,7859,29929698,653888.28524,0
2024-11-13 18:15:00,0.02194,0.02268,0.02191,0.02262,68996760,2024-11-13 18:29:59.999,1537420.22703,8322,38977765,869143.65827,0
2024-11-13 18:30:00,0.02259,0.0236,0.02248,0.02332,89051317,2024-11-13 18:44:59.999,2045618.13877,12447,50647255,1166110.57173,0
2024-11-13 18:45:00,0.02331,0.02529,0.0205,0.02199,330458438,2024-11-13 18:59:59.999,7557132.70715,36690,141556110,3245746.90126,0
2024-11-13 19:00:00,0.02202,0.02318,0.01907,0.01916,289756088,2024-11-13 19:14:59.999,6042897.29047,29627,118533942,2485751.61448,0
2024-11-13 19:15:00,0.01915,0.0204,0.01876,0.02019,202340578,2024-11-13 19:29:59.999,3965579.8381,19893,93899807,1845064.73402,0
2024-11-13 19:30:00,0.02019,0.02026,0.01908,0.01975,118047004,2024-11-13 19:44:59.999,2311281.04926,13220,59080014,1157434.91749,0
2024-11-13 19:45:00,0.01975,0.02038,0.0195,0.01972,74806225,2024-11-13 19:59:59.999,1494439.53093,8852,34977022,699448.85199,0
2024-11-13 20:00:00,0.01975,0.02096,0.01949,0.02078,68839957,2024-11-13 20:14:59.999,1390689.99889,9035,32888243,664926.50713,0
2024-11-13 20:15:00,0.02077,0.02088,0.01948,0.01996,97050159,2024-11-13 20:29:59.999,1946665.2046,11960,44203833,887133.91135,0
2024-11-13 20:30:00,0.01997,0.0205,0.01997,0.02024,31783823,2024-11-13 20:44:59.999,643535.19629,4815,16567556,335483.72437,0
2024-11-13 20:45:00,0.02024,0.02069,0.0197,0.01997,47889259,2024-11-13 20:59:59.999,967529.36624,5923,19591527,395483.02671,0
2024-11-13 21:00:00,0.01997,0.02015,0.01921,0.02011,59879311,2024-11-13 21:14:59.999,1175159.75508,6962,25076015,491868.63172,0
2024-11-13 21:15:00,0.02011,0.02017,0.019,0.02,52205976,2024-11-13 21:29:59.999,1025854.60941,6557,20349126,399758.93498,0
2024-11-13 21:30:00,0.02,0.02021,0.01924,0.01959,35441033,2024-11-13 21:44:59.999,701927.39148,4876,14354165,284659.72075,0
2024-11-13 21:45:00,0.0196,0.01974,0.0192,0.0194,25315864,2024-11-13 21:59:59.999,491906.18602,4434,12180840,236718.51006,0
2024-11-13 22:00:00,0.0194,0.01996,0.01939,0.01992,22860828,2024-11-13 22:14:59.999,449435.7274,3795,11125815,218831.9564,0
2024-11-13 22:15:00,0.01992,0.02109,0.01957,0.02065,55964414,2024-11-13 22:29:59.999,1136401.51419,6568,31045926,629776.74357,0
2024-11-13 22:30:00,0.02065,0.02171,0.02029,0.02166,82568979,2024-11-13 22:44:59.999,1740058.73437,12217,43134146,908773.9639,0
2024-11-13 22:45:00,0.02165,0.02223,0.02118,0.02184,84456621,2024-11-13 22:59:59.999,1838695.99668,13174,42732578,932057.00705,0
2024-11-13 23:00:00,0.02185,0.02203,0.02029,0.02109,67396772,2024-11-13 23:14:59.999,1419942.90023,11302,28290333,595465.02666,0
2024-11-13 23:15:00,0.02109,0.02127,0.0198,0.02035,48614817,2024-11-13 23:29:59.999,995756.05866,8379,19509987,400800.55595,0
2024-11-13 23:30:00,0.02035,0.0211,0.02033,0.02097,26633639,2024-11-13 23:44:59.999,551776.73912,5332,13169263,272852.48479,0
2024-11-13 23:45:00,0.02097,0.02142,0.02051,0.02108,28361570,2024-11-13 23:59:59.999,594470.89443,5819,14455470,303291.36891,0
2024-11-14 00:00:00,0.02108,0.02208,0.02101,0.02108,43021632,2024-11-14 00:14:59.999,927902.45623,7337,18367403,396700.98785,0
2024-11-14 00:15:00,0.02108,0.02108,0.01969,0.02008,46160457,2024-11-14 00:29:59.999,938203.99771,7567,17728990,360092.78333,0
2024-11-14 00:30:00,0.02009,0.02024,0.0194,0.01985,46385775,2024-11-14 00:44:59.999,917910.70559,6278,17597488,348646.15304,0
2024-11-14 00:45:00,0.01985,0.0203,0.0197,0.02003,44360921,2024-11-14 00:59:59.999,885444.60596,5645,21953239,438502.6991,0
2024-11-14 01:00:00,0.02001,0.02092,0.02,0.02031,38822578,2024-11-14 01:14:59.999,794876.14097,5208,18069585,370051.16478,0
2024-11-14 01:15:00,0.02032,0.0204,0.0195,0.01965,39547269,2024-11-14 01:29:59.999,784879.66059,5891,13191694,261393.52727,0
2024-11-14 01:30:00,0.01965,0.01966,0.019,0.01952,69962405,2024-11-14 01:44:59.999,1354866.89005,8456,26570543,514868.75134,0
2024-11-14 01:45:00,0.01952,0.01966,0.01732,0.01781,205652396,2024-11-14 01:59:59.999,3785083.71142,19042,58695083,1079960.93629,0
2024-11-14 02:00:00,0.01782,0.01884,0.01775,0.01876,103818594,2024-11-14 02:14:59.999,1895323.07681,14029,51069542,934282.27631,0
2024-11-14 02:15:00,0.01876,0.01888,0.0176,0.0179,113714007,2024-11-14 02:29:59.999,2075128.19932,15546,47022077,859239.30862,0
2024-11-14 02:30:00,0.01792,0.01802,0.01645,0.01742,199040524,2024-11-14 02:44:59.999,3394600.61631,21716,77745316,1329664.99227,0
2024-11-14 02:45:00,0.01738,0.01829,0.01717,0.01813,74710019,2024-11-14 02:59:59.999,1318476.15732,10850,34119949,604369.317,0
2024-11-14 03:00:00,0.01813,0.01869,0.01769,0.01848,71629209,2024-11-14 03:14:59.999,1298274.47753,10224,32835100,596265.61473,0
2024-11-14 03:15:00,0.01845,0.01881,0.01757,0.01835,104502864,2024-11-14 03:29:59.999,1907854.98624,13502,52396823,957320.40385,0
2024-11-14 03:30:00,0.01834,0.01852,0.01771,0.01852,47912819,2024-11-14 03:44:59.999,866961.16296,7424,22053328,400036.11634,0
2024-11-14 03:45:00,0.01852,0.0195,0.01843,0.01893,72656895,2024-11-14 03:59:59.999,1375970.20301,9859,35481612,673237.80381,0
2024-11-14 04:00:00,0.01893,0.01917,0.01804,0.0187,54421869,2024-11-14 04:14:59.999,1015378.76229,7444,23845038,445629.28402,0
2024-11-14 04:15:00,0.0187,0.01908,0.01846,0.01885,29283936,2024-11-14 04:29:59.999,550034.72715,4268,13642348,256463.34209,0
2024-11-14 04:30:00,0.01886,0.01908,0.01821,0.01878,49579320,2024-11-14 04:44:59.999,926481.39892,6298,24487152,457991.97552,0
2024-11-14 04:45:00,0.01878,0.01903,0.01775,0.01824,72752819,2024-11-14 04:59:59.999,1328111.01063,9731,32573632,594716.27306,0
2024-11-14 05:00:00,0.01827,0.0189,0.018,0.0183,66280227,2024-11-14 05:14:59.999,1221980.88829,8316,26306274,485826.45357,0
2024-11-14 05:15:00,0.01831,0.0193,0.01828,0.01925,62475958,2024-11-14 05:29:59.999,1170467.23126,7085,33145003,621895.29045,0
2024-11-14 05:30:00,0.01925,0.02043,0.01924,0.01986,157299945,2024-11-14 05:44:59.999,3139115.31326,17054,70444217,1406025.2305,0
2024-11-14 05:45:00,0.01988,0.01989,0.01845,0.01867,150332724,2024-11-14 05:59:59.999,2838059.50268,17599,69181120,1306696.56269,0
2024-11-14 06:00:00,0.01868,0.01921,0.01832,0.01883,75918573,2024-11-14 06:14:59.999,1420301.81258,10393,34489459,646480.38644,0
2024-11-14 06:15:00,0.01883,0.01919,0.01878,0.01909,59094158,2024-11-14 06:29:59.999,1123836.34464,8041,31025363,590436.04598,0
2024-11-14 06:30:00,0.01909,0.02045,0.01904,0.02018,198389328,2024-11-14 06:44:59.999,3926421.26687,24735,93517692,1852328.61738,0
2024-11-14 06:45:00,0.02017,0.0204,0.01881,0.01942,190664128,2024-11-14 06:59:59.999,3751526.57298,19992,90163456,1777209.88076,0
2024-11-14 07:00:00,0.01941,0.02011,0.019,0.01978,89856387,2024-11-14 07:14:59.999,1760334.69114,12120,39574727,775875.03365,0
2024-11-14 07:15:00,0.01979,0.01988,0.01901,0.01939,54236797,2024-11-14 07:29:59.999,1048999.38382,7670,21652506,419217.57078,0
2024-11-14 07:30:00,0.0194,0.02019,0.01925,0.01982,71389430,2024-11-14 07:44:59.999,1405374.91121,9268,34914473,687254.60176,0
2024-11-14 07:45:00,0.01984,0.02014,0.01962,0.02003,56729617,2024-11-14 07:59:59.999,1126601.31247,8397,23722741,471629.37727,0
2024-11-14 08:00:00,0.02006,0.02058,0.019,0.01921,128725366,2024-11-14 08:14:59.999,2540175.66038,16561,55912807,1106648.42717,0
2024-11-14 08:15:00,0.01922,0.01947,0.019,0.01929,48391089,2024-11-14 08:29:59.999,932099.6872,6424,24743008,476770.33343,0
2024-11-14 08:30:00,0.01929,0.01964,0.01912,0.01956,48631606,2024-11-14 08:44:59.999,944344.01216,5520,22198236,431244.29767,0
2024-11-14 08:45:00,0.01955,0.0203,0.01953,0.02002,77393771,2024-11-14 08:59:59.999,1544940.7727,8775,32049885,639355.57026,0
2024-11-14 09:00:00,0.02003,0.0205,0.01967,0.01997,97560765,2024-11-14 09:14:59.999,1963707.90281,10505,45153904,910528.02355,0
2024-11-14 09:15:00,0.01997,0.0201,0.0193,0.0201,96412657,2024-11-14 09:29:59.999,1891440.01212,10560,44238729,868066.95143,0
2024-11-14 09:30:00,0.0201,0.02247,0.02006,0.02177,351376539,2024-11-14 09:44:59.999,7473186.10833,33102,172575821,3675012.5119,0
2024-11-14 09:45:00,0.02177,0.02207,0.0206,0.02122,181538950,2024-11-14 09:59:59.999,3844239.60322,17813,87182830,1851066.61328,0
2024-11-14 10:00:00,0.02124,0.0238,0.02115,0.02292,383758934,2024-11-14 10:14:59.999,8666501.57645,38010,202348932,4575156.14028,0
2024-11-14 10:15:00,0.02292,0.02318,0.0212,0.02196,312589101,2024-11-14 10:29:59.999,6862753.74133,32894,143932846,3158120.21263,0
2024-11-14 10:30:00,0.02196,0.0221,0.0205,0.02151,208269885,2024-11-14 10:44:59.999,4447434.20312,20815,91475489,1954563.03718,0
2024-11-14 10:45:00,0.02152,0.02192,0.02077,0.02098,119826438,2024-11-14 10:59:59.999,2542275.84333,15283,55352300,1176854.16042,0
2024-11-14 11:00:00,0.02097,0.02128,0.019,0.01905,368833634,2024-11-14 11:14:59.999,7215271.91311,35115,148750305,2911123.11387,0
2024-11-14 11:15:00,0.01906,0.02065,0.01817,0.02025,369837618,2024-11-14 11:29:59.999,7129836.77158,36424,173502087,3360659.01222,0
2024-11-14 11:30:00,0.02024,0.02044,0.01925,0.0202,225768199,2024-11-14 11:44:59.999,4480396.9762,26988,102581446,2036700.57018,0
2024-11-14 11:45:00,0.0202,0.02034,0.01962,0.02012,116618661,2024-11-14 11:59:59.999,2332838.99209,13240,63766571,1276268.88471,0
2024-11-14 12:00:00,0.0201,0.02076,0.0196,0.02059,171109206,2024-11-14 12:14:59.999,3469222.82921,20506,78877575,1600153.9032,0
2024-11-14 12:15:00,0.02056,0.02115,0.0202,0.02043,106654643,2024-11-14 12:29:59.999,2202046.01067,14186,47634811,983822.84158,0
2024-11-14 12:30:00,0.02042,0.0209,0.0202,0.02052,81500761,2024-11-14 12:44:59.999,1677987.68403,11519,40107481,826040.23356,0
2024-11-14 12:45:00,0.02051,0.0218,0.02045,0.02165,187283857,2024-11-14 12:59:59.999,3970744.82852,26485,94712805,2008292.08744,0
2024-11-14 13:00:00,0.02166,0.0218,0.02092,0.0213,176235211,2024-11-14 13:14:59.999,3761335.77462,28753,82371531,1759815.77299,0
