open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-23 11:30:00,0.37638,0.37638,0.3531,0.36494,2831491,2024-12-23 11:44:59.999,1027114.35922,5062,1405247,509732.70405,0
2024-12-23 11:45:00,0.36494,0.36982,0.35804,0.36466,4197193,2024-12-23 11:59:59.999,1526743.58063,7076,2039485,741801.95431,0
2024-12-23 12:00:00,0.36454,0.36606,0.35805,0.36279,2987014,2024-12-23 12:14:59.999,1081547.12728,5305,1409188,510149.40048,0
2024-12-23 12:15:00,0.36316,0.36374,0.35869,0.36033,2399530,2024-12-23 12:29:59.999,866241.17291,4303,1048159,378404.19705,0
2024-12-23 12:30:00,0.36022,0.362,0.35014,0.35355,3989852,2024-12-23 12:44:59.999,1420525.63526,6427,1789646,637609.98032,0
2024-12-23 12:45:00,0.3539,0.36078,0.35204,0.3564,3478647,2024-12-23 12:59:59.999,1240995.00399,6901,1651691,589067.45489,0
2024-12-23 13:00:00,0.35649,0.36036,0.3539,0.3562,2396262,2024-12-23 13:14:59.999,855841.54295,4291,1088807,389015.25357,0
2024-12-23 13:15:00,0.35637,0.38136,0.35554,0.38082,7262031,2024-12-23 13:29:59.999,2698852.94091,10754,3959351,1471892.2005,0
2024-12-23 13:30:00,0.3808,0.38147,0.35483,0.3585,10761956,2024-12-23 13:44:59.999,3945584.88069,20781,4945155,1812539.61823,0
2024-12-23 13:45:00,0.35865,0.36643,0.3563,0.36365,3786160,2024-12-23 13:59:59.999,1368073.19515,11257,2003349,724196.01118,0
2024-12-23 14:00:00,0.36335,0.36551,0.35972,0.35973,1694932,2024-12-23 14:14:59.999,614628.41059,5963,737660,267620.42177,0
2024-12-23 14:15:00,0.35973,0.37266,0.35881,0.36798,5348199,2024-12-23 14:29:59.999,1956765.8622,14023,2695450,986255.74454,0
2024-12-23 14:30:00,0.36799,0.36903,0.35682,0.35972,3687270,2024-12-23 14:44:59.999,1339807.3897,9456,1715252,623503.4231,0
2024-12-23 14:45:00,0.35971,0.36568,0.35852,0.36323,2709380,2024-12-23 14:59:59.999,981003.40266,8195,1359112,492186.95612,0
2024-12-23 15:00:00,0.36309,0.36331,0.3566,0.35943,2022945,2024-12-23 15:14:59.999,728192.68399,5473,948028,341430.0625,0
2024-12-23 15:15:00,0.35932,0.36158,0.3515,0.35463,3060090,2024-12-23 15:29:59.999,1091405.47122,5148,1360034,485653.85842,0
2024-12-23 15:30:00,0.3543,0.35891,0.35248,0.35697,1769482,2024-12-23 15:44:59.999,629421.31791,4863,843627,300190.60792,0
2024-12-23 15:45:00,0.35703,0.35703,0.34842,0.35307,3088737,2024-12-23 15:59:59.999,1086971.0256,6337,1460191,513967.47455,0
2024-12-23 16:00:00,0.35308,0.35345,0.3365,0.34235,6232936,2024-12-23 16:14:59.999,2135540.3522,11562,2899051,992667.5241,0
2024-12-23 16:15:00,0.34237,0.3506,0.34009,0.34927,3549670,2024-12-23 16:29:59.999,1223238.53702,6757,1734013,598056.53581,0
2024-12-23 16:30:00,0.34914,0.34959,0.34107,0.34732,1535923,2024-12-23 16:44:59.999,530617.92723,3510,684456,236391.60339,0
2024-12-23 16:45:00,0.34732,0.35411,0.34611,0.35038,2411242,2024-12-23 16:59:59.999,845150.19802,5593,1215908,426419.58869,0
2024-12-23 17:00:00,0.35037,0.35377,0.34761,0.35267,1717204,2024-12-23 17:14:59.999,602464.03647,3928,810639,284485.34979,0
2024-12-23 17:15:00,0.35262,0.35878,0.35179,0.35482,2107030,2024-12-23 17:29:59.999,748561.85588,5340,1013908,360289.19905,0
2024-12-23 17:30:00,0.35489,0.35534,0.34542,0.34766,1375522,2024-12-23 17:44:59.999,481829.43326,3651,638403,223688.01135,0
2024-12-23 17:45:00,0.3477,0.35287,0.3476,0.35041,1047915,2024-12-23 17:59:59.999,367051.78109,3014,548842,192212.39066,0
2024-12-23 18:00:00,0.35024,0.35429,0.34878,0.35,1381821,2024-12-23 18:14:59.999,485526.37891,3890,710502,249714.06256,0
2024-12-23 18:15:00,0.35,0.35383,0.34917,0.35131,875014,2024-12-23 18:29:59.999,307726.46097,2349,383488,134885.41195,0
2024-12-23 18:30:00,0.3513,0.35167,0.34251,0.34716,1899078,2024-12-23 18:44:59.999,659289.1633,4659,865758,300671.27832,0
2024-12-23 18:45:00,0.34697,0.34826,0.34363,0.34587,719863,2024-12-23 18:59:59.999,249150.63435,1778,373510,129334.62666,0
2024-12-23 19:00:00,0.34571,0.35071,0.34435,0.34993,1442851,2024-12-23 19:14:59.999,502193.59533,2502,816495,284302.89667,0
2024-12-23 19:15:00,0.3497,0.35144,0.3484,0.34904,848342,2024-12-23 19:29:59.999,296833.31744,1673,403403,141150.94886,0
2024-12-23 19:30:00,0.34879,0.35223,0.34832,0.34992,968965,2024-12-23 19:44:59.999,339458.6219,2251,489807,171684.32622,0
2024-12-23 19:45:00,0.34961,0.35045,0.34807,0.34991,806941,2024-12-23 19:59:59.999,281764.11288,2200,346718,121097.15984,0
2024-12-23 20:00:00,0.34996,0.35279,0.34937,0.35195,1117582,2024-12-23 20:14:59.999,392775.90952,3026,490574,172493.22984,0
