open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-11 14:00:00,1.831,3.523,1.831,3.315,3950105.5,2024-06-11 14:14:59.999,13224341.6701,43217,2088831.9,6994500.7496,0
2024-06-11 14:15:00,3.315,3.576,3.311,3.408,5760733.8,2024-06-11 14:29:59.999,19822626.8381,71716,3006006.8,10345803.3964,0
2024-06-11 14:30:00,3.41,3.483,3.3,3.421,5267074.1,2024-06-11 14:44:59.999,17884733.6812,61244,2718355.5,9236861.879,0
2024-06-11 14:45:00,3.422,3.565,3.37,3.548,5293944.2,2024-06-11 14:59:59.999,18314279.4582,59884,2899436.5,10039616.6409,0
2024-06-11 15:00:00,3.549,3.65,3.45,3.535,6573158.0,2024-06-11 15:14:59.999,23384511.0781,76819,3290589.4,11718961.9139,0
2024-06-11 15:15:00,3.535,3.848,3.5,3.773,9609298.9,2024-06-11 15:29:59.999,35828416.8681,115235,5023635.8,18732843.2041,0
2024-06-11 15:30:00,3.772,3.983,3.683,3.807,10128616.5,2024-06-11 15:44:59.999,39209083.6399,111206,5015356.8,19436256.4171,0
2024-06-11 15:45:00,3.811,3.937,3.676,3.711,8788626.7,2024-06-11 15:59:59.999,33278668.3741,100447,4226530.1,16024190.9784,0
2024-06-11 16:00:00,3.711,3.779,3.561,3.724,7461461.0,2024-06-11 16:14:59.999,27401490.2783,82624,3791022.7,13936647.5607,0
2024-06-11 16:15:00,3.727,3.819,3.622,3.662,4548447.6,2024-06-11 16:29:59.999,16920694.9635,57883,2278129.9,8483484.6708,0
2024-06-11 16:30:00,3.661,3.729,3.55,3.638,4938931.5,2024-06-11 16:44:59.999,17916151.1754,60256,2518819.2,9141224.8991,0
2024-06-11 16:45:00,3.638,3.677,3.502,3.522,4081285.9,2024-06-11 16:59:59.999,14692164.3505,53341,2044455.2,7366571.8554,0
2024-06-11 17:00:00,3.526,3.596,3.488,3.551,4266405.2,2024-06-11 17:14:59.999,15145379.221,53060,2209136.8,7846884.8031,0
2024-06-11 17:15:00,3.551,3.645,3.53,3.634,2956945.9,2024-06-11 17:29:59.999,10664504.8658,38607,1576392.4,5687582.9815,0
2024-06-11 17:30:00,3.637,3.748,3.635,3.671,3815849.6,2024-06-11 17:44:59.999,14079891.4432,49121,1987543.4,7335708.1856,0
