open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-04 14:00:00,0.3735,0.3824,0.3547,0.3598,3583348,2024-12-04 14:14:59.999,1289995.6113,6498,1678428,604863.6999,0
2024-12-04 14:15:00,0.3596,0.3816,0.3534,0.373,14692700,2024-12-04 14:29:59.999,5451082.3794,18813,6955026,2586539.1018,0
2024-12-04 14:30:00,0.3724,0.3755,0.3656,0.3694,4627977,2024-12-04 14:44:59.999,1713043.0073,5811,2160798,800121.6135,0
2024-12-04 14:45:00,0.3694,0.3744,0.3555,0.3651,6601162,2024-12-04 14:59:59.999,2419564.2286,5831,2799872,1029908.9474,0
2024-12-04 15:00:00,0.3651,0.3652,0.3601,0.364,2300269,2024-12-04 15:14:59.999,833545.8089,2084,1086129,393819.3546,0
2024-12-04 15:15:00,0.3643,0.3646,0.3587,0.3611,1768032,2024-12-04 15:29:59.999,638695.3504,1983,804241,290516.4878,0
2024-12-04 15:30:00,0.3607,0.3635,0.3575,0.3594,1946980,2024-12-04 15:44:59.999,702680.5479,1820,801278,289484.9292,0
2024-12-04 15:45:00,0.3594,0.3617,0.3574,0.3593,1414450,2024-12-04 15:59:59.999,508093.1094,1441,709681,255028.8702,0
2024-12-04 16:00:00,0.3594,0.3608,0.3528,0.353,3359931,2024-12-04 16:14:59.999,1196878.5847,2726,928870,331622.5639,0
2024-12-04 16:15:00,0.353,0.3553,0.3486,0.3519,3448603,2024-12-04 16:29:59.999,1212428.2294,3729,1450798,510564.7014,0
2024-12-04 16:30:00,0.3512,0.3521,0.3463,0.3479,1859118,2024-12-04 16:44:59.999,648509.9391,2021,996626,347620.7365,0
2024-12-04 16:45:00,0.3483,0.3484,0.3426,0.345,2587181,2024-12-04 16:59:59.999,892114.134,3453,1174274,405229.8558,0
2024-12-04 17:00:00,0.3447,0.3525,0.3384,0.3403,4533626,2024-12-04 17:14:59.999,1564063.5492,6174,2129041,734989.6228,0
2024-12-04 17:15:00,0.34,0.3434,0.3373,0.3433,2375591,2024-12-04 17:29:59.999,808255.369,3000,1179769,401719.2969,0
2024-12-04 17:30:00,0.3433,0.3449,0.341,0.3421,958979,2024-12-04 17:44:59.999,329013.6266,1677,493652,169548.7321,0
2024-12-04 17:45:00,0.3421,0.3484,0.3395,0.3481,1315895,2024-12-04 17:59:59.999,453051.9476,2099,826198,284697.4812,0
2024-12-04 18:00:00,0.3482,0.349,0.3444,0.3483,1313747,2024-12-04 18:14:59.999,455496.7051,2345,627033,217561.9365,0
2024-12-04 18:15:00,0.3483,0.3491,0.3456,0.3484,827209,2024-12-04 18:29:59.999,287270.3152,1580,455014,158066.383,0
