open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-20 19:00:00,0.1695,0.1931,0.1695,0.19086,4629262,2024-12-20 19:14:59.999,884446.97778,9323,2011674,384398.04588,0
2024-12-20 19:15:00,0.19094,0.20151,0.19086,0.19783,7795477,2024-12-20 19:29:59.999,1538060.65623,10902,3842990,757569.73925,0
2024-12-20 19:30:00,0.19799,0.20159,0.19518,0.19748,3713647,2024-12-20 19:44:59.999,737271.66434,4275,1913070,380275.617,0
2024-12-20 19:45:00,0.19747,0.19903,0.19479,0.19619,2319156,2024-12-20 19:59:59.999,456679.9588,2532,1102335,217249.03095,0
2024-12-20 20:00:00,0.19619,0.19776,0.19246,0.19339,2389912,2024-12-20 20:14:59.999,465574.77619,1925,1098731,214325.92059,0
2024-12-20 20:15:00,0.19351,0.19461,0.18933,0.19144,2780610,2024-12-20 20:29:59.999,533307.66599,3331,1457717,279855.04757,0
2024-12-20 20:30:00,0.19136,0.19362,0.1892,0.19158,1214231,2024-12-20 20:44:59.999,232352.8341,1364,627722,120190.13177,0
2024-12-20 20:45:00,0.19158,0.19339,0.18943,0.18956,1300781,2024-12-20 20:59:59.999,248878.68973,1291,631418,120889.87429,0
2024-12-20 21:00:00,0.18952,0.19025,0.18535,0.18658,1775498,2024-12-20 21:14:59.999,334288.15068,2096,737651,139019.74923,0
2024-12-20 21:15:00,0.18669,0.18959,0.18615,0.18812,1513010,2024-12-20 21:29:59.999,284090.35451,1895,823867,154755.25924,0
2024-12-20 21:30:00,0.18812,0.18872,0.18727,0.18762,1005797,2024-12-20 21:44:59.999,189104.16141,1288,463343,87140.56193,0
2024-12-20 21:45:00,0.18749,0.18989,0.18669,0.18892,1171459,2024-12-20 21:59:59.999,221011.04478,1503,660449,124633.97048,0
2024-12-20 22:00:00,0.18892,0.18903,0.18693,0.1883,1176352,2024-12-20 22:14:59.999,221089.26184,1364,550770,103559.54942,0
2024-12-20 22:15:00,0.18816,0.19216,0.18804,0.19169,1940671,2024-12-20 22:29:59.999,369188.14996,2347,976785,185929.70423,0
2024-12-20 22:30:00,0.19166,0.1956,0.19134,0.19462,2702553,2024-12-20 22:44:59.999,522569.37186,2836,1348500,260867.4417,0
2024-12-20 22:45:00,0.19466,0.19547,0.19228,0.19288,1152210,2024-12-20 22:59:59.999,223093.94254,1897,496683,96267.49341,0
2024-12-20 23:00:00,0.19278,0.19547,0.19236,0.19421,833029,2024-12-20 23:14:59.999,161383.18197,901,456868,88566.69513,0
2024-12-20 23:15:00,0.19424,0.19542,0.19218,0.19241,1295331,2024-12-20 23:29:59.999,251281.82225,1835,519211,100859.91289,0
2024-12-20 23:30:00,0.19237,0.19386,0.19139,0.19277,850433,2024-12-20 23:44:59.999,163879.56833,1386,366552,70656.91849,0
2024-12-20 23:45:00,0.19272,0.19355,0.18784,0.1902,1412154,2024-12-20 23:59:59.999,270148.63744,1663,538081,103148.60332,0
2024-12-21 00:00:00,0.19022,0.20617,0.19013,0.19034,6374412,2024-12-21 00:14:59.999,1244477.46106,6312,4028683,787192.04874,0
2024-12-21 00:15:00,0.19033,0.19225,0.18825,0.19197,878557,2024-12-21 00:29:59.999,167598.18998,1868,480831,91867.12693,0
2024-12-21 00:30:00,0.19183,0.1933,0.19145,0.19193,1094921,2024-12-21 00:44:59.999,210508.77604,3223,484248,93173.34288,0
2024-12-21 00:45:00,0.19193,0.19468,0.19189,0.19406,1414211,2024-12-21 00:59:59.999,273453.34657,2613,639130,123591.07045,0
2024-12-21 01:00:00,0.19405,0.19574,0.19375,0.19534,631505,2024-12-21 01:14:59.999,122964.07068,1736,346580,67511.63837,0
2024-12-21 01:15:00,0.1954,0.19584,0.19232,0.19408,1554292,2024-12-21 01:29:59.999,301230.10713,2764,793408,153806.88065,0
2024-12-21 01:30:00,0.19408,0.19438,0.18886,0.18941,1949955,2024-12-21 01:44:59.999,372363.72637,3284,672711,128357.13199,0
2024-12-21 01:45:00,0.18939,0.19013,0.18653,0.1873,1104717,2024-12-21 01:59:59.999,207279.50032,1437,519044,97428.05247,0
2024-12-21 02:00:00,0.18737,0.18787,0.18485,0.18548,714188,2024-12-21 02:14:59.999,133079.50011,1447,333011,62087.20066,0
2024-12-21 02:15:00,0.18542,0.18616,0.18515,0.18546,296869,2024-12-21 02:29:59.999,55116.60517,470,163189,30321.03244,0
2024-12-21 02:30:00,0.18538,0.18739,0.18508,0.18523,673477,2024-12-21 02:44:59.999,125369.51908,700,369966,68913.22707,0
2024-12-21 02:45:00,0.1853,0.18545,0.183,0.1833,1088205,2024-12-21 02:59:59.999,200373.61099,1260,519972,95794.6067,0
2024-12-21 03:00:00,0.18326,0.18374,0.18073,0.18115,1026307,2024-12-21 03:14:59.999,187005.1771,1114,470819,85728.86295,0
2024-12-21 03:15:00,0.18099,0.18139,0.17803,0.17844,869774,2024-12-21 03:29:59.999,156156.30276,855,357662,64234.73113,0
2024-12-21 03:30:00,0.1787,0.17893,0.1775,0.17813,381020,2024-12-21 03:44:59.999,67947.27891,377,205007,36577.16663,0
2024-12-21 03:45:00,0.17803,0.17886,0.1763,0.17757,1386885,2024-12-21 03:59:59.999,246562.28311,1246,731960,130206.59395,0
2024-12-21 04:00:00,0.17754,0.17932,0.1768,0.1784,889565,2024-12-21 04:14:59.999,158333.41635,967,438088,77957.74672,0
2024-12-21 04:15:00,0.1784,0.18073,0.17829,0.18063,904320,2024-12-21 04:29:59.999,162478.05247,1752,511515,91929.84959,0
2024-12-21 04:30:00,0.1806,0.18148,0.17875,0.18086,790151,2024-12-21 04:44:59.999,142465.47027,2119,475241,85724.5936,0
2024-12-21 04:45:00,0.18099,0.18158,0.17992,0.18081,783572,2024-12-21 04:59:59.999,141666.74432,1727,310895,56228.25815,0
2024-12-21 05:00:00,0.18082,0.18171,0.18015,0.18171,288888,2024-12-21 05:14:59.999,52221.09606,461,138777,25102.12805,0
2024-12-21 05:15:00,0.18169,0.18298,0.18125,0.18231,762622,2024-12-21 05:29:59.999,138932.53923,1145,370933,67574.9106,0
2024-12-21 05:30:00,0.18242,0.18645,0.18242,0.18591,1777042,2024-12-21 05:44:59.999,327578.16927,2311,1048474,193240.39364,0
