open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-02-11 15:45:00,0.7921,0.8347,0.7508,0.8094,64621834.1,2025-02-11 15:59:59.999,51453640.07505,148390,34094527.1,27136663.92494,0
2025-02-11 16:00:00,0.8094,0.8265,0.7275,0.7388,81689373.6,2025-02-11 16:14:59.999,63418125.20029,187835,38780998.1,30141293.6938,0
2025-02-11 16:15:00,0.7385,0.7474,0.68,0.6848,64631626.0,2025-02-11 16:29:59.999,46209311.3686,143225,31707122.4,22694266.89828,0
2025-02-11 16:30:00,0.6848,0.7346,0.6783,0.7268,76288277.9,2025-02-11 16:44:59.999,53828442.06383,164221,41451688.0,29285272.60793,0
2025-02-11 16:45:00,0.7268,0.7585,0.7174,0.737,60778979.8,2025-02-11 16:59:59.999,44816076.48804,156204,31756445.8,23428803.27695,0
2025-02-11 17:00:00,0.7372,0.8072,0.7326,0.7417,87241360.3,2025-02-11 17:14:59.999,67038547.88069,258335,45959368.1,35355280.80319,0
2025-02-11 17:15:00,0.7418,0.773,0.73,0.7637,40687293.7,2025-02-11 17:29:59.999,30517601.78248,139783,21262467.7,15954999.10053,0
2025-02-11 17:30:00,0.7636,0.7924,0.7517,0.7525,36109688.3,2025-02-11 17:44:59.999,27714271.70374,125444,18774182.5,14424244.39689,0
2025-02-11 17:45:00,0.7526,0.7694,0.7421,0.7688,27466529.1,2025-02-11 17:59:59.999,20757698.65901,100633,14017300.6,10598845.41441,0
2025-02-11 18:00:00,0.7689,0.7966,0.7636,0.7822,39284741.9,2025-02-11 18:14:59.999,30717349.51005,159781,20972027.9,16406328.2687,0
2025-02-11 18:15:00,0.7822,0.835,0.7819,0.824,52162971.0,2025-02-11 18:29:59.999,42090380.64729,182044,28808425.7,23255126.98965,0
2025-02-11 18:30:00,0.8241,0.8444,0.7842,0.7938,48491946.7,2025-02-11 18:44:59.999,39345156.36877,168561,24094150.9,19560987.14506,0
2025-02-11 18:45:00,0.7936,0.799,0.7747,0.7868,33113225.1,2025-02-11 18:59:59.999,25989394.64623,114251,16837818.1,13220087.83731,0
2025-02-11 19:00:00,0.7866,0.7869,0.754,0.7554,27010861.8,2025-02-11 19:14:59.999,20786051.6955,86498,13227210.3,10183686.85795,0
2025-02-11 19:15:00,0.7555,0.798,0.7473,0.7763,37864613.1,2025-02-11 19:29:59.999,29343918.37554,119675,19405993.3,15045537.11255,0
2025-02-11 19:30:00,0.7764,0.7909,0.7729,0.7753,18863298.4,2025-02-11 19:44:59.999,14713401.30701,74505,9594915.9,7487971.83203,0
2025-02-11 19:45:00,0.7752,0.8157,0.7752,0.8125,33388459.6,2025-02-11 19:59:59.999,26738925.39878,111299,18213176.5,14590126.19935,0
2025-02-11 20:00:00,0.8123,0.8145,0.7677,0.7692,41130809.2,2025-02-11 20:14:59.999,32393810.64807,138627,19870816.1,15656907.62058,0
2025-02-11 20:15:00,0.7693,0.7839,0.7592,0.7752,20139607.0,2025-02-11 20:29:59.999,15566725.71921,85999,10044870.3,7765758.04432,0
2025-02-11 20:30:00,0.7753,0.7896,0.766,0.779,17946963.5,2025-02-11 20:44:59.999,13954923.71416,74912,8935783.9,6952560.73957,0
2025-02-11 20:45:00,0.7789,0.796,0.7781,0.7906,12597535.4,2025-02-11 20:59:59.999,9931972.40996,55516,6513529.4,5136894.9023,0
2025-02-11 21:00:00,0.791,0.8099,0.7801,0.7869,18532299.3,2025-02-11 21:14:59.999,14718342.17592,78379,9099199.5,7230934.75307,0
2025-02-11 21:15:00,0.787,0.805,0.7826,0.795,11667732.1,2025-02-11 21:29:59.999,9273592.54557,44892,5763321.2,4581615.85858,0
2025-02-11 21:30:00,0.795,0.8197,0.793,0.8084,17503871.5,2025-02-11 21:44:59.999,14113996.92111,65421,9323180.7,7521198.19872,0
2025-02-11 21:45:00,0.8083,0.84,0.8025,0.8299,25384991.3,2025-02-11 21:59:59.999,20970578.12609,105075,13745046.8,11359785.55394,0
2025-02-11 22:00:00,0.8297,0.844,0.8126,0.8339,23081840.6,2025-02-11 22:14:59.999,19132751.77042,91579,12354566.5,10254175.77911,0
2025-02-11 22:15:00,0.8339,0.88,0.8337,0.8638,41995242.0,2025-02-11 22:29:59.999,36323078.61664,146089,22752650.4,19679790.92064,0
2025-02-11 22:30:00,0.8638,0.8752,0.8558,0.8694,14944024.9,2025-02-11 22:44:59.999,12948900.12328,61011,7641017.6,6624638.81571,0
2025-02-11 22:45:00,0.8695,0.8695,0.8511,0.8554,16442070.1,2025-02-11 22:59:59.999,14113720.82799,64926,7541417.1,6476994.06286,0
2025-02-11 23:00:00,0.8557,0.8644,0.8188,0.8582,25259184.4,2025-02-11 23:14:59.999,21202170.01834,106331,12727254.4,10687646.97184,0
2025-02-11 23:15:00,0.8584,0.8736,0.8414,0.8578,20862382.7,2025-02-11 23:29:59.999,17932465.51114,89237,10369404.1,8919290.641,0
2025-02-11 23:30:00,0.8577,0.884,0.819,0.8752,44459620.4,2025-02-11 23:44:59.999,37849332.59236,195866,23181388.0,19765328.07164,0
2025-02-11 23:45:00,0.8752,0.9284,0.8703,0.9037,55497156.4,2025-02-11 23:59:59.999,49871644.19527,219214,29768496.0,26756834.58516,0
2025-02-12 00:00:00,0.9037,0.9067,0.855,0.8724,74141370.9,2025-02-12 00:14:59.999,65085482.47847,246805,34506179.1,30312027.87269,0
2025-02-12 00:15:00,0.8725,1.0599,0.868,0.9944,109157262.7,2025-02-12 00:29:59.999,106329509.76041,321954,57985364.0,56507165.19694,0
2025-02-12 00:30:00,0.995,1.35,0.9928,1.2024,161890707.4,2025-02-12 00:44:59.999,192738039.14344,510342,85796221.7,102069647.18565,0
2025-02-12 00:45:00,1.2012,1.23,1.035,1.1082,105087527.6,2025-02-12 00:59:59.999,118969393.56328,325183,51805483.5,58629755.9576,0
2025-02-12 01:00:00,1.1085,1.1582,1.0686,1.0901,70545501.6,2025-02-12 01:14:59.999,78692229.37004,242226,34550718.5,38553552.56969,0
2025-02-12 01:15:00,1.0898,1.1988,1.0726,1.0929,70256448.1,2025-02-12 01:29:59.999,79865438.23557,246858,34560704.1,39311237.06117,0
