open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-20 12:30:00,0.6807,0.7163,0.6704,0.6866,6920356,2024-06-20 12:44:59.999,4757637.2418,20255,3338691,2295293.9043,0
2024-06-20 12:45:00,0.6866,0.7046,0.6622,0.6628,12407326,2024-06-20 12:59:59.999,8456121.242,41088,5489219,3746020.3311,0
2024-06-20 13:00:00,0.6628,0.676,0.642,0.6681,15748370,2024-06-20 13:14:59.999,10379983.7489,42357,7591867,5004551.8303,0
2024-06-20 13:15:00,0.6681,0.6756,0.656,0.6595,11334621,2024-06-20 13:29:59.999,7551423.0048,31592,4871352,3246901.1522,0
2024-06-20 13:30:00,0.66,0.674,0.645,0.6691,10773706,2024-06-20 13:44:59.999,7104587.698,34529,5382271,3551611.4927,0
2024-06-20 13:45:00,0.6694,0.6955,0.6612,0.6933,11327472,2024-06-20 13:59:59.999,7683169.4522,32839,6361182,4317556.3299,0
2024-06-20 14:00:00,0.6933,0.705,0.677,0.694,16748403,2024-06-20 14:14:59.999,11598264.4957,46732,8318334,5764621.597,0
2024-06-20 14:15:00,0.6946,0.7259,0.6864,0.7146,21815554,2024-06-20 14:29:59.999,15461935.5635,65131,11764769,8342554.0484,0
2024-06-20 14:30:00,0.7143,0.7169,0.6829,0.6898,14115458,2024-06-20 14:44:59.999,9921160.0366,38847,6738181,4737101.3933,0
2024-06-20 14:45:00,0.6898,0.7036,0.685,0.6896,11038332,2024-06-20 14:59:59.999,7666469.4123,33125,5539640,3848068.5122,0
2024-06-20 15:00:00,0.6896,0.6949,0.6725,0.6809,10989676,2024-06-20 15:14:59.999,7495782.4793,32826,5441211,3712417.2708,0
2024-06-20 15:15:00,0.6805,0.6979,0.6787,0.6824,8186338,2024-06-20 15:29:59.999,5637437.0366,25088,4212988,2901746.1641,0
2024-06-20 15:30:00,0.6822,0.689,0.6564,0.659,13017769,2024-06-20 15:44:59.999,8739448.3712,37127,5946873,3995838.6765,0
2024-06-20 15:45:00,0.659,0.6678,0.65,0.6598,9901643,2024-06-20 15:59:59.999,6528236.1375,26936,4822532,3181251.6856,0
2024-06-20 16:00:00,0.6599,0.6648,0.6361,0.6551,14173816,2024-06-20 16:14:59.999,9213070.3503,35089,6465754,4205635.1581,0
2024-06-20 16:15:00,0.6551,0.674,0.6522,0.6655,10457604,2024-06-20 16:29:59.999,6928504.5466,25916,5190076,3442097.0664,0
2024-06-20 16:30:00,0.6655,0.678,0.655,0.6743,6241251,2024-06-20 16:44:59.999,4165587.7322,19373,3263730,2179667.3897,0
2024-06-20 16:45:00,0.6747,0.6799,0.6637,0.6686,4843085,2024-06-20 16:59:59.999,3251244.3122,15146,2174529,1460404.7806,0
2024-06-20 17:00:00,0.6685,0.674,0.655,0.6726,5339757,2024-06-20 17:14:59.999,3552007.3946,18242,2602604,1731411.2395,0
2024-06-20 17:15:00,0.6723,0.6861,0.6698,0.6773,5412214,2024-06-20 17:29:59.999,3661221.7051,16975,2915699,1974103.8601,0
2024-06-20 17:30:00,0.6773,0.6877,0.6692,0.6747,5330375,2024-06-20 17:44:59.999,3618592.5207,18603,2692203,1829201.1796,0
2024-06-20 17:45:00,0.6744,0.6813,0.6727,0.6776,2587764,2024-06-20 17:59:59.999,1754161.4385,10586,1211039,820897.305,0
