open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-20 09:30:00,11.0,11.377,9.57,11.198,6476968.01,2025-01-20 09:44:59.999,70028103.30245,154191,3175069.89,34385043.35677,0
2025-01-20 09:45:00,11.198,11.481,10.24,10.662,4907231.06,2025-01-20 09:59:59.999,53110920.06669,106757,2270860.77,24608997.53264,0
2025-01-20 10:00:00,10.661,11.417,10.502,11.178,3221332.73,2025-01-20 10:14:59.999,35437356.16414,80036,1719331.19,18932727.4385,0
2025-01-20 10:15:00,11.175,11.694,10.91,11.531,3284569.09,2025-01-20 10:29:59.999,37201163.71224,121215,1632925.02,18501309.32068,0
2025-01-20 10:30:00,11.53,11.642,10.822,11.109,2923247.24,2025-01-20 10:44:59.999,32784155.57464,100632,1323897.88,14858193.39123,0
2025-01-20 10:45:00,11.106,11.342,10.5,10.848,2646122.01,2025-01-20 10:59:59.999,28940665.85958,80486,1178554.94,12895457.24823,0
2025-01-20 11:00:00,10.848,11.084,10.36,10.578,2016787.85,2025-01-20 11:14:59.999,21572996.02446,71037,959597.97,10282100.08587,0
2025-01-20 11:15:00,10.577,10.774,9.98,10.085,3005515.57,2025-01-20 11:29:59.999,31151323.71351,86650,1330077.76,13809134.94494,0
2025-01-20 11:30:00,10.086,10.152,9.381,10.098,5039334.17,2025-01-20 11:44:59.999,49239995.37894,144005,2481970.0,24266283.72399,0
2025-01-20 11:45:00,10.098,10.163,9.493,9.593,2781852.1,2025-01-20 11:59:59.999,27151618.59952,93977,1450327.33,14157962.41206,0
2025-01-20 12:00:00,9.592,10.11,9.579,9.929,2813540.96,2025-01-20 12:14:59.999,27714148.93907,84217,1507146.29,14852966.59595,0
2025-01-20 12:15:00,9.932,9.933,9.136,9.201,4449230.37,2025-01-20 12:29:59.999,42354064.49179,117898,2082519.57,19854997.44507,0
2025-01-20 12:30:00,9.201,9.351,7.889,8.054,9230865.78,2025-01-20 12:44:59.999,79195223.69496,176647,4210175.48,36110421.58148,0
2025-01-20 12:45:00,8.053,8.987,8.04,8.561,4971492.82,2025-01-20 12:59:59.999,42712206.99208,105658,2432231.97,20898382.53446,0
2025-01-20 13:00:00,8.565,8.785,8.125,8.398,3319650.39,2025-01-20 13:14:59.999,28294536.55254,82494,1623894.47,13863329.76857,0
2025-01-20 13:15:00,8.398,8.53,7.75,7.895,5914876.56,2025-01-20 13:29:59.999,47884679.66728,135958,2864899.92,23223009.35472,0
2025-01-20 13:30:00,7.894,8.379,7.627,7.672,4778115.67,2025-01-20 13:44:59.999,38158250.02959,115038,2350274.14,18800062.50049,0
2025-01-20 13:45:00,7.672,8.144,7.41,7.9,5760153.52,2025-01-20 13:59:59.999,44755632.02515,129976,2874694.61,22380612.24387,0
2025-01-20 14:00:00,7.9,8.498,7.9,8.438,4439369.21,2025-01-20 14:14:59.999,36335519.37082,120689,2387281.51,19551742.98237,0
2025-01-20 14:15:00,8.437,8.933,8.024,8.797,5694764.06,2025-01-20 14:29:59.999,49056209.66039,152358,2821352.87,24329001.16772,0
2025-01-20 14:30:00,8.797,8.809,8.4,8.62,3401195.15,2025-01-20 14:44:59.999,29178723.68517,96083,1640648.48,14077060.87202,0
2025-01-20 14:45:00,8.622,9.362,8.603,9.233,4224671.38,2025-01-20 14:59:59.999,38144461.10364,132731,2175935.89,19635421.65658,0
2025-01-20 15:00:00,9.233,9.279,8.701,8.976,4191367.88,2025-01-20 15:14:59.999,37916113.07321,133759,1965387.01,17797909.10382,0
2025-01-20 15:15:00,8.977,8.985,8.204,8.529,6451861.19,2025-01-20 15:29:59.999,54590277.41421,151215,3045809.48,25774548.60328,0
2025-01-20 15:30:00,8.527,8.632,8.01,8.029,3670511.54,2025-01-20 15:44:59.999,30482962.0609,105725,1715562.97,14259271.14777,0
2025-01-20 15:45:00,8.031,8.065,7.444,7.696,8528998.15,2025-01-20 15:59:59.999,65790048.94115,190613,4003433.72,30885171.59105,0
2025-01-20 16:00:00,7.7,8.094,7.388,7.761,6610884.79,2025-01-20 16:14:59.999,51292537.98454,162074,3193133.75,24810539.2199,0
2025-01-20 16:15:00,7.761,7.899,7.553,7.781,4233524.34,2025-01-20 16:29:59.999,32788713.77975,128110,2030208.99,15728107.95885,0
2025-01-20 16:30:00,7.778,8.073,7.635,7.981,4162685.91,2025-01-20 16:44:59.999,32795724.7468,125978,2171035.22,17108823.03058,0
2025-01-20 16:45:00,7.983,8.191,7.748,8.042,3748482.46,2025-01-20 16:59:59.999,29870577.83906,125350,1702450.83,13573948.75779,0
2025-01-20 17:00:00,8.041,8.1,6.197,6.438,11916949.33,2025-01-20 17:14:59.999,82152505.9503,219697,5497572.66,37859723.32387,0
2025-01-20 17:15:00,6.43,6.7,6.145,6.351,8251259.04,2025-01-20 17:29:59.999,53312066.15678,162748,3708589.63,24039543.99529,0
2025-01-20 17:30:00,6.351,6.516,4.403,4.928,22876597.01,2025-01-20 17:44:59.999,120902110.2278,272041,10545302.87,55675149.09664,0
2025-01-20 17:45:00,4.929,5.889,4.838,5.496,12950751.92,2025-01-20 17:59:59.999,70195712.29012,178682,6626235.66,35931586.10379,0
2025-01-20 18:00:00,5.496,5.864,5.118,5.585,9412699.28,2025-01-20 18:14:59.999,51411827.55897,158083,4675341.21,25558054.43046,0
2025-01-20 18:15:00,5.582,5.852,5.223,5.815,6348940.17,2025-01-20 18:29:59.999,35361311.36501,130739,3279090.8,18286675.3142,0
2025-01-20 18:30:00,5.815,6.074,5.67,6.024,4906503.45,2025-01-20 18:44:59.999,28827989.33567,115967,2436605.52,14330644.77708,0
2025-01-20 18:45:00,6.023,6.244,5.828,5.949,5145684.09,2025-01-20 18:59:59.999,31156807.33513,125660,2401135.98,14541751.20483,0
2025-01-20 19:00:00,5.95,5.955,5.41,5.527,5402200.91,2025-01-20 19:14:59.999,30344435.84752,119936,2650184.99,14887043.4755,0
2025-01-20 19:15:00,5.528,5.645,5.07,5.212,5825449.74,2025-01-20 19:29:59.999,30898278.43377,111562,2809363.49,14904863.223,0
2025-01-20 19:30:00,5.214,5.799,5.018,5.711,7062924.95,2025-01-20 19:44:59.999,38346242.55536,143974,3613500.46,19632769.84783,0
2025-01-20 19:45:00,5.709,5.884,5.47,5.53,4508401.52,2025-01-20 19:59:59.999,25586418.16832,112989,2129199.65,12091544.76418,0
2025-01-20 20:00:00,5.529,5.679,5.33,5.531,3820060.06,2025-01-20 20:14:59.999,21154036.13912,92072,1900367.84,10528105.27129,0
2025-01-20 20:15:00,5.535,5.555,5.232,5.401,3583857.81,2025-01-20 20:29:59.999,19283331.94423,90756,1745301.01,9389133.49848,0
2025-01-20 20:30:00,5.4,5.575,5.262,5.459,3021612.01,2025-01-20 20:44:59.999,16398497.88821,71382,1533335.04,8325190.38497,0
2025-01-20 20:45:00,5.456,5.52,5.215,5.312,2661571.74,2025-01-20 20:59:59.999,14248921.38488,68952,1340003.38,7176551.32471,0
