open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-03-12 08:30:00,128.31,128.67,123.13,127.26,2464.9,2024-03-12 08:44:59.999,313776.8693,1558,1205.77,153541.7248,0
2024-03-12 08:45:00,127.12,128.94,127.02,128.16,3520.56,2024-03-12 08:59:59.999,451287.0306,1997,1903.77,244190.384,0
2024-03-12 09:00:00,128.16,132.46,127.65,131.28,10740.26,2024-03-12 09:14:59.999,1400832.9379,5480,5767.54,751857.5889,0
2024-03-12 09:15:00,131.28,133.14,129.7,132.36,9963.24,2024-03-12 09:29:59.999,1312609.3922,4456,5363.34,707129.6971,0
2024-03-12 09:30:00,132.33,132.8,130.44,132.13,8819.58,2024-03-12 09:44:59.999,1163268.3672,3674,4703.92,620941.7812,0
2024-03-12 09:45:00,132.13,132.34,130.29,130.99,5774.51,2024-03-12 09:59:59.999,757617.2979,3084,2922.83,383545.0485,0
2024-03-12 10:00:00,131.0,135.69,130.91,134.14,12808.62,2024-03-12 10:14:59.999,1709956.8728,6498,7412.91,989158.8973,0
2024-03-12 10:15:00,134.14,135.14,131.54,132.79,13689.16,2024-03-12 10:29:59.999,1825592.7229,7507,6977.06,930741.9,0
2024-03-12 10:30:00,132.78,133.45,132.18,132.66,6508.07,2024-03-12 10:44:59.999,864899.4972,3617,3713.88,493639.3897,0
2024-03-12 10:45:00,132.67,132.73,131.16,132.17,6756.06,2024-03-12 10:59:59.999,890495.101,3103,3213.96,423805.337,0
2024-03-12 11:00:00,132.18,132.34,129.88,129.95,5895.93,2024-03-12 11:14:59.999,771376.6452,3022,1741.49,227840.6508,0
2024-03-12 11:15:00,129.95,131.53,129.75,130.47,4239.68,2024-03-12 11:29:59.999,554376.6929,2685,1896.25,248036.1754,0
2024-03-12 11:30:00,130.47,131.42,129.94,131.26,4188.82,2024-03-12 11:44:59.999,547175.4943,2563,1762.26,230570.1314,0
2024-03-12 11:45:00,131.32,131.64,130.25,130.9,3011.5,2024-03-12 11:59:59.999,393908.5805,1821,1446.04,189225.4444,0
2024-03-12 12:00:00,130.96,131.0,129.19,130.75,6382.11,2024-03-12 12:14:59.999,830433.4925,2928,2880.99,375003.2498,0
2024-03-12 12:15:00,130.75,130.94,127.42,128.9,6688.79,2024-03-12 12:29:59.999,865136.9223,3322,2665.73,345185.9854,0
2024-03-12 12:30:00,128.88,131.75,128.66,131.24,6437.99,2024-03-12 12:44:59.999,840959.3447,4114,3230.79,422135.8602,0
2024-03-12 12:45:00,131.25,131.69,130.13,131.01,2790.84,2024-03-12 12:59:59.999,365490.9656,1984,1496.5,196054.8059,0
2024-03-12 13:00:00,131.01,131.67,130.61,131.67,2980.18,2024-03-12 13:14:59.999,390878.9765,1977,1767.07,231836.652,0
2024-03-12 13:15:00,131.68,132.54,131.35,131.62,4467.69,2024-03-12 13:29:59.999,589971.4534,2639,2641.82,348878.5993,0
2024-03-12 13:30:00,131.63,133.3,130.5,130.56,5802.38,2024-03-12 13:44:59.999,766264.4848,3477,2389.96,315954.7301,0
2024-03-12 13:45:00,130.56,132.52,130.22,132.19,2357.05,2024-03-12 13:59:59.999,309762.7382,1481,1345.18,176849.3819,0
2024-03-12 14:00:00,132.22,133.21,130.07,130.23,4415.09,2024-03-12 14:14:59.999,579703.9599,2677,1900.0,249604.3764,0
2024-03-12 14:15:00,130.19,131.54,130.09,130.99,2369.11,2024-03-12 14:29:59.999,309697.2377,1428,1373.55,179695.9124,0
2024-03-12 14:30:00,130.97,131.16,129.66,130.13,2976.51,2024-03-12 14:44:59.999,388106.6964,1751,1328.09,173223.382,0
2024-03-12 14:45:00,130.13,130.62,129.2,129.3,2192.26,2024-03-12 14:59:59.999,284900.8575,1557,1096.32,142608.8303,0
2024-03-12 15:00:00,129.29,131.14,128.51,130.63,3471.41,2024-03-12 15:14:59.999,450175.3925,2455,1758.67,228177.7551,0
2024-03-12 15:15:00,130.7,131.77,130.31,131.59,2521.46,2024-03-12 15:29:59.999,330604.7083,1790,1490.12,195456.0755,0
2024-03-12 15:30:00,131.6,131.88,130.53,130.85,2269.26,2024-03-12 15:44:59.999,297558.6946,1768,1064.64,139612.102,0
2024-03-12 15:45:00,130.85,131.1,130.01,130.2,2864.66,2024-03-12 15:59:59.999,374236.9417,1860,1395.0,182272.4307,0
2024-03-12 16:00:00,130.25,131.17,130.23,131.12,3494.73,2024-03-12 16:14:59.999,457065.8932,2461,1983.97,259451.6313,0
2024-03-12 16:15:00,131.05,131.12,127.02,128.47,6692.1,2024-03-12 16:29:59.999,862451.2544,4412,2545.69,328051.0052,0
2024-03-12 16:30:00,128.48,129.9,127.5,129.35,3123.44,2024-03-12 16:44:59.999,402816.1738,2186,1863.46,240494.9998,0
2024-03-12 16:45:00,129.42,130.28,128.28,128.56,1894.91,2024-03-12 16:59:59.999,244501.1768,1546,809.36,104518.0827,0
2024-03-12 17:00:00,128.6,128.87,126.0,126.47,5493.82,2024-03-12 17:14:59.999,700033.7537,4159,2031.22,258989.4742,0
2024-03-12 17:15:00,126.47,127.39,121.26,125.13,9017.38,2024-03-12 17:29:59.999,1127812.6124,6288,4190.12,525182.9235,0
2024-03-12 17:30:00,125.12,127.54,123.71,126.7,8302.55,2024-03-12 17:44:59.999,1043434.9143,5590,3745.23,471140.9916,0
2024-03-12 17:45:00,126.61,128.92,126.61,128.32,3848.13,2024-03-12 17:59:59.999,491943.7394,2627,1764.78,225695.5073,0
2024-03-12 18:00:00,128.32,129.55,127.74,129.26,2097.17,2024-03-12 18:14:59.999,270294.4867,1634,1149.05,148040.0127,0
2024-03-12 18:15:00,129.27,129.58,128.15,129.0,2024.26,2024-03-12 18:29:59.999,261053.3855,1498,773.5,99840.2852,0
2024-03-12 18:30:00,129.02,129.69,128.37,128.88,1998.68,2024-03-12 18:44:59.999,257686.4687,1371,943.31,121667.9431,0
2024-03-12 18:45:00,128.84,129.0,127.25,128.16,2906.95,2024-03-12 18:59:59.999,371858.6373,1653,905.67,115916.8172,0
2024-03-12 19:00:00,128.16,129.22,127.63,128.88,1430.07,2024-03-12 19:14:59.999,183616.6006,778,787.26,101170.6551,0
2024-03-12 19:15:00,128.88,129.63,128.64,129.44,1299.15,2024-03-12 19:29:59.999,167840.3779,767,655.92,84757.5085,0
