open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-25 10:00:00,0.16443,0.17482,0.1565,0.16145,92079830,2024-10-25 10:14:59.999,15177602.31298,42844,40640370,6707160.66997,0
2024-10-25 10:15:00,0.16154,0.168,0.157,0.16102,64319674,2024-10-25 10:29:59.999,10461668.28601,45402,29590550,4816790.36669,0
2024-10-25 10:30:00,0.1611,0.16251,0.15193,0.15332,70065083,2024-10-25 10:44:59.999,10862179.40754,45677,31285585,4851797.74477,0
2024-10-25 10:45:00,0.15346,0.15906,0.152,0.15553,41094552,2024-10-25 10:59:59.999,6408035.75303,27804,19446947,3033868.91251,0
2024-10-25 11:00:00,0.15568,0.1648,0.15563,0.159,44049240,2024-10-25 11:14:59.999,7098278.40015,27274,22915971,3695905.82673,0
2024-10-25 11:15:00,0.15911,0.16317,0.1558,0.16205,31365852,2024-10-25 11:29:59.999,5009781.50984,18706,15890995,2540588.35658,0
2024-10-25 11:30:00,0.162,0.16758,0.16167,0.16445,40474037,2024-10-25 11:44:59.999,6684324.5597,25546,20042794,3312468.90386,0
2024-10-25 11:45:00,0.16441,0.16875,0.1608,0.16131,35001027,2024-10-25 11:59:59.999,5738959.31521,23081,16367014,2686704.06798,0
2024-10-25 12:00:00,0.16124,0.16688,0.16038,0.16296,28971239,2024-10-25 12:14:59.999,4748423.36065,18122,13871462,2274319.21921,0
2024-10-25 12:15:00,0.1629,0.1634,0.155,0.15682,48890226,2024-10-25 12:29:59.999,7753512.86225,30704,22022830,3494532.10675,0
2024-10-25 12:30:00,0.15681,0.15894,0.1525,0.15792,42993947,2024-10-25 12:44:59.999,6688662.39182,26777,21352316,3324916.77739,0
2024-10-25 12:45:00,0.15798,0.15817,0.15315,0.15572,29523699,2024-10-25 12:59:59.999,4589197.46933,21700,14367013,2234460.87592,0
2024-10-25 13:00:00,0.15575,0.16022,0.15339,0.15963,37676795,2024-10-25 13:14:59.999,5897417.27432,27276,19085524,2989758.1397,0
2024-10-25 13:15:00,0.15962,0.1648,0.15895,0.16266,43964900,2024-10-25 13:29:59.999,7121437.2804,31038,22244347,3605147.99343,0
2024-10-25 13:30:00,0.16267,0.1655,0.16033,0.16176,41939976,2024-10-25 13:44:59.999,6835839.74762,29655,20714365,3379656.51586,0
2024-10-25 13:45:00,0.16174,0.17213,0.16174,0.16982,72643737,2024-10-25 13:59:59.999,12164991.46922,44939,38399088,6428918.40593,0
2024-10-25 14:00:00,0.1699,0.17439,0.16625,0.16802,73847122,2024-10-25 14:14:59.999,12546646.26603,47148,35754492,6076025.16671,0
2024-10-25 14:15:00,0.16802,0.17364,0.16759,0.16824,53560972,2024-10-25 14:29:59.999,9099462.85003,41274,26425652,4492017.00495,0
2024-10-25 14:30:00,0.16832,0.1707,0.16307,0.16565,54223090,2024-10-25 14:44:59.999,9005678.64119,38762,22991309,3822767.19164,0
2024-10-25 14:45:00,0.16564,0.1783,0.16531,0.17141,78714716,2024-10-25 14:59:59.999,13551964.06521,60724,38997856,6715469.31076,0
2024-10-25 15:00:00,0.17136,0.17691,0.16921,0.17525,56128398,2024-10-25 15:14:59.999,9737980.93205,50828,30148596,5233195.72144,0
2024-10-25 15:15:00,0.17528,0.18474,0.1708,0.1835,96060493,2024-10-25 15:29:59.999,17074417.63627,63537,50308366,8948895.79257,0
2024-10-25 15:30:00,0.1835,0.19002,0.18274,0.1846,159373254,2024-10-25 15:44:59.999,29615140.67095,97048,79599794,14801661.0052,0
2024-10-25 15:45:00,0.18456,0.1886,0.1775,0.18251,128173223,2024-10-25 15:59:59.999,23372642.31676,75070,61295261,11183238.40217,0
2024-10-25 16:00:00,0.18251,0.1937,0.17901,0.19245,144684444,2024-10-25 16:14:59.999,26814330.29328,103802,75940204,14089466.33269,0
2024-10-25 16:15:00,0.19234,0.19683,0.1888,0.19383,115696023,2024-10-25 16:29:59.999,22307780.30836,85534,58780143,11338311.48235,0
2024-10-25 16:30:00,0.19386,0.22222,0.189,0.21493,248301761,2024-10-25 16:44:59.999,51181200.06437,173569,130336365,26880977.03317,0
2024-10-25 16:45:00,0.21484,0.24397,0.2118,0.23301,370164944,2024-10-25 16:59:59.999,85619248.79199,272901,185782206,42989611.98634,0
2024-10-25 17:00:00,0.233,0.23527,0.21841,0.22608,196297164,2024-10-25 17:14:59.999,44275535.24294,150338,94218677,21263749.40038,0
2024-10-25 17:15:00,0.2261,0.23418,0.2178,0.22614,146977512,2024-10-25 17:29:59.999,33189011.0081,104102,72094502,16297438.75308,0
2024-10-25 17:30:00,0.22616,0.22958,0.22135,0.22821,88474666,2024-10-25 17:44:59.999,19929123.5626,68324,43225698,9742272.14589,0
2024-10-25 17:45:00,0.22811,0.24998,0.22437,0.2256,229956648,2024-10-25 17:59:59.999,54577020.68859,162520,116132010,27582760.44408,0
2024-10-25 18:00:00,0.2256,0.23844,0.21869,0.23529,182568887,2024-10-25 18:14:59.999,41904704.29782,124934,91607096,21054142.03871,0
2024-10-25 18:15:00,0.23541,0.255,0.23277,0.23639,179599865,2024-10-25 18:29:59.999,43466203.94672,132670,88891371,21542823.70604,0
2024-10-25 18:30:00,0.23623,0.24645,0.2353,0.24268,98563104,2024-10-25 18:44:59.999,23795479.22464,77803,48949112,11820545.50492,0
2024-10-25 18:45:00,0.24267,0.255,0.23917,0.24682,139901102,2024-10-25 18:59:59.999,34639695.15862,119713,69497539,17222228.62966,0
2024-10-25 19:00:00,0.24676,0.2563,0.24301,0.24641,120873114,2024-10-25 19:14:59.999,30224721.12905,102083,59523033,14900978.06915,0
2024-10-25 19:15:00,0.24655,0.2468,0.23212,0.23823,138675083,2024-10-25 19:29:59.999,33134711.47945,110469,65791536,15726450.82584,0
2024-10-25 19:30:00,0.23838,0.23853,0.22601,0.22953,96976850,2024-10-25 19:44:59.999,22382761.44717,78233,46025093,10622412.01401,0
2024-10-25 19:45:00,0.2297,0.2395,0.22354,0.23476,71542170,2024-10-25 19:59:59.999,16613874.89157,64394,37040873,8610227.54383,0
2024-10-25 20:00:00,0.23476,0.23834,0.22564,0.22812,52915020,2024-10-25 20:14:59.999,12308635.62185,51064,24726401,5758300.16902,0
2024-10-25 20:15:00,0.22812,0.23055,0.21516,0.21983,123685170,2024-10-25 20:29:59.999,27435617.6803,101738,57659913,12806699.91594,0
