open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-27 14:30:00,1.356,1.4313,1.3071,1.3853,1470655.4,2024-11-27 14:44:59.999,2020960.51064,6023,762728.9,1047760.24618,0
2024-11-27 14:45:00,1.3853,1.3966,1.3624,1.3883,527188.2,2024-11-27 14:59:59.999,728921.23406,3275,243245.4,336712.64343,0
2024-11-27 15:00:00,1.3845,1.4,1.3552,1.3931,548462.5,2024-11-27 15:14:59.999,756944.21718,2594,273078.6,376966.68181,0
2024-11-27 15:15:00,1.3941,1.5107,1.3734,1.4595,1165472.4,2024-11-27 15:29:59.999,1681340.02697,7887,601793.5,866333.82818,0
2024-11-27 15:30:00,1.4619,1.5361,1.4482,1.5084,1301936.8,2024-11-27 15:44:59.999,1937819.26898,9258,591717.8,883051.49404,0
2024-11-27 15:45:00,1.5083,1.553,1.42,1.4909,2145951.5,2024-11-27 15:59:59.999,3181030.48544,12761,944199.5,1401313.24864,0
2024-11-27 16:00:00,1.4922,1.745,1.4818,1.7081,4462277.2,2024-11-27 16:14:59.999,7367130.32315,30702,2284821.3,3774448.0174,0
2024-11-27 16:15:00,1.7095,1.759,1.648,1.7183,4199683.5,2024-11-27 16:29:59.999,7218927.21096,31345,2028781.8,3493685.30956,0
2024-11-27 16:30:00,1.7187,1.768,1.6555,1.6923,4336063.8,2024-11-27 16:44:59.999,7440973.28923,29016,2150285.9,3696795.14724,0
2024-11-27 16:45:00,1.6923,1.725,1.63,1.6553,2745490.9,2024-11-27 16:59:59.999,4590420.09503,19085,1267001.5,2120841.15041,0
2024-11-27 17:00:00,1.6567,1.6956,1.6386,1.689,1758708.9,2024-11-27 17:14:59.999,2950057.88965,12654,1036371.7,1740499.05648,0
2024-11-27 17:15:00,1.6903,1.764,1.6873,1.7361,1995832.5,2024-11-27 17:29:59.999,3435326.67863,14896,978140.6,1685163.98221,0
2024-11-27 17:30:00,1.7337,1.7469,1.6651,1.6733,1585601.1,2024-11-27 17:44:59.999,2703169.06838,12840,663150.7,1132222.77796,0
2024-11-27 17:45:00,1.6733,1.7296,1.6628,1.7135,1468107.2,2024-11-27 17:59:59.999,2500421.7096,10484,771632.1,1314510.13057,0
2024-11-27 18:00:00,1.7136,1.758,1.691,1.7307,3105321.9,2024-11-27 18:14:59.999,5363809.90765,16478,1532196.7,2647667.18572,0
2024-11-27 18:15:00,1.7306,1.8129,1.7116,1.7786,3498651.4,2024-11-27 18:29:59.999,6165499.69554,25561,1826561.8,3220762.59526,0
2024-11-27 18:30:00,1.7789,1.7846,1.7168,1.7512,1986366.8,2024-11-27 18:44:59.999,3481057.76949,15093,937950.9,1645086.99019,0
2024-11-27 18:45:00,1.7506,1.7775,1.726,1.7423,1361171.3,2024-11-27 18:59:59.999,2377730.42479,10587,647880.3,1132395.0978,0
2024-11-27 19:00:00,1.7426,1.7768,1.7302,1.7733,1393843.9,2024-11-27 19:14:59.999,2432289.98912,10827,675318.3,1179949.05833,0
2024-11-27 19:15:00,1.7724,1.7731,1.735,1.7466,965494.9,2024-11-27 19:29:59.999,1689918.31273,6561,467040.8,817758.23964,0
2024-11-27 19:30:00,1.7467,1.7503,1.6967,1.725,1629280.7,2024-11-27 19:44:59.999,2801008.54106,10796,719674.5,1238164.8267,0
2024-11-27 19:45:00,1.7247,1.76,1.7236,1.7589,691785.4,2024-11-27 19:59:59.999,1204567.35763,5006,401049.2,698515.03599,0
2024-11-27 20:00:00,1.7588,1.7756,1.7337,1.7452,962246.7,2024-11-27 20:14:59.999,1684667.25673,7625,493302.4,864312.38141,0
2024-11-27 20:15:00,1.7456,1.7515,1.7202,1.7385,744595.0,2024-11-27 20:29:59.999,1291988.63597,5633,361799.6,627855.9496,0
2024-11-27 20:30:00,1.7402,1.76,1.7101,1.7185,765626.4,2024-11-27 20:44:59.999,1327323.37819,6847,373833.1,649007.55773,0
2024-11-27 20:45:00,1.7187,1.74,1.6941,1.7208,1269274.0,2024-11-27 20:59:59.999,2180510.21584,10008,678529.6,1166264.41849,0
2024-11-27 21:00:00,1.7215,1.7584,1.7097,1.744,1115561.1,2024-11-27 21:14:59.999,1933096.4178,8319,688048.3,1193316.63354,0
2024-11-27 21:15:00,1.7443,1.82,1.6961,1.7094,2282960.5,2024-11-27 21:29:59.999,3983119.85595,17307,1047250.5,1835049.0439,0
2024-11-27 21:30:00,1.7088,1.7184,1.6671,1.689,1163236.1,2024-11-27 21:44:59.999,1965604.17923,9742,575293.4,973427.15684,0
2024-11-27 21:45:00,1.6895,1.6997,1.6258,1.6563,1227219.6,2024-11-27 21:59:59.999,2030905.09858,10523,590122.2,977412.76367,0
2024-11-27 22:00:00,1.6563,1.6889,1.6504,1.6535,671414.8,2024-11-27 22:14:59.999,1123281.39242,7005,357025.6,597564.81874,0
2024-11-27 22:15:00,1.6524,1.6534,1.584,1.6011,1327276.5,2024-11-27 22:29:59.999,2144280.52842,12609,640736.8,1035856.29479,0
2024-11-27 22:30:00,1.6015,1.6208,1.5678,1.5851,992100.9,2024-11-27 22:44:59.999,1579182.39407,9172,475950.5,758334.56891,0
2024-11-27 22:45:00,1.5851,1.5863,1.5259,1.5559,841534.8,2024-11-27 22:59:59.999,1301390.75345,7282,425820.5,658333.39912,0
2024-11-27 23:00:00,1.5559,1.6156,1.521,1.5847,1057904.1,2024-11-27 23:14:59.999,1662558.00455,9000,587012.3,924222.03675,0
2024-11-27 23:15:00,1.5856,1.6334,1.5728,1.6222,886049.2,2024-11-27 23:29:59.999,1424962.57429,8104,425291.4,684444.00851,0
2024-11-27 23:30:00,1.6234,1.6377,1.58,1.5895,609720.9,2024-11-27 23:44:59.999,982356.39776,5269,265120.3,427666.99093,0
2024-11-27 23:45:00,1.5902,1.6879,1.5785,1.6531,986030.4,2024-11-27 23:59:59.999,1623869.91272,10541,568973.0,936322.95292,0
2024-11-28 00:00:00,1.6533,1.7456,1.627,1.6786,1427343.2,2024-11-28 00:14:59.999,2417652.68423,13745,710483.0,1202983.3916,0
2024-11-28 00:15:00,1.679,1.7167,1.6326,1.6491,534932.5,2024-11-28 00:29:59.999,896641.7263,6357,262230.6,439998.70692,0
2024-11-28 00:30:00,1.6493,1.6493,1.57,1.5912,731684.7,2024-11-28 00:44:59.999,1171591.27293,7261,316745.5,506443.66145,0
2024-11-28 00:45:00,1.5902,1.594,1.53,1.5465,934851.6,2024-11-28 00:59:59.999,1446542.94107,8877,368266.9,570029.11297,0
2024-11-28 01:00:00,1.5442,1.5495,1.373,1.4142,3212176.6,2024-11-28 01:14:59.999,4637967.22946,22778,1353400.3,1947893.13965,0
