open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-09 14:00:00,0.6035,0.681,0.6035,0.6611,19014552,2024-12-09 14:14:59.999,12350002.5267,42857,9065352,5900605.7968,0
2024-12-09 14:15:00,0.6611,0.7114,0.6604,0.6987,43287874,2024-12-09 14:29:59.999,29929268.1266,79818,21782882,15065950.231,0
2024-12-09 14:30:00,0.6987,0.7027,0.645,0.6501,41765736,2024-12-09 14:44:59.999,28058209.9815,78847,19719322,13259038.8914,0
2024-12-09 14:45:00,0.65,0.6742,0.6381,0.6646,29469813,2024-12-09 14:59:59.999,19363288.2162,71045,14430795,9484829.4547,0
2024-12-09 15:00:00,0.6648,0.6888,0.6575,0.678,27071058,2024-12-09 15:14:59.999,18249217.0678,77278,13180052,8890265.4031,0
2024-12-09 15:15:00,0.6778,0.6872,0.6633,0.6698,19647511,2024-12-09 15:29:59.999,13233851.0884,55542,9506839,6408961.4459,0
2024-12-09 15:30:00,0.6698,0.7053,0.6655,0.7031,28709274,2024-12-09 15:44:59.999,19743952.5294,67577,14611066,10050135.751,0
2024-12-09 15:45:00,0.7032,0.7263,0.6825,0.7147,44898126,2024-12-09 15:59:59.999,31596607.1997,109317,22313626,15712355.0001,0
2024-12-09 16:00:00,0.7147,0.776,0.695,0.7671,65994136,2024-12-09 16:14:59.999,49290903.8728,165952,33395982,24960417.8556,0
2024-12-09 16:15:00,0.7672,0.8547,0.7578,0.7719,103403262,2024-12-09 16:29:59.999,83295000.9516,235507,50358799,40595461.6831,0
2024-12-09 16:30:00,0.7716,0.7904,0.742,0.7716,57219513,2024-12-09 16:44:59.999,43660311.8632,166119,27009767,20627112.5206,0
2024-12-09 16:45:00,0.7715,0.7965,0.7554,0.7928,30136813,2024-12-09 16:59:59.999,23428804.9525,100444,14914992,11602848.9869,0
2024-12-09 17:00:00,0.7928,0.81,0.758,0.7782,42294842,2024-12-09 17:14:59.999,33035075.4248,118536,20060263,15674659.7689,0
2024-12-09 17:15:00,0.7781,0.7789,0.7465,0.7635,26772336,2024-12-09 17:29:59.999,20394879.4371,86009,12744962,9711750.7026,0
2024-12-09 17:30:00,0.7633,0.765,0.722,0.741,37139276,2024-12-09 17:44:59.999,27460803.0914,97019,17528591,12964712.9595,0
2024-12-09 17:45:00,0.741,0.764,0.7356,0.7551,23556946,2024-12-09 17:59:59.999,17695242.4118,67235,12159599,9135104.7055,0
2024-12-09 18:00:00,0.7551,0.7849,0.7384,0.7703,29512485,2024-12-09 18:14:59.999,22530995.9854,84065,15124765,11550790.3525,0
2024-12-09 18:15:00,0.77,0.8029,0.765,0.7887,29171841,2024-12-09 18:29:59.999,22945929.0569,85547,14890573,11717419.1656,0
2024-12-09 18:30:00,0.7888,0.8061,0.7671,0.7913,30164487,2024-12-09 18:44:59.999,23738613.8068,91109,15017138,11821752.6486,0
2024-12-09 18:45:00,0.791,0.7987,0.7767,0.7895,18531408,2024-12-09 18:59:59.999,14603043.4502,59718,9363671,7381025.8782,0
2024-12-09 19:00:00,0.7895,0.7896,0.7628,0.7798,19745638,2024-12-09 19:14:59.999,15341686.9297,61334,9655708,7504837.3378,0
2024-12-09 19:15:00,0.7798,0.82,0.7781,0.8197,32088877,2024-12-09 19:29:59.999,25732192.0201,95923,16656127,13363132.002,0
2024-12-09 19:30:00,0.8196,0.8381,0.8067,0.8234,43759957,2024-12-09 19:44:59.999,36023792.3837,126910,21663892,17840868.0828,0
2024-12-09 19:45:00,0.8237,0.848,0.8164,0.8338,41127976,2024-12-09 19:59:59.999,34301323.6046,114643,21046058,17559906.1056,0
2024-12-09 20:00:00,0.8338,0.843,0.7751,0.7831,55958072,2024-12-09 20:14:59.999,45138547.9392,144541,26819782,21641240.0764,0
2024-12-09 20:15:00,0.7832,0.7978,0.7239,0.7477,65920994,2024-12-09 20:29:59.999,49949234.4127,147176,32004862,24276797.5596,0
2024-12-09 20:30:00,0.7481,0.7779,0.748,0.7665,37120194,2024-12-09 20:44:59.999,28425391.2483,74786,19276406,14763028.3708,0
2024-12-09 20:45:00,0.7665,0.768,0.7403,0.7583,23619301,2024-12-09 20:59:59.999,17876669.5662,54811,11903827,9012429.5556,0
2024-12-09 21:00:00,0.7583,0.7675,0.6567,0.7285,54914581,2024-12-09 21:14:59.999,39143643.9357,97399,24538331,17544268.3051,0
2024-12-09 21:15:00,0.7285,0.7379,0.6929,0.7367,28401672,2024-12-09 21:29:59.999,20501101.6245,55851,14255303,10303533.1909,0
2024-12-09 21:30:00,0.7364,0.7729,0.7315,0.7571,29456640,2024-12-09 21:44:59.999,22218451.5026,58298,16496695,12429043.6072,0
