open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-26 08:30:00,0.542,0.5497,0.5225,0.5461,6031828,2024-08-26 08:44:59.999,3240282.2924,14803,2752651,1479450.0127,0
2024-08-26 08:45:00,0.546,0.5672,0.5425,0.5511,9930024,2024-08-26 08:59:59.999,5513714.18,20528,4786560,2659176.1694,0
2024-08-26 09:00:00,0.5511,0.5778,0.545,0.57,8958540,2024-08-26 09:14:59.999,5033287.3229,16981,4669166,2622797.976,0
2024-08-26 09:15:00,0.5703,0.5844,0.5674,0.5723,10862708,2024-08-26 09:29:59.999,6247608.5848,22850,5339758,3073857.7284,0
2024-08-26 09:30:00,0.5722,0.5775,0.561,0.5685,9045700,2024-08-26 09:44:59.999,5141476.9978,21275,4451946,2531952.1742,0
2024-08-26 09:45:00,0.5685,0.5719,0.5511,0.5635,8091830,2024-08-26 09:59:59.999,4536014.2184,19427,3696460,2074138.158,0
2024-08-26 10:00:00,0.5636,0.5698,0.56,0.5686,5075114,2024-08-26 10:14:59.999,2869982.0847,10966,2465728,1395236.7124,0
2024-08-26 10:15:00,0.5687,0.5767,0.5674,0.5717,8059053,2024-08-26 10:29:59.999,4611873.4748,14754,4069145,2329101.4196,0
2024-08-26 10:30:00,0.5718,0.575,0.56,0.567,7495973,2024-08-26 10:44:59.999,4270317.8336,20023,3544901,2021003.932,0
2024-08-26 10:45:00,0.5674,0.5705,0.5562,0.5616,6160822,2024-08-26 10:59:59.999,3477966.4158,17397,2978183,1681965.2987,0
2024-08-26 11:00:00,0.5616,0.5659,0.5528,0.5562,7664072,2024-08-26 11:14:59.999,4281955.7768,18671,3704117,2070659.6305,0
2024-08-26 11:15:00,0.5559,0.5586,0.5056,0.5359,23548448,2024-08-26 11:29:59.999,12507494.5472,56637,10468343,5559107.4237,0
2024-08-26 11:30:00,0.536,0.5376,0.526,0.5286,6399316,2024-08-26 11:44:59.999,3401951.4126,16639,3089729,1643281.4798,0
2024-08-26 11:45:00,0.5286,0.5374,0.5213,0.5275,6440548,2024-08-26 11:59:59.999,3409168.5204,17951,3346845,1773157.0099,0
2024-08-26 12:00:00,0.5272,0.5312,0.5152,0.521,10152727,2024-08-26 12:14:59.999,5304029.3822,22520,4779441,2498120.7438,0
2024-08-26 12:15:00,0.5214,0.5257,0.5157,0.522,5616571,2024-08-26 12:29:59.999,2930791.9694,15578,2614477,1365009.0359,0
2024-08-26 12:30:00,0.522,0.5275,0.516,0.5203,6888113,2024-08-26 12:44:59.999,3593269.2246,19314,3039749,1587057.0415,0
2024-08-26 12:45:00,0.5203,0.5252,0.5137,0.5216,4796860,2024-08-26 12:59:59.999,2491858.5761,11119,2375203,1235045.0996,0
2024-08-26 13:00:00,0.5216,0.5327,0.5199,0.5292,3802665,2024-08-26 13:14:59.999,2000128.3801,10357,2020790,1062990.5523,0
2024-08-26 13:15:00,0.529,0.5348,0.5266,0.532,13656238,2024-08-26 13:29:59.999,7246977.2465,30263,6851964,3637453.2954,0
2024-08-26 13:30:00,0.5316,0.535,0.52,0.52,10563182,2024-08-26 13:44:59.999,5579026.2964,18969,5093927,2691147.6504,0
2024-08-26 13:45:00,0.5201,0.5313,0.52,0.525,3057400,2024-08-26 13:59:59.999,1606530.649,7275,1470479,771931.8029,0
2024-08-26 14:00:00,0.5253,0.531,0.5016,0.5203,7466281,2024-08-26 14:14:59.999,3856173.964,14799,3179911,1642167.0192,0
2024-08-26 14:15:00,0.5203,0.5234,0.518,0.5214,1911100,2024-08-26 14:29:59.999,994968.0822,4683,851864,443645.2409,0
2024-08-26 14:30:00,0.5215,0.5256,0.514,0.5159,2461519,2024-08-26 14:44:59.999,1278147.2355,7148,1075388,559005.8496,0
2024-08-26 14:45:00,0.5163,0.52,0.5102,0.5129,2706378,2024-08-26 14:59:59.999,1394972.0904,6902,1378934,710590.7828,0
2024-08-26 15:00:00,0.5129,0.5152,0.505,0.5074,3162337,2024-08-26 15:14:59.999,1614792.8533,8120,1492638,762684.9875,0
2024-08-26 15:15:00,0.5074,0.5118,0.5055,0.5106,1904955,2024-08-26 15:29:59.999,969524.6491,5262,1000723,509467.4217,0
