open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-17 14:00:00,30.11,33.26,30.0,31.06,269842.05,2024-04-17 14:14:59.999,8352437.2681,33584,137499.99,4258612.1319,0
2024-04-17 14:15:00,31.06,31.5,29.4,31.05,427049.63,2024-04-17 14:29:59.999,12979490.1309,46854,218474.05,6645383.1166,0
2024-04-17 14:30:00,31.05,32.52,30.52,31.63,330793.68,2024-04-17 14:44:59.999,10417990.314,43542,175458.77,5525673.7655,0
2024-04-17 14:45:00,31.65,31.78,30.06,30.45,290846.48,2024-04-17 14:59:59.999,8983488.7411,32360,139971.46,4324677.3272,0
2024-04-17 15:00:00,30.47,31.18,29.58,29.67,317585.83,2024-04-17 15:14:59.999,9643205.3481,31757,160347.2,4871606.648,0
2024-04-17 15:15:00,29.68,30.92,29.1,29.8,367545.17,2024-04-17 15:29:59.999,10985754.846,34287,182247.1,5451347.3772,0
2024-04-17 15:30:00,29.81,31.6,29.56,31.3,253725.03,2024-04-17 15:44:59.999,7753133.1086,28585,137471.92,4207008.0532,0
2024-04-17 15:45:00,31.3,32.0,30.3,31.02,245521.75,2024-04-17 15:59:59.999,7626393.38,29316,122582.2,3813471.4804,0
2024-04-17 16:00:00,31.02,31.5,29.89,31.17,239054.51,2024-04-17 16:14:59.999,7342640.6481,33421,117123.26,3602591.9954,0
2024-04-17 16:15:00,31.19,33.31,30.95,32.17,392970.91,2024-04-17 16:29:59.999,12638217.463,63065,209171.6,6728789.9919,0
2024-04-17 16:30:00,32.13,32.78,31.34,31.54,175808.51,2024-04-17 16:44:59.999,5604995.0641,28516,89999.2,2871751.4421,0
2024-04-17 16:45:00,31.55,32.12,31.27,31.69,132808.44,2024-04-17 16:59:59.999,4200060.8104,22897,70839.48,2241368.3112,0
2024-04-17 17:00:00,31.69,31.77,30.69,30.85,160191.41,2024-04-17 17:14:59.999,4992282.4037,27350,74842.56,2334170.6988,0
2024-04-17 17:15:00,30.85,31.58,30.64,30.95,153562.5,2024-04-17 17:29:59.999,4780989.1431,24909,76661.91,2388167.8873,0
2024-04-17 17:30:00,30.94,32.0,30.58,31.81,170240.35,2024-04-17 17:44:59.999,5333037.0798,29960,88349.33,2771978.2515,0
2024-04-17 17:45:00,31.81,32.95,31.35,32.4,203384.22,2024-04-17 17:59:59.999,6541640.9602,35252,105483.17,3396342.246,0
2024-04-17 18:00:00,32.4,32.97,31.72,31.9,196746.39,2024-04-17 18:14:59.999,6350208.5606,34269,98345.68,3176213.4121,0
2024-04-17 18:15:00,31.89,32.28,31.49,31.95,106058.98,2024-04-17 18:29:59.999,3375990.5856,22358,53562.76,1705086.1058,0
2024-04-17 18:30:00,31.95,32.0,30.79,31.04,139645.99,2024-04-17 18:44:59.999,4378051.44,27478,66806.97,2095619.3487,0
2024-04-17 18:45:00,31.05,31.15,30.0,30.44,202210.37,2024-04-17 18:59:59.999,6164970.9157,34284,96668.61,2949099.0234,0
2024-04-17 19:00:00,30.44,31.11,30.26,30.8,110753.83,2024-04-17 19:14:59.999,3395631.8316,18563,60212.65,1846983.112,0
2024-04-17 19:15:00,30.79,31.0,30.23,30.39,88033.77,2024-04-17 19:29:59.999,2694668.7066,17724,42552.87,1303583.4608,0
2024-04-17 19:30:00,30.4,30.42,29.58,29.98,129636.03,2024-04-17 19:44:59.999,3892689.1643,20931,61838.17,1858034.7234,0
2024-04-17 19:45:00,29.97,30.26,29.48,29.8,125604.68,2024-04-17 19:59:59.999,3752468.6334,21125,61629.89,1843036.8407,0
2024-04-17 20:00:00,29.82,29.95,28.25,28.5,335401.19,2024-04-17 20:14:59.999,9686778.4279,43783,149771.32,4327188.965,0
2024-04-17 20:15:00,28.51,29.33,28.38,28.74,197393.81,2024-04-17 20:29:59.999,5702361.848,30254,104690.82,3026327.0897,0
2024-04-17 20:30:00,28.75,29.03,27.9,28.01,212002.28,2024-04-17 20:44:59.999,6038405.761,28967,101914.42,2907184.5874,0
2024-04-17 20:45:00,28.02,29.0,27.46,28.25,360209.29,2024-04-17 20:59:59.999,10106391.4748,41634,185192.8,5201204.15,0
2024-04-17 21:00:00,28.26,28.6,27.7,28.35,171677.74,2024-04-17 21:14:59.999,4827364.4137,24667,91929.93,2585704.3957,0
2024-04-17 21:15:00,28.36,28.74,27.75,28.04,139120.34,2024-04-17 21:29:59.999,3926775.5243,20290,71852.84,2028630.7993,0
2024-04-17 21:30:00,28.03,28.43,27.73,27.87,130011.28,2024-04-17 21:44:59.999,3653622.1878,15497,68253.35,1918430.1944,0
2024-04-17 21:45:00,27.86,28.13,27.65,27.8,92379.5,2024-04-17 21:59:59.999,2574983.6223,13141,46948.12,1309210.5361,0
2024-04-17 22:00:00,27.8,28.2,27.55,27.96,97886.02,2024-04-17 22:14:59.999,2737615.545,12168,49145.59,1374972.3044,0
2024-04-17 22:15:00,27.95,28.47,27.92,28.27,70628.09,2024-04-17 22:29:59.999,1989310.6773,8122,38858.94,1094956.5061,0
2024-04-17 22:30:00,28.28,29.92,28.26,29.14,177682.26,2024-04-17 22:44:59.999,5130677.55,25042,102116.95,2949736.9198,0
2024-04-17 22:45:00,29.14,29.53,28.62,29.09,153017.72,2024-04-17 22:59:59.999,4429070.6791,25006,74191.11,2147970.1807,0
2024-04-17 23:00:00,29.1,29.46,28.68,28.8,110289.9,2024-04-17 23:14:59.999,3211646.6051,20350,55473.02,1616597.5777,0
2024-04-17 23:15:00,28.81,28.81,26.91,27.21,273762.27,2024-04-17 23:29:59.999,7552008.1008,44372,117848.91,3249654.089,0
2024-04-17 23:30:00,27.2,27.9,26.84,27.61,157020.33,2024-04-17 23:44:59.999,4293385.3689,22355,82824.51,2265869.2507,0
2024-04-17 23:45:00,27.61,27.95,26.73,27.15,155901.35,2024-04-17 23:59:59.999,4247788.5704,27009,76182.28,2077651.1145,0
2024-04-18 00:00:00,27.14,27.33,26.15,26.19,276514.15,2024-04-18 00:14:59.999,7352014.3175,38897,130649.14,3476165.1107,0
2024-04-18 00:15:00,26.18,26.4,25.52,25.96,313870.95,2024-04-18 00:29:59.999,8125092.7741,36334,157638.93,4082274.5177,0
2024-04-18 00:30:00,25.96,26.35,25.5,25.8,217980.88,2024-04-18 00:44:59.999,5636260.0976,26912,104588.93,2706521.9972,0
2024-04-18 00:45:00,25.8,26.48,25.69,26.06,167412.79,2024-04-18 00:59:59.999,4358418.1253,23007,87086.63,2267855.1223,0
2024-04-18 01:00:00,26.05,26.6,25.72,26.33,180856.65,2024-04-18 01:14:59.999,4739467.7728,22562,93385.39,2449707.451,0
2024-04-18 01:15:00,26.34,26.39,25.61,26.27,135542.82,2024-04-18 01:29:59.999,3527488.03,17784,65469.68,1704719.3278,0
2024-04-18 01:30:00,26.27,26.76,25.77,25.91,164366.73,2024-04-18 01:44:59.999,4317101.0705,18680,85842.46,2255354.8472,0
2024-04-18 01:45:00,25.91,26.0,25.07,25.64,206540.0,2024-04-18 01:59:59.999,5277197.1519,22496,95430.31,2440359.6615,0
2024-04-18 02:00:00,25.65,26.7,25.56,26.34,277822.5,2024-04-18 02:14:59.999,7297364.9134,26797,135933.53,3570720.6393,0
2024-04-18 02:15:00,26.35,26.45,25.7,26.1,156967.02,2024-04-18 02:29:59.999,4090819.4467,18055,79551.1,2072558.6109,0
2024-04-18 02:30:00,26.09,26.25,25.27,25.68,213340.29,2024-04-18 02:44:59.999,5462812.5666,26361,110202.18,2821387.2122,0
2024-04-18 02:45:00,25.68,26.0,25.51,25.76,103516.54,2024-04-18 02:59:59.999,2667874.678,13048,52070.4,1342385.739,0
2024-04-18 03:00:00,25.75,26.55,25.74,26.34,183832.98,2024-04-18 03:14:59.999,4832483.8129,20160,91965.09,2417301.3858,0
2024-04-18 03:15:00,26.34,26.5,25.91,26.05,107692.03,2024-04-18 03:29:59.999,2820014.9129,13900,54367.45,1424107.6409,0
2024-04-18 03:30:00,26.05,26.2,25.86,25.99,74440.79,2024-04-18 03:44:59.999,1937778.0755,9165,40481.73,1054127.5306,0
2024-04-18 03:45:00,25.99,26.02,25.6,25.8,115276.17,2024-04-18 03:59:59.999,2969974.146,16131,62756.77,1617190.9634,0
2024-04-18 04:00:00,25.8,25.96,25.02,25.24,165707.31,2024-04-18 04:14:59.999,4222731.0686,18785,81018.57,2065685.1129,0
2024-04-18 04:15:00,25.23,25.33,24.13,24.17,402394.97,2024-04-18 04:29:59.999,9913811.5393,33026,186768.16,4603013.6907,0
2024-04-18 04:30:00,24.18,24.62,24.0,24.24,323388.62,2024-04-18 04:44:59.999,7855035.7723,25066,156712.91,3810026.7321,0
2024-04-18 04:45:00,24.24,24.49,23.82,24.36,246268.17,2024-04-18 04:59:59.999,5969736.0914,21200,119234.99,2892504.2937,0
2024-04-18 05:00:00,24.35,24.54,24.09,24.28,176245.23,2024-04-18 05:14:59.999,4284167.6959,14939,91876.76,2234629.1823,0
2024-04-18 05:15:00,24.27,24.33,23.57,23.92,336223.17,2024-04-18 05:29:59.999,8018539.396,26247,165631.96,3951279.14,0
2024-04-18 05:30:00,23.92,24.3,23.92,24.29,207970.43,2024-04-18 05:44:59.999,5016384.0642,16085,106871.81,2578752.0519,0
2024-04-18 05:45:00,24.29,25.24,24.11,24.62,467262.74,2024-04-18 05:59:59.999,11560701.2699,35244,258373.65,6389510.6479,0
2024-04-18 06:00:00,24.62,25.17,24.44,24.62,233971.88,2024-04-18 06:14:59.999,5788873.4544,20523,118391.37,2930306.0386,0
2024-04-18 06:15:00,24.64,24.96,24.29,24.51,235379.6,2024-04-18 06:29:59.999,5791383.0842,21431,122530.14,3015955.2377,0
2024-04-18 06:30:00,24.51,24.57,23.7,23.93,282504.76,2024-04-18 06:44:59.999,6801298.1614,25819,132781.53,3197058.3835,0
2024-04-18 06:45:00,23.94,24.15,23.07,23.36,466349.48,2024-04-18 06:59:59.999,10947761.8441,33720,222090.06,5216616.8973,0
2024-04-18 07:00:00,23.38,23.85,23.34,23.62,226800.51,2024-04-18 07:14:59.999,5345834.8372,17629,123567.08,2913029.1568,0
2024-04-18 07:15:00,23.63,23.75,23.39,23.52,156539.73,2024-04-18 07:29:59.999,3690523.2235,12601,72475.3,1709322.6607,0
2024-04-18 07:30:00,23.52,24.0,23.2,23.91,279057.75,2024-04-18 07:44:59.999,6567986.348,22617,151063.96,3560024.1749,0
2024-04-18 07:45:00,23.9,24.59,23.68,24.32,432054.07,2024-04-18 07:59:59.999,10459120.0031,46036,234921.48,5688659.6779,0
2024-04-18 08:00:00,24.31,25.18,24.27,24.47,523675.92,2024-04-18 08:14:59.999,12925152.4527,45089,283580.48,7004064.7627,0
2024-04-18 08:15:00,24.47,24.5,23.78,24.19,390685.27,2024-04-18 08:29:59.999,9414666.7715,33772,193374.69,4661945.9242,0
2024-04-18 08:30:00,24.19,24.9,24.14,24.82,292314.24,2024-04-18 08:44:59.999,7208048.4768,25215,150045.18,3699519.2691,0
2024-04-18 08:45:00,24.81,25.5,24.36,24.51,445188.3,2024-04-18 08:59:59.999,11065206.7518,38718,240404.03,5980425.4973,0
2024-04-18 09:00:00,24.52,24.92,24.22,24.38,251983.16,2024-04-18 09:14:59.999,6175711.5536,24521,126843.55,3110321.5518,0
