open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-21 13:00:00,0.2024,0.2034,0.1976,0.1999,6211711,2025-03-21 13:14:59.999,1248756.9408,7831,2987250,601185.5745,0
2025-03-21 13:15:00,0.2,0.2013,0.1946,0.1954,6075202,2025-03-21 13:29:59.999,1196934.5374,8898,2899458,571279.2795,0
2025-03-21 13:30:00,0.1954,0.2003,0.1952,0.1973,6726943,2025-03-21 13:44:59.999,1327327.0167,8923,3673111,725378.3702,0
2025-03-21 13:45:00,0.1973,0.2007,0.1971,0.1983,3861310,2025-03-21 13:59:59.999,768176.744,4639,2068224,411545.7698,0
2025-03-21 14:00:00,0.1984,0.1988,0.1956,0.1984,2387943,2025-03-21 14:14:59.999,471382.6529,2331,1159728,229269.6991,0
2025-03-21 14:15:00,0.1986,0.203,0.197,0.2005,4567861,2025-03-21 14:29:59.999,913484.8899,4140,2576401,514914.6546,0
2025-03-21 14:30:00,0.2005,0.204,0.2003,0.2009,3701988,2025-03-21 14:44:59.999,748097.2344,3733,1952358,394794.0037,0
2025-03-21 14:45:00,0.2007,0.202,0.1965,0.2008,4371310,2025-03-21 14:59:59.999,870679.8076,3976,1830526,365312.097,0
2025-03-21 15:00:00,0.2008,0.2012,0.198,0.1988,2227284,2025-03-21 15:14:59.999,443687.4308,2882,1159545,231062.0431,0
2025-03-21 15:15:00,0.1988,0.1996,0.1967,0.1972,1482578,2025-03-21 15:29:59.999,293868.9805,2168,677361,134363.4464,0
2025-03-21 15:30:00,0.1972,0.1972,0.1912,0.1933,4558507,2025-03-21 15:44:59.999,883023.2789,5445,1964193,380792.8688,0
2025-03-21 15:45:00,0.1932,0.1942,0.1913,0.1917,1529746,2025-03-21 15:59:59.999,294435.2438,2489,724489,139578.2624,0
2025-03-21 16:00:00,0.1917,0.1942,0.1915,0.1939,1583328,2025-03-21 16:14:59.999,305400.3283,1868,945283,182438.1779,0
2025-03-21 16:15:00,0.194,0.1964,0.1939,0.1955,1675295,2025-03-21 16:29:59.999,326389.0023,2349,938308,182930.2152,0
2025-03-21 16:30:00,0.1956,0.1999,0.1936,0.1944,4890412,2025-03-21 16:44:59.999,962141.0997,5827,2370033,466835.9744,0
2025-03-21 16:45:00,0.1944,0.1988,0.1942,0.1979,2919665,2025-03-21 16:59:59.999,574866.9525,3589,1697441,334243.6806,0
2025-03-21 17:00:00,0.1979,0.1994,0.196,0.1962,1247896,2025-03-21 17:14:59.999,246338.9878,2044,695793,137530.8293,0
2025-03-21 17:15:00,0.1963,0.1969,0.1948,0.1959,972884,2025-03-21 17:29:59.999,190392.4654,1302,460746,90211.5585,0
2025-03-21 17:30:00,0.196,0.1973,0.193,0.1943,2232744,2025-03-21 17:44:59.999,435327.304,2638,1141121,222780.9576,0
