open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-11 12:30:00,0.43052,0.44731,0.41941,0.42456,12885089,2024-11-11 12:44:59.999,5596654.11403,18547,5888668,2556410.83281,0
2024-11-11 12:45:00,0.42441,0.43107,0.39375,0.39845,10969122,2024-11-11 12:59:59.999,4491550.59355,18716,4790023,1966286.5861,0
2024-11-11 13:00:00,0.39848,0.40207,0.37685,0.39577,19164624,2024-11-11 13:14:59.999,7429159.37752,23953,9431794,3657735.22712,0
2024-11-11 13:15:00,0.39542,0.40808,0.3775,0.40484,11610016,2024-11-11 13:29:59.999,4580095.62272,15013,5811715,2293574.40114,0
2024-11-11 13:30:00,0.40447,0.4237,0.39902,0.41743,11971689,2024-11-11 13:44:59.999,4933922.61441,17010,5880674,2422501.77346,0
2024-11-11 13:45:00,0.41673,0.428,0.39014,0.41084,21869554,2024-11-11 13:59:59.999,8931702.2537,26691,11856922,4834013.92359,0
2024-11-11 14:00:00,0.41084,0.4178,0.39806,0.40289,10901570,2024-11-11 14:14:59.999,4441361.97279,16520,5222043,2129340.10558,0
2024-11-11 14:15:00,0.4029,0.41599,0.3953,0.39871,8508551,2024-11-11 14:29:59.999,3453601.8294,14061,3978156,1616179.92321,0
2024-11-11 14:30:00,0.3987,0.42379,0.39533,0.41653,12290018,2024-11-11 14:44:59.999,5089140.09676,21087,6355743,2630683.6534,0
2024-11-11 14:45:00,0.4164,0.44707,0.41,0.43438,17544983,2024-11-11 14:59:59.999,7553135.32339,33079,9027180,3888651.96773,0
2024-11-11 15:00:00,0.43401,0.4491,0.4206,0.44,15167909,2024-11-11 15:14:59.999,6637106.42444,30180,7265059,3181434.94341,0
2024-11-11 15:15:00,0.4401,0.44882,0.40795,0.423,15634300,2024-11-11 15:29:59.999,6683364.43788,30128,6792500,2906047.21167,0
2024-11-11 15:30:00,0.42315,0.42861,0.39094,0.40235,14522290,2024-11-11 15:44:59.999,5913857.31361,30474,6584507,2683638.24949,0
2024-11-11 15:45:00,0.40233,0.41142,0.395,0.40589,11639978,2024-11-11 15:59:59.999,4695249.32089,22583,5875754,2371480.04979,0
2024-11-11 16:00:00,0.40589,0.41632,0.395,0.40205,9132798,2024-11-11 16:14:59.999,3698625.6811,18805,4347540,1760955.14105,0
2024-11-11 16:15:00,0.40231,0.41368,0.39704,0.40043,9560356,2024-11-11 16:29:59.999,3873600.71931,18761,4474473,1813611.34069,0
2024-11-11 16:30:00,0.40069,0.40533,0.38412,0.39378,10306222,2024-11-11 16:44:59.999,4050186.12258,17831,4878904,1919582.8201,0
2024-11-11 16:45:00,0.39379,0.39938,0.38245,0.38977,10034289,2024-11-11 16:59:59.999,3909495.09489,15413,4622799,1800840.11175,0
2024-11-11 17:00:00,0.38967,0.40537,0.385,0.40357,11566470,2024-11-11 17:14:59.999,4569077.86187,18956,5945285,2351012.48683,0
2024-11-11 17:15:00,0.40358,0.40485,0.391,0.39464,7270190,2024-11-11 17:29:59.999,2895648.36504,10651,3370097,1343636.81306,0
2024-11-11 17:30:00,0.39442,0.40703,0.39415,0.40408,6803051,2024-11-11 17:44:59.999,2731048.97143,9802,3231111,1297121.31713,0
