open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-13 12:15:00,0.4078,0.4184,0.4057,0.4142,1871225,2024-09-13 12:29:59.999,769735.3241,3952,915256,376854.1624,0
2024-09-13 12:30:00,0.4143,0.4293,0.4128,0.4271,5692988,2024-09-13 12:44:59.999,2394188.5735,8833,2981576,1253943.9744,0
2024-09-13 12:45:00,0.4271,0.4329,0.4186,0.4251,8604931,2024-09-13 12:59:59.999,3659745.4665,13421,3735809,1589241.552,0
2024-09-13 13:00:00,0.4249,0.4373,0.4248,0.4371,8549901,2024-09-13 13:14:59.999,3695867.1975,13128,4139436,1789958.0119,0
2024-09-13 13:15:00,0.4372,0.4462,0.4365,0.44,13754215,2024-09-13 13:29:59.999,6079620.6475,19576,6495388,2872027.8966,0
2024-09-13 13:30:00,0.44,0.4401,0.43,0.4339,13445150,2024-09-13 13:44:59.999,5841571.804,15217,5792469,2517829.8858,0
2024-09-13 13:45:00,0.4338,0.4348,0.4254,0.4314,10365469,2024-09-13 13:59:59.999,4457041.6288,9975,4213259,1812295.4681,0
2024-09-13 14:00:00,0.4316,0.4366,0.4314,0.4362,5540527,2024-09-13 14:14:59.999,2406253.6799,6252,2702483,1174101.4732,0
2024-09-13 14:15:00,0.4362,0.4384,0.4287,0.4303,7133676,2024-09-13 14:29:59.999,3092750.5197,7845,3329394,1443831.0277,0
2024-09-13 14:30:00,0.4303,0.4304,0.4211,0.4262,9474190,2024-09-13 14:44:59.999,4021698.536,10012,4329801,1837048.9447,0
2024-09-13 14:45:00,0.4262,0.4296,0.4231,0.4285,4478187,2024-09-13 14:59:59.999,1909433.4446,5578,2109844,900027.3748,0
2024-09-13 15:00:00,0.4285,0.4304,0.42,0.4221,6488872,2024-09-13 15:14:59.999,2748515.2212,6568,3011118,1275923.8252,0
2024-09-13 15:15:00,0.4221,0.4241,0.4204,0.4217,4723319,2024-09-13 15:29:59.999,1994901.3156,4920,2352656,993933.4268,0
2024-09-13 15:30:00,0.422,0.4237,0.4155,0.4212,6913272,2024-09-13 15:44:59.999,2899838.3997,7236,3299252,1384423.0994,0
2024-09-13 15:45:00,0.4212,0.4234,0.4185,0.419,2825880,2024-09-13 15:59:59.999,1189938.9559,3062,1268308,534468.6643,0
2024-09-13 16:00:00,0.419,0.4258,0.4189,0.4257,4613316,2024-09-13 16:14:59.999,1951057.4242,4597,2522711,1067179.6439,0
2024-09-13 16:15:00,0.4256,0.4301,0.4208,0.4213,5896654,2024-09-13 16:29:59.999,2507494.4884,6461,2880026,1225535.6847,0
2024-09-13 16:30:00,0.4213,0.4241,0.4178,0.4192,3270317,2024-09-13 16:44:59.999,1375173.5001,3292,1518463,638749.4354,0
2024-09-13 16:45:00,0.4192,0.4219,0.4133,0.4165,6315711,2024-09-13 16:59:59.999,2632721.571,6970,2240546,934622.7034,0
2024-09-13 17:00:00,0.4166,0.4204,0.4163,0.4194,2810028,2024-09-13 17:14:59.999,1177392.9166,2587,1464073,613155.8267,0
2024-09-13 17:15:00,0.4193,0.4204,0.415,0.4151,2453455,2024-09-13 17:29:59.999,1025286.3805,2349,900921,376646.2932,0
2024-09-13 17:30:00,0.4151,0.4198,0.415,0.4182,2032858,2024-09-13 17:44:59.999,849375.3424,2369,1150838,480840.476,0
2024-09-13 17:45:00,0.4183,0.4195,0.4155,0.4177,1816697,2024-09-13 17:59:59.999,758123.2852,2010,985771,411553.3583,0
2024-09-13 18:00:00,0.4179,0.4195,0.416,0.4185,1851964,2024-09-13 18:14:59.999,774194.9735,1997,1024252,428203.9391,0
2024-09-13 18:15:00,0.4184,0.4199,0.4172,0.4192,1422433,2024-09-13 18:29:59.999,595778.2962,2020,766057,321008.4047,0
2024-09-13 18:30:00,0.4191,0.4211,0.4187,0.42,2338567,2024-09-13 18:44:59.999,982095.4004,2240,1028041,431614.2151,0
2024-09-13 18:45:00,0.4201,0.4228,0.417,0.4218,3795838,2024-09-13 18:59:59.999,1591679.9778,3510,1812390,760479.5769,0
2024-09-13 19:00:00,0.4218,0.4262,0.4194,0.4215,5173340,2024-09-13 19:14:59.999,2185256.5152,5132,2182738,922620.2076,0
2024-09-13 19:15:00,0.4216,0.422,0.4203,0.4211,957807,2024-09-13 19:29:59.999,403412.3992,1006,503771,212203.8553,0
2024-09-13 19:30:00,0.4211,0.4216,0.4178,0.421,1847591,2024-09-13 19:44:59.999,776157.8171,1791,744263,312898.7975,0
2024-09-13 19:45:00,0.421,0.4245,0.4193,0.4223,1562655,2024-09-13 19:59:59.999,659176.4972,2117,867849,366189.2611,0
2024-09-13 20:00:00,0.4222,0.4224,0.4191,0.4216,1617513,2024-09-13 20:14:59.999,680475.8284,2364,660567,277935.1932,0
2024-09-13 20:15:00,0.4215,0.4227,0.4203,0.4223,1001838,2024-09-13 20:29:59.999,422607.837,1390,583929,246345.0226,0
2024-09-13 20:30:00,0.4223,0.424,0.4215,0.4236,1255654,2024-09-13 20:44:59.999,530711.9701,1672,615984,260420.9993,0
2024-09-13 20:45:00,0.4237,0.4246,0.4209,0.421,1935393,2024-09-13 20:59:59.999,818374.8156,1865,844212,357063.0848,0
2024-09-13 21:00:00,0.421,0.4211,0.4165,0.4181,2973552,2024-09-13 21:14:59.999,1245765.5783,3213,1031460,432119.5633,0
2024-09-13 21:15:00,0.418,0.4187,0.4151,0.4161,2011095,2024-09-13 21:29:59.999,838363.482,2399,1010214,421294.8165,0
2024-09-13 21:30:00,0.4162,0.4195,0.416,0.4179,1403536,2024-09-13 21:44:59.999,586437.7703,1407,761551,318288.2474,0
2024-09-13 21:45:00,0.4181,0.4197,0.4165,0.4193,1124109,2024-09-13 21:59:59.999,470119.698,1325,534898,223727.0335,0
2024-09-13 22:00:00,0.4192,0.4207,0.4184,0.4194,1398785,2024-09-13 22:14:59.999,586953.2868,1592,698095,293026.0194,0
2024-09-13 22:15:00,0.4196,0.4217,0.4162,0.4175,1931686,2024-09-13 22:29:59.999,810150.1557,2064,812368,340895.8592,0
2024-09-13 22:30:00,0.4175,0.4205,0.4164,0.4172,1702799,2024-09-13 22:44:59.999,712774.889,1925,790043,330853.9202,0
2024-09-13 22:45:00,0.4171,0.4185,0.4167,0.4178,1247685,2024-09-13 22:59:59.999,520903.4846,1140,762225,318280.0422,0
2024-09-13 23:00:00,0.4177,0.4186,0.4165,0.4166,864794,2024-09-13 23:14:59.999,361053.3218,1254,372777,155692.4336,0
2024-09-13 23:15:00,0.4166,0.4169,0.4049,0.4138,6834871,2024-09-13 23:29:59.999,2813865.3253,8113,2886162,1188284.5197,0
2024-09-13 23:30:00,0.4138,0.414,0.4086,0.4101,2952120,2024-09-13 23:44:59.999,1215193.3733,4388,1122517,462087.2333,0
2024-09-13 23:45:00,0.4101,0.4127,0.4095,0.4106,2982510,2024-09-13 23:59:59.999,1225443.8151,3818,1492059,613383.9734,0
2024-09-14 00:00:00,0.4105,0.4125,0.4071,0.4098,3945450,2024-09-14 00:14:59.999,1617759.0057,4321,1457511,597746.1827,0
2024-09-14 00:15:00,0.4098,0.4128,0.4061,0.4122,3628430,2024-09-14 00:29:59.999,1486049.0722,3903,1868611,765810.7088,0
2024-09-14 00:30:00,0.4122,0.4158,0.4106,0.4152,3549221,2024-09-14 00:44:59.999,1468072.6293,3182,1946381,805264.0702,0
2024-09-14 00:45:00,0.4149,0.42,0.4146,0.4192,4795284,2024-09-14 00:59:59.999,2002039.7937,5048,2402332,1003095.0111,0
2024-09-14 01:00:00,0.4191,0.4217,0.4173,0.4202,2589131,2024-09-14 01:14:59.999,1086681.7298,2621,1409276,591578.6567,0
2024-09-14 01:15:00,0.4202,0.4239,0.4188,0.4212,3510991,2024-09-14 01:29:59.999,1480694.9587,3664,1904497,803621.6747,0
2024-09-14 01:30:00,0.4213,0.4228,0.4177,0.4183,2613754,2024-09-14 01:44:59.999,1096416.7966,2693,1214711,509518.1573,0
2024-09-14 01:45:00,0.4182,0.4202,0.4161,0.4175,2229882,2024-09-14 01:59:59.999,932753.5245,2588,949397,397359.585,0
2024-09-14 02:00:00,0.4175,0.4185,0.415,0.4167,2010696,2024-09-14 02:14:59.999,837207.1493,2701,828396,345031.8872,0
2024-09-14 02:15:00,0.4166,0.4171,0.4147,0.4171,1081245,2024-09-14 02:29:59.999,449903.4031,1292,565512,235339.934,0
2024-09-14 02:30:00,0.4171,0.4195,0.4152,0.419,1858316,2024-09-14 02:44:59.999,776573.3964,2023,1113360,465281.4982,0
2024-09-14 02:45:00,0.4189,0.4191,0.4168,0.4179,703983,2024-09-14 02:59:59.999,294048.7963,897,237114,99061.0359,0
2024-09-14 03:00:00,0.4179,0.4201,0.417,0.419,1573518,2024-09-14 03:14:59.999,658884.4255,1935,857530,359123.663,0
2024-09-14 03:15:00,0.419,0.42,0.4187,0.4195,859535,2024-09-14 03:29:59.999,360448.0047,1003,404882,169837.2334,0
2024-09-14 03:30:00,0.4194,0.4232,0.419,0.4217,2281935,2024-09-14 03:44:59.999,961508.8695,2468,1189161,501071.258,0
2024-09-14 03:45:00,0.4217,0.4239,0.421,0.4239,1237415,2024-09-14 03:59:59.999,522753.7013,1478,609072,257392.6675,0
2024-09-14 04:00:00,0.4239,0.4241,0.4211,0.4221,1592979,2024-09-14 04:14:59.999,672836.459,2128,571192,241333.1818,0
2024-09-14 04:15:00,0.422,0.4225,0.4195,0.42,1597195,2024-09-14 04:29:59.999,671339.96,2122,774072,325439.9231,0
2024-09-14 04:30:00,0.4199,0.4223,0.4194,0.4207,1178075,2024-09-14 04:44:59.999,495491.9379,1604,545150,229348.4682,0
2024-09-14 04:45:00,0.4207,0.421,0.4184,0.4186,1257745,2024-09-14 04:59:59.999,527616.6703,1301,379037,159128.9381,0
2024-09-14 05:00:00,0.4186,0.4205,0.417,0.42,1661200,2024-09-14 05:14:59.999,696186.6165,2158,777649,326062.6549,0
2024-09-14 05:15:00,0.42,0.4229,0.4195,0.4218,1840001,2024-09-14 05:29:59.999,775704.1418,2253,905689,381944.2412,0
2024-09-14 05:30:00,0.4219,0.4227,0.42,0.4224,1127367,2024-09-14 05:44:59.999,475115.5835,1535,560968,236486.9948,0
2024-09-14 05:45:00,0.4226,0.4227,0.41,0.4146,4723685,2024-09-14 05:59:59.999,1968022.4011,6222,1584859,660126.166,0
2024-09-14 06:00:00,0.4147,0.4174,0.4126,0.4144,4408817,2024-09-14 06:14:59.999,1829161.4753,5155,2190218,908868.6217,0
2024-09-14 06:15:00,0.4144,0.4163,0.4137,0.4162,1186672,2024-09-14 06:29:59.999,492596.896,1748,742426,308317.7321,0
2024-09-14 06:30:00,0.4161,0.4174,0.415,0.4162,1450994,2024-09-14 06:44:59.999,603798.7833,1965,984560,409759.7847,0
2024-09-14 06:45:00,0.4162,0.4205,0.416,0.4187,2668193,2024-09-14 06:59:59.999,1116120.8644,3150,1571231,657490.5839,0
2024-09-14 07:00:00,0.4187,0.4198,0.4159,0.4169,1571414,2024-09-14 07:14:59.999,656890.0587,2195,627184,262279.5852,0
2024-09-14 07:15:00,0.4168,0.4186,0.416,0.4169,835848,2024-09-14 07:29:59.999,349026.0634,1051,332832,138953.0526,0
2024-09-14 07:30:00,0.4168,0.4174,0.4155,0.4159,1035321,2024-09-14 07:44:59.999,431136.0814,1268,585647,243917.2165,0
2024-09-14 07:45:00,0.4159,0.4166,0.414,0.4144,1314089,2024-09-14 07:59:59.999,545834.6115,1567,471007,195780.3202,0
2024-09-14 08:00:00,0.4145,0.4161,0.4142,0.4158,809622,2024-09-14 08:14:59.999,336280.5642,1370,427675,177680.1587,0
2024-09-14 08:15:00,0.4158,0.4164,0.4138,0.4155,1160439,2024-09-14 08:29:59.999,481750.0525,1687,599734,249005.909,0
2024-09-14 08:30:00,0.4156,0.4163,0.4118,0.414,2230454,2024-09-14 08:44:59.999,923274.0169,2476,974517,403615.2064,0
2024-09-14 08:45:00,0.414,0.4143,0.4108,0.4133,1990796,2024-09-14 08:59:59.999,821539.0579,2282,888097,366739.67,0
2024-09-14 09:00:00,0.4134,0.4152,0.4132,0.4146,1017926,2024-09-14 09:14:59.999,421701.0801,1407,525700,217814.2353,0
2024-09-14 09:15:00,0.4145,0.4147,0.4124,0.4134,779088,2024-09-14 09:29:59.999,322248.1593,1103,368976,152666.4196,0
2024-09-14 09:30:00,0.4133,0.4143,0.4119,0.4129,1261140,2024-09-14 09:44:59.999,521022.0489,1738,631812,261102.257,0
2024-09-14 09:45:00,0.413,0.4152,0.4126,0.4149,1012614,2024-09-14 09:59:59.999,419260.6992,1528,578666,239556.7254,0
2024-09-14 10:00:00,0.4148,0.4148,0.4126,0.4138,741803,2024-09-14 10:14:59.999,306830.2746,1086,343424,142048.6381,0
2024-09-14 10:15:00,0.4138,0.4139,0.4106,0.4121,1876507,2024-09-14 10:29:59.999,773446.9841,2042,698236,287921.206,0
2024-09-14 10:30:00,0.4121,0.4133,0.4109,0.4121,1882774,2024-09-14 10:44:59.999,775828.806,1963,1034148,426274.7102,0
2024-09-14 10:45:00,0.4121,0.4122,0.4055,0.4084,6252716,2024-09-14 10:59:59.999,2558599.6767,5626,2392188,979306.4943,0
2024-09-14 11:00:00,0.4085,0.409,0.4067,0.4087,3377106,2024-09-14 11:14:59.999,1377815.0781,3311,1767871,721487.3856,0
2024-09-14 11:15:00,0.4087,0.4096,0.405,0.4083,4012891,2024-09-14 11:29:59.999,1633066.7003,4079,1917300,780614.5793,0
2024-09-14 11:30:00,0.4084,0.4094,0.406,0.4069,2340006,2024-09-14 11:44:59.999,953067.9825,2488,1213452,494258.1741,0
2024-09-14 11:45:00,0.407,0.4091,0.4067,0.4083,1728602,2024-09-14 11:59:59.999,705040.9761,1869,984851,401772.1241,0
2024-09-14 12:00:00,0.4082,0.4085,0.4068,0.408,1810540,2024-09-14 12:14:59.999,737955.8722,1982,987900,402660.5565,0
2024-09-14 12:15:00,0.4081,0.4083,0.4067,0.4076,1169395,2024-09-14 12:29:59.999,476584.8488,1668,629890,256797.8621,0
2024-09-14 12:30:00,0.4075,0.4087,0.4033,0.408,4251859,2024-09-14 12:44:59.999,1728485.2812,5150,1982253,806509.8312,0
2024-09-14 12:45:00,0.408,0.4126,0.4076,0.4104,5049142,2024-09-14 12:59:59.999,2072747.7741,5240,2834315,1163720.4459,0
2024-09-14 13:00:00,0.4105,0.413,0.4094,0.4104,2389177,2024-09-14 13:14:59.999,982103.6582,2596,1339402,550764.567,0
2024-09-14 13:15:00,0.4103,0.4116,0.4059,0.4082,3619548,2024-09-14 13:29:59.999,1480662.5632,3996,1249847,511738.9025,0
2024-09-14 13:30:00,0.4084,0.4114,0.4081,0.4095,2006153,2024-09-14 13:44:59.999,821839.4942,2609,1018150,417253.0917,0
2024-09-14 13:45:00,0.4095,0.4098,0.4077,0.4091,1959314,2024-09-14 13:59:59.999,800513.3772,2082,1043863,426550.5247,0
2024-09-14 14:00:00,0.409,0.4092,0.4063,0.4076,2682521,2024-09-14 14:14:59.999,1094828.707,2784,1341637,547772.9232,0
2024-09-14 14:15:00,0.4076,0.4111,0.4075,0.4094,2545426,2024-09-14 14:29:59.999,1042236.0792,2736,1277850,523223.6819,0
2024-09-14 14:30:00,0.4094,0.4109,0.4086,0.4105,1754671,2024-09-14 14:44:59.999,719360.9871,2340,855641,350885.3255,0
2024-09-14 14:45:00,0.4104,0.4114,0.4093,0.4111,1729769,2024-09-14 14:59:59.999,710310.9323,2131,799991,328622.3506,0
2024-09-14 15:00:00,0.4111,0.4121,0.4102,0.4108,1570164,2024-09-14 15:14:59.999,645467.6831,1861,677995,278774.5999,0
2024-09-14 15:15:00,0.4109,0.4135,0.4097,0.4115,2830469,2024-09-14 15:29:59.999,1166458.9993,3296,1631739,672829.9983,0
2024-09-14 15:30:00,0.4114,0.412,0.4103,0.4107,1229516,2024-09-14 15:44:59.999,505507.5071,1626,526490,216499.7303,0
2024-09-14 15:45:00,0.4106,0.4122,0.41,0.4102,810016,2024-09-14 15:59:59.999,332851.1364,1523,368265,151401.8004,0
2024-09-14 16:00:00,0.4101,0.4113,0.4099,0.4107,973246,2024-09-14 16:14:59.999,399462.999,1397,508114,208581.0122,0
2024-09-14 16:15:00,0.4107,0.411,0.408,0.4092,1893497,2024-09-14 16:29:59.999,774582.4513,2200,660465,270248.1777,0
2024-09-14 16:30:00,0.4091,0.4101,0.408,0.4084,834923,2024-09-14 16:44:59.999,341481.4428,1427,390746,159861.6714,0
2024-09-14 16:45:00,0.4084,0.4103,0.4082,0.4096,657937,2024-09-14 16:59:59.999,269373.4282,1048,419797,171886.4953,0
2024-09-14 17:00:00,0.4096,0.4096,0.406,0.4073,2025175,2024-09-14 17:14:59.999,825136.3629,2337,686659,279820.5201,0
2024-09-14 17:15:00,0.4073,0.409,0.4073,0.4085,1019131,2024-09-14 17:29:59.999,416249.7049,1214,612394,250141.5601,0
2024-09-14 17:30:00,0.4085,0.4085,0.4068,0.4074,653241,2024-09-14 17:44:59.999,266239.8392,1030,268060,109263.9621,0
2024-09-14 17:45:00,0.4074,0.4086,0.407,0.4078,943126,2024-09-14 17:59:59.999,384537.433,1116,471368,192231.2003,0
2024-09-14 18:00:00,0.4077,0.4077,0.4016,0.4046,5225245,2024-09-14 18:14:59.999,2114259.6655,5682,1851616,749715.5362,0
2024-09-14 18:15:00,0.4047,0.407,0.4047,0.4059,2214994,2024-09-14 18:29:59.999,899322.7743,2443,998130,405287.1031,0
2024-09-14 18:30:00,0.4059,0.4072,0.4054,0.4057,978553,2024-09-14 18:44:59.999,397588.8324,1241,509448,207030.0731,0
2024-09-14 18:45:00,0.4058,0.4067,0.4051,0.4065,796967,2024-09-14 18:59:59.999,323568.304,985,426168,173036.1013,0
2024-09-14 19:00:00,0.4065,0.4065,0.4041,0.4048,1250737,2024-09-14 19:14:59.999,506490.5834,1472,542925,219894.5198,0
2024-09-14 19:15:00,0.4047,0.4066,0.403,0.4059,1454416,2024-09-14 19:29:59.999,588677.2849,1798,742531,300738.3566,0
2024-09-14 19:30:00,0.4059,0.4059,0.4033,0.4038,1224052,2024-09-14 19:44:59.999,494689.6557,1616,446522,180468.4143,0
2024-09-14 19:45:00,0.4038,0.4045,0.3937,0.4013,8299976,2024-09-14 19:59:59.999,3314142.4223,8666,3087792,1234591.3125,0
2024-09-14 20:00:00,0.4014,0.4029,0.3993,0.4022,3012648,2024-09-14 20:14:59.999,1209514.1201,3752,1612386,647261.5268,0
2024-09-14 20:15:00,0.4021,0.4045,0.401,0.4029,1497699,2024-09-14 20:29:59.999,603006.1439,2596,788660,317548.0153,0
2024-09-14 20:30:00,0.4029,0.4046,0.4024,0.4043,1173825,2024-09-14 20:44:59.999,473844.5752,1488,623506,251750.4549,0
2024-09-14 20:45:00,0.4041,0.4057,0.4016,0.4046,1816655,2024-09-14 20:59:59.999,733654.9742,2327,852387,344291.8078,0
2024-09-14 21:00:00,0.4046,0.4052,0.4029,0.4036,1585583,2024-09-14 21:14:59.999,640558.2031,1826,959586,387684.2688,0
2024-09-14 21:15:00,0.4035,0.4068,0.4035,0.4054,1097408,2024-09-14 21:29:59.999,444565.6395,1466,616904,249908.0767,0
2024-09-14 21:30:00,0.4054,0.4055,0.4031,0.4042,1138243,2024-09-14 21:44:59.999,460183.4091,1261,419075,169416.1333,0
2024-09-14 21:45:00,0.4042,0.4062,0.4041,0.4057,717529,2024-09-14 21:59:59.999,290801.2593,909,372968,151116.5261,0
2024-09-14 22:00:00,0.4057,0.4058,0.4015,0.4026,1592439,2024-09-14 22:14:59.999,642246.3405,2095,735468,296534.9822,0
2024-09-14 22:15:00,0.4025,0.4047,0.4018,0.404,1039170,2024-09-14 22:29:59.999,419419.4202,1371,509032,205454.2943,0
2024-09-14 22:30:00,0.404,0.4047,0.4031,0.4037,628342,2024-09-14 22:44:59.999,253815.2754,1213,275456,111295.4201,0
2024-09-14 22:45:00,0.4036,0.4053,0.402,0.4046,1257522,2024-09-14 22:59:59.999,507513.0938,1893,466200,188268.5128,0
2024-09-14 23:00:00,0.4048,0.4058,0.4045,0.4054,377080,2024-09-14 23:14:59.999,152784.9704,908,153339,62135.4525,0
2024-09-14 23:15:00,0.4053,0.4058,0.4041,0.4055,813994,2024-09-14 23:29:59.999,329637.4532,992,475306,192530.7804,0
2024-09-14 23:30:00,0.4055,0.4064,0.4052,0.4057,568344,2024-09-14 23:44:59.999,230691.5081,830,287964,116902.5377,0
2024-09-14 23:45:00,0.4057,0.4064,0.4038,0.4053,1588325,2024-09-14 23:59:59.999,643004.1065,1651,672910,272336.0923,0
2024-09-15 00:00:00,0.4053,0.4055,0.401,0.4045,2788630,2024-09-15 00:14:59.999,1123584.5756,2953,1399638,563977.0557,0
2024-09-15 00:15:00,0.4046,0.4056,0.4034,0.4049,844766,2024-09-15 00:29:59.999,341808.7564,1144,488325,197640.0015,0
2024-09-15 00:30:00,0.4049,0.4055,0.4038,0.404,877413,2024-09-15 00:44:59.999,354969.2647,1001,408106,165164.7775,0
2024-09-15 00:45:00,0.404,0.404,0.4018,0.4019,792862,2024-09-15 00:59:59.999,319628.457,1148,338142,136360.1082,0
2024-09-15 01:00:00,0.4019,0.4045,0.4016,0.4041,1077319,2024-09-15 01:14:59.999,434188.2623,1449,721241,290720.2178,0
2024-09-15 01:15:00,0.4042,0.4064,0.4034,0.4063,815135,2024-09-15 01:29:59.999,329990.5615,1066,388954,157516.2178,0
