open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-06 05:00:00,0.04366,0.04458,0.04226,0.04254,11683802,2024-09-06 05:14:59.999,499876.3426,4040,5085439,217641.35571,0
2024-09-06 05:15:00,0.04254,0.04314,0.04236,0.04282,12562820,2024-09-06 05:29:59.999,537430.04556,4766,6234800,266805.03081,0
2024-09-06 05:30:00,0.04282,0.04349,0.04279,0.04318,10922463,2024-09-06 05:44:59.999,470600.33691,3588,5902055,254428.78207,0
2024-09-06 05:45:00,0.04318,0.0437,0.0429,0.0435,9181383,2024-09-06 05:59:59.999,397835.85286,3088,4187955,181603.1858,0
2024-09-06 06:00:00,0.0435,0.04466,0.04337,0.04435,27395954,2024-09-06 06:14:59.999,1210280.80209,8417,15885852,701558.99457,0
2024-09-06 06:15:00,0.04438,0.04492,0.04425,0.0445,22666790,2024-09-06 06:29:59.999,1009726.88023,8009,11279398,502668.6184,0
2024-09-06 06:30:00,0.0445,0.04463,0.04385,0.04402,21408190,2024-09-06 06:44:59.999,946435.06852,8515,10067918,445211.17814,0
2024-09-06 06:45:00,0.04402,0.0444,0.04362,0.04401,16551669,2024-09-06 06:59:59.999,728564.69563,5133,7389519,325528.54176,0
2024-09-06 07:00:00,0.04404,0.04422,0.04371,0.04376,12167145,2024-09-06 07:14:59.999,534165.83254,3747,5237199,229985.7484,0
2024-09-06 07:15:00,0.04372,0.04397,0.04314,0.04377,23654519,2024-09-06 07:29:59.999,1030598.0294,7656,11847878,516633.15661,0
2024-09-06 07:30:00,0.04377,0.044,0.04298,0.04337,22936200,2024-09-06 07:44:59.999,996279.60454,10344,10794082,469058.81845,0
2024-09-06 07:45:00,0.04337,0.04367,0.04314,0.04343,9880325,2024-09-06 07:59:59.999,429585.91603,4796,4902434,213230.32617,0
2024-09-06 08:00:00,0.04346,0.04346,0.04274,0.04276,13408577,2024-09-06 08:14:59.999,577777.4284,3545,5839480,251860.26355,0
2024-09-06 08:15:00,0.04278,0.04297,0.04266,0.04288,8236887,2024-09-06 08:29:59.999,352673.17133,1888,4545403,194640.44089,0
2024-09-06 08:30:00,0.04288,0.043,0.04257,0.04282,7447301,2024-09-06 08:44:59.999,318755.60375,1876,3747944,160513.72602,0
2024-09-06 08:45:00,0.04283,0.04317,0.04256,0.04308,10345232,2024-09-06 08:59:59.999,443662.70965,2950,5774389,247734.74355,0
2024-09-06 09:00:00,0.04308,0.04315,0.04268,0.04281,7164911,2024-09-06 09:14:59.999,307393.30802,2631,3181193,136485.90556,0
2024-09-06 09:15:00,0.0428,0.04313,0.04278,0.04306,5104947,2024-09-06 09:29:59.999,219296.14932,1472,2869078,123265.05015,0
