open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-08-15 13:00:00,0.084,0.0909,0.0819,0.0901,19400779,2024-08-15 13:14:59.999,1741670.9805,6632,9163115,823261.1568,0
2024-08-15 13:15:00,0.0901,0.0901,0.087,0.0878,21482922,2024-08-15 13:29:59.999,1911455.509,5213,10215528,909840.6345,0
2024-08-15 13:30:00,0.0878,0.0894,0.0876,0.0887,9846913,2024-08-15 13:44:59.999,873220.8048,2312,5082607,451071.7661,0
2024-08-15 13:45:00,0.0885,0.0895,0.0884,0.0894,9819353,2024-08-15 13:59:59.999,873894.1432,1777,5202652,463218.8877,0
2024-08-15 14:00:00,0.0894,0.0897,0.0884,0.089,9750623,2024-08-15 14:14:59.999,869372.1176,1450,3988455,355915.565,0
2024-08-15 14:15:00,0.0889,0.0898,0.0882,0.0895,7692220,2024-08-15 14:29:59.999,686060.6345,1561,3941194,351637.4695,0
2024-08-15 14:30:00,0.0896,0.095,0.0893,0.0938,41172353,2024-08-15 14:44:59.999,3801621.1307,9186,23196109,2142036.2802,0
2024-08-15 14:45:00,0.0939,0.0965,0.0931,0.0961,50523847,2024-08-15 14:59:59.999,4783333.6464,10748,26859384,2545770.5073,0
2024-08-15 15:00:00,0.0962,0.101,0.095,0.0987,93867254,2024-08-15 15:14:59.999,9217576.7264,20115,49314873,4846308.6584,0
2024-08-15 15:15:00,0.0985,0.1023,0.0985,0.0995,74132246,2024-08-15 15:29:59.999,7443032.0701,16546,36383437,3655767.1671,0
2024-08-15 15:30:00,0.0995,0.1024,0.0984,0.1011,74748800,2024-08-15 15:44:59.999,7530934.3973,20089,37657477,3797527.5396,0
2024-08-15 15:45:00,0.1012,0.102,0.0993,0.1009,60879664,2024-08-15 15:59:59.999,6125789.3508,16447,30428974,3065285.5023,0
2024-08-15 16:00:00,0.1008,0.1012,0.099,0.1,60086438,2024-08-15 16:14:59.999,6013990.4088,16170,28462569,2851667.7864,0
2024-08-15 16:15:00,0.1001,0.1009,0.098,0.0993,53148623,2024-08-15 16:29:59.999,5275844.6559,14572,26119640,2595628.9081,0
2024-08-15 16:30:00,0.0994,0.1039,0.0993,0.1018,84174729,2024-08-15 16:44:59.999,8550698.7538,24627,46715718,4747239.126,0
2024-08-15 16:45:00,0.1018,0.1031,0.101,0.1016,50765116,2024-08-15 16:59:59.999,5173585.8591,15206,25855699,2637872.4831,0
2024-08-15 17:00:00,0.1016,0.1025,0.1005,0.1016,37593264,2024-08-15 17:14:59.999,3819103.3383,10398,18930407,1924782.3366,0
2024-08-15 17:15:00,0.1017,0.1018,0.1001,0.1013,37567999,2024-08-15 17:29:59.999,3800409.2408,10012,17828485,1805266.857,0
2024-08-15 17:30:00,0.1014,0.1028,0.1011,0.1019,28420434,2024-08-15 17:44:59.999,2898520.569,7126,15328947,1563961.1745,0
2024-08-15 17:45:00,0.1019,0.1023,0.1001,0.1011,43384534,2024-08-15 17:59:59.999,4389451.0992,10317,18408364,1863367.3513,0
2024-08-15 18:00:00,0.1011,0.102,0.096,0.0988,95303964,2024-08-15 18:14:59.999,9443310.4536,24126,46040617,4567289.093,0
2024-08-15 18:15:00,0.0987,0.1039,0.098,0.1012,63841015,2024-08-15 18:29:59.999,6408442.1409,18974,37814830,3797836.3788,0
2024-08-15 18:30:00,0.1012,0.1042,0.101,0.1023,59592731,2024-08-15 18:44:59.999,6098121.2705,18976,33316025,3411571.5266,0
2024-08-15 18:45:00,0.1022,0.1033,0.1007,0.1016,37757660,2024-08-15 18:59:59.999,3850104.3016,11743,20381624,2080911.015,0
2024-08-15 19:00:00,0.1017,0.1018,0.0987,0.0998,45721882,2024-08-15 19:14:59.999,4571576.2761,15249,21177086,2118565.456,0
2024-08-15 19:15:00,0.0998,0.1008,0.0985,0.0999,32457823,2024-08-15 19:29:59.999,3235106.7207,10934,15482851,1544717.5363,0
2024-08-15 19:30:00,0.0998,0.102,0.099,0.101,31452690,2024-08-15 19:44:59.999,3157782.1985,12757,17914028,1800185.4993,0
2024-08-15 19:45:00,0.1009,0.1018,0.1,0.1002,36335175,2024-08-15 19:59:59.999,3662759.7442,11574,18510869,1867327.218,0
