open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-10 12:00:00,4.494,5.0723,4.494,4.5954,298263.6,2024-12-10 12:14:59.999,1382727.59676,5313,121753.9,565556.091,0
2024-12-10 12:15:00,4.5954,4.6247,4.3778,4.4854,274302.1,2024-12-10 12:29:59.999,1241608.01995,4120,128693.7,582710.29339,0
2024-12-10 12:30:00,4.4856,4.5777,4.4339,4.4698,141926.9,2024-12-10 12:44:59.999,637557.09937,3638,73579.9,330786.60766,0
2024-12-10 12:45:00,4.4704,4.5029,4.3972,4.4409,74075.6,2024-12-10 12:59:59.999,330091.0509,3529,31296.3,139474.5132,0
2024-12-10 13:00:00,4.4409,4.5848,4.44,4.5248,148337.4,2024-12-10 13:14:59.999,672180.36876,5797,66180.8,299879.33926,0
2024-12-10 13:15:00,4.5253,4.5393,4.4454,4.4744,115893.6,2024-12-10 13:29:59.999,520914.889,4217,46508.7,209317.58808,0
2024-12-10 13:30:00,4.4778,4.5718,4.4343,4.537,131949.3,2024-12-10 13:44:59.999,596197.39758,4582,57958.0,262263.07302,0
2024-12-10 13:45:00,4.5396,4.6313,4.5235,4.5873,189394.4,2024-12-10 13:59:59.999,866935.7902,6058,81672.2,373925.46393,0
2024-12-10 14:00:00,4.5873,4.7548,4.5791,4.731,348361.6,2024-12-10 14:14:59.999,1632451.03129,8162,152757.0,715917.85862,0
2024-12-10 14:15:00,4.7285,5.0307,4.7229,4.888,755164.2,2024-12-10 14:29:59.999,3686359.96401,17663,345150.2,1685442.99199,0
2024-12-10 14:30:00,4.8973,4.932,4.6782,4.8211,677703.3,2024-12-10 14:44:59.999,3243322.02784,15368,325362.6,1557425.67142,0
2024-12-10 14:45:00,4.8248,4.9091,4.7428,4.833,354582.6,2024-12-10 14:59:59.999,1710993.67375,9457,168010.3,811206.28019,0
2024-12-10 15:00:00,4.833,4.8799,4.746,4.7803,333299.0,2024-12-10 15:14:59.999,1602881.13915,8257,145950.4,701939.00179,0
2024-12-10 15:15:00,4.7786,4.7955,4.5945,4.6371,296796.8,2024-12-10 15:29:59.999,1397380.8336,8654,138842.6,654106.75725,0
2024-12-10 15:30:00,4.6371,4.7723,4.6083,4.6857,170302.4,2024-12-10 15:44:59.999,798239.25967,4617,89613.0,420028.49011,0
2024-12-10 15:45:00,4.6963,4.7931,4.5845,4.5961,249759.6,2024-12-10 15:59:59.999,1165530.55883,6682,115822.4,541088.09441,0
2024-12-10 16:00:00,4.5958,4.7282,4.4606,4.64,318974.0,2024-12-10 16:14:59.999,1467729.01729,7883,133571.9,615378.58274,0
2024-12-10 16:15:00,4.6328,4.7152,4.5558,4.6252,150851.7,2024-12-10 16:29:59.999,699366.42357,4917,72953.2,338562.03532,0
2024-12-10 16:30:00,4.6239,4.6302,4.5369,4.563,107468.8,2024-12-10 16:44:59.999,492194.00324,3595,49282.3,225794.78887,0
2024-12-10 16:45:00,4.5623,4.7976,4.5081,4.78,284015.5,2024-12-10 16:59:59.999,1330432.93992,6626,138419.2,649370.56329,0
2024-12-10 17:00:00,4.7799,4.7873,4.6683,4.731,212194.3,2024-12-10 17:14:59.999,1003098.6172,4692,92267.3,436404.80784,0
2024-12-10 17:15:00,4.7287,4.7444,4.6037,4.6306,143256.4,2024-12-10 17:29:59.999,669058.32831,3575,64090.0,299532.74203,0
2024-12-10 17:30:00,4.6295,4.6981,4.6275,4.6776,131152.7,2024-12-10 17:44:59.999,611012.82987,4793,73747.2,343654.24803,0
2024-12-10 17:45:00,4.6773,4.77,4.5768,4.5828,220843.5,2024-12-10 17:59:59.999,1033744.3608,3046,95055.0,445527.95863,0
2024-12-10 18:00:00,4.5768,4.6929,4.568,4.6581,165088.6,2024-12-10 18:14:59.999,766338.71804,2241,76174.0,353649.65268,0
2024-12-10 18:15:00,4.6513,4.8,4.6513,4.7153,264208.3,2024-12-10 18:29:59.999,1251245.50803,3059,128950.2,610953.98236,0
2024-12-10 18:30:00,4.7193,4.8361,4.704,4.7713,266323.3,2024-12-10 18:44:59.999,1274215.97036,2992,126721.1,606687.46499,0
2024-12-10 18:45:00,4.7714,4.8001,4.7332,4.7574,169408.6,2024-12-10 18:59:59.999,806908.45441,1918,86836.4,413672.6519,0
