open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-06 16:00:00,0.8413,0.93,0.8348,0.8881,20870159,2025-03-06 16:14:59.999,18430910.531,54372,10166422,8988182.3225,0
2025-03-06 16:15:00,0.8876,0.9077,0.8358,0.8595,17634393,2025-03-06 16:29:59.999,15333337.2136,48057,8536455,7426260.6536,0
2025-03-06 16:30:00,0.8595,0.8675,0.745,0.7688,26759150,2025-03-06 16:44:59.999,21104798.0457,73378,13309726,10477809.402,0
2025-03-06 16:45:00,0.7682,0.7826,0.7103,0.7765,32156559,2025-03-06 16:59:59.999,24011934.5391,67785,17031307,12733114.1302,0
2025-03-06 17:00:00,0.7764,0.7888,0.7369,0.764,17302290,2025-03-06 17:14:59.999,13128278.7851,48005,9024792,6855087.8604,0
2025-03-06 17:15:00,0.7642,0.796,0.7338,0.755,19180941,2025-03-06 17:29:59.999,14735008.2097,42412,9801357,7539609.0634,0
2025-03-06 17:30:00,0.7554,0.77,0.7394,0.7455,12363909,2025-03-06 17:44:59.999,9306656.1664,31275,6191979,4664638.4046,0
2025-03-06 17:45:00,0.7455,0.7564,0.72,0.7351,11043336,2025-03-06 17:59:59.999,8115623.9272,31004,5456021,4013473.3362,0
2025-03-06 18:00:00,0.7347,0.75,0.7174,0.7401,10360745,2025-03-06 18:14:59.999,7588079.3494,26329,5315091,3895174.4138,0
2025-03-06 18:15:00,0.7398,0.7576,0.6904,0.6976,13673455,2025-03-06 18:29:59.999,9939925.7648,33417,6283928,4580470.7112,0
2025-03-06 18:30:00,0.6981,0.7249,0.6723,0.7222,19161878,2025-03-06 18:44:59.999,13342696.631,52923,9863165,6875025.6739,0
2025-03-06 18:45:00,0.7226,0.73,0.7002,0.7012,9677398,2025-03-06 18:59:59.999,6896205.6708,32009,4721928,3367952.5923,0
2025-03-06 19:00:00,0.7013,0.715,0.6826,0.7079,11059174,2025-03-06 19:14:59.999,7749251.4009,34850,5719665,4009397.493,0
2025-03-06 19:15:00,0.7079,0.7092,0.6839,0.6895,8108924,2025-03-06 19:29:59.999,5660286.5946,26037,3753908,2622841.584,0
2025-03-06 19:30:00,0.6899,0.6922,0.6587,0.6808,21202996,2025-03-06 19:44:59.999,14314000.2461,52305,10843318,7323205.616,0
2025-03-06 19:45:00,0.6809,0.6861,0.6698,0.671,7935822,2025-03-06 19:59:59.999,5378765.6818,24612,4037734,2738200.0069,0
2025-03-06 20:00:00,0.671,0.6812,0.6529,0.6565,13791864,2025-03-06 20:14:59.999,9160070.7735,38093,6834503,4542746.1617,0
2025-03-06 20:15:00,0.6565,0.6657,0.6475,0.6602,11040273,2025-03-06 20:29:59.999,7239258.6364,30590,5653129,3709360.6179,0
2025-03-06 20:30:00,0.6601,0.6798,0.6515,0.6733,12499860,2025-03-06 20:44:59.999,8335356.7883,35508,6608941,4407818.7053,0
2025-03-06 20:45:00,0.6734,0.6899,0.6608,0.6725,10127130,2025-03-06 20:59:59.999,6828085.5306,28465,5187405,3498773.0964,0
2025-03-06 21:00:00,0.6729,0.7163,0.668,0.7003,13468235,2025-03-06 21:14:59.999,9366154.659,37730,7313744,5086457.0476,0
2025-03-06 21:15:00,0.7007,0.7356,0.6936,0.7332,13971769,2025-03-06 21:29:59.999,9973844.7861,38751,7494256,5355273.738,0
2025-03-06 21:30:00,0.7329,0.7559,0.715,0.7249,18429411,2025-03-06 21:44:59.999,13583422.4406,54734,9309672,6867120.9643,0
2025-03-06 21:45:00,0.7248,0.738,0.7054,0.7367,11603373,2025-03-06 21:59:59.999,8353376.7887,38994,6110330,4402128.1655,0
