open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-27 11:00:00,0.073,0.073,0.07001,0.07028,14668830,2024-09-27 11:14:59.999,1045468.88644,5939,6653799,474556.45356,0
2024-09-27 11:15:00,0.07034,0.07098,0.06961,0.07036,8335399,2024-09-27 11:29:59.999,586031.93263,2840,4383151,308287.22376,0
2024-09-27 11:30:00,0.07038,0.07226,0.07019,0.07172,14882181,2024-09-27 11:44:59.999,1063287.95921,4321,7462268,532683.27419,0
2024-09-27 11:45:00,0.07174,0.07225,0.0711,0.07198,12731640,2024-09-27 11:59:59.999,912945.76543,4268,6064767,434664.54065,0
2024-09-27 12:00:00,0.07198,0.07247,0.0702,0.07051,18512919,2024-09-27 12:14:59.999,1321766.09764,5660,7904692,565253.93114,0
2024-09-27 12:15:00,0.07045,0.07105,0.07027,0.07057,6543807,2024-09-27 12:29:59.999,462318.76583,3059,3875240,273803.5839,0
2024-09-27 12:30:00,0.07054,0.07161,0.06995,0.07051,13774318,2024-09-27 12:44:59.999,974445.86514,4211,6486493,459157.6345,0
2024-09-27 12:45:00,0.07054,0.0707,0.06973,0.07023,6790231,2024-09-27 12:59:59.999,477341.81702,2740,3152063,221772.26508,0
2024-09-27 13:00:00,0.07023,0.07024,0.06811,0.06867,22700369,2024-09-27 13:14:59.999,1561907.99694,7630,10298119,708336.87661,0
2024-09-27 13:15:00,0.06859,0.0687,0.06704,0.0678,18207157,2024-09-27 13:29:59.999,1233394.01704,5299,8822496,597848.6012,0
2024-09-27 13:30:00,0.06784,0.06853,0.06689,0.06827,15114459,2024-09-27 13:44:59.999,1024563.76888,5452,7800832,529051.95202,0
2024-09-27 13:45:00,0.06823,0.06891,0.06772,0.06853,8565653,2024-09-27 13:59:59.999,585368.8264,3103,4453355,304440.90823,0
2024-09-27 14:00:00,0.06852,0.06882,0.06748,0.06829,11198354,2024-09-27 14:14:59.999,762820.11444,3873,4667496,318063.55958,0
2024-09-27 14:15:00,0.06833,0.06843,0.06758,0.0676,5771020,2024-09-27 14:29:59.999,392528.87373,2328,2379193,161870.05889,0
2024-09-27 14:30:00,0.06763,0.06854,0.06758,0.06839,6708986,2024-09-27 14:44:59.999,456398.75443,2806,3340237,227309.60416,0
2024-09-27 14:45:00,0.0684,0.06895,0.06811,0.0686,7777949,2024-09-27 14:59:59.999,533234.97892,2727,4281761,293619.06898,0
2024-09-27 15:00:00,0.06856,0.0686,0.0676,0.06799,8943685,2024-09-27 15:14:59.999,608947.61304,2706,3783877,257638.84492,0
2024-09-27 15:15:00,0.06796,0.0715,0.06777,0.07078,22586617,2024-09-27 15:29:59.999,1582546.33427,6612,12315957,862951.90865,0
2024-09-27 15:30:00,0.07073,0.07168,0.06809,0.06875,31150271,2024-09-27 15:44:59.999,2176926.15347,10438,13656582,956488.96327,0
