open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-09-09 12:30:00,11.93,12.42,11.6,12.19,228676.0,2024-09-09 12:44:59.999,2737704.583,10412,116298.4,1390735.117,0
2024-09-09 12:45:00,12.17,12.19,11.9,11.96,108202.5,2024-09-09 12:59:59.999,1299580.84,3802,59076.6,710062.542,0
2024-09-09 13:00:00,11.98,12.05,11.74,11.89,102316.4,2024-09-09 13:14:59.999,1217574.658,3563,44916.6,534845.182,0
2024-09-09 13:15:00,11.9,11.99,11.71,11.95,64947.7,2024-09-09 13:29:59.999,770710.274,2764,34921.2,414954.574,0
2024-09-09 13:30:00,11.94,11.95,11.74,11.87,49764.3,2024-09-09 13:44:59.999,588878.312,2428,26305.9,311393.733,0
2024-09-09 13:45:00,11.87,11.92,11.79,11.84,56680.7,2024-09-09 13:59:59.999,671070.194,2188,25461.0,301694.299,0
2024-09-09 14:00:00,11.84,11.85,11.46,11.68,136981.1,2024-09-09 14:14:59.999,1603403.358,5573,59320.5,695072.491,0
2024-09-09 14:15:00,11.68,11.71,11.5,11.52,104516.7,2024-09-09 14:29:59.999,1208554.266,3983,45905.2,531052.545,0
2024-09-09 14:30:00,11.52,11.53,11.2,11.38,217844.3,2024-09-09 14:44:59.999,2471046.75,7790,96683.3,1097350.295,0
2024-09-09 14:45:00,11.39,11.43,11.28,11.38,82541.1,2024-09-09 14:59:59.999,938152.152,3011,45035.7,512321.621,0
2024-09-09 15:00:00,11.39,11.47,11.29,11.36,77987.8,2024-09-09 15:14:59.999,887289.498,2886,40038.1,456009.178,0
2024-09-09 15:15:00,11.36,11.53,11.32,11.51,71055.9,2024-09-09 15:29:59.999,813531.018,2509,36980.4,423762.899,0
2024-09-09 15:30:00,11.52,11.63,11.5,11.6,91195.4,2024-09-09 15:44:59.999,1055168.184,3298,41461.4,480011.709,0
2024-09-09 15:45:00,11.59,11.74,11.53,11.54,84457.5,2024-09-09 15:59:59.999,983309.497,3204,40842.6,476040.349,0
2024-09-09 16:00:00,11.54,11.7,11.49,11.6,71176.8,2024-09-09 16:14:59.999,825218.369,3059,36948.8,428721.315,0
2024-09-09 16:15:00,11.59,11.67,11.39,11.44,61356.0,2024-09-09 16:29:59.999,708675.347,2648,22042.2,255054.777,0
2024-09-09 16:30:00,11.44,11.54,11.37,11.5,78566.4,2024-09-09 16:44:59.999,899719.644,3286,40178.8,460256.956,0
2024-09-09 16:45:00,11.48,11.64,11.48,11.5,58510.0,2024-09-09 16:59:59.999,674904.365,2038,29696.0,342801.746,0
2024-09-09 17:00:00,11.5,11.55,11.42,11.53,40628.3,2024-09-09 17:14:59.999,467121.849,1838,19626.7,225849.239,0
2024-09-09 17:15:00,11.52,11.59,11.44,11.53,40253.6,2024-09-09 17:29:59.999,463142.386,1456,20445.1,235369.603,0
2024-09-09 17:30:00,11.53,11.55,11.48,11.48,23900.3,2024-09-09 17:44:59.999,275069.599,945,10252.9,118104.334,0
2024-09-09 17:45:00,11.49,11.51,11.28,11.36,53445.5,2024-09-09 17:59:59.999,608615.18,2573,21193.1,241334.521,0
2024-09-09 18:00:00,11.36,11.4,11.2,11.33,75102.6,2024-09-09 18:14:59.999,850763.805,2973,37197.7,421716.908,0
2024-09-09 18:15:00,11.33,11.46,11.28,11.43,72340.1,2024-09-09 18:29:59.999,823168.696,2221,43182.8,491849.005,0
2024-09-09 18:30:00,11.43,11.47,11.32,11.35,35776.4,2024-09-09 18:44:59.999,407654.446,1496,16883.9,192612.978,0
2024-09-09 18:45:00,11.35,11.42,11.34,11.4,17974.8,2024-09-09 18:59:59.999,204781.491,897,9128.8,104081.934,0
2024-09-09 19:00:00,11.41,11.57,11.4,11.45,49755.6,2024-09-09 19:14:59.999,571841.001,2170,23047.7,265127.165,0
