open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-04-09 10:30:00,6.61,7.3666,6.535,6.9743,2962003.9,2024-04-09 10:44:59.999,21104631.7082,73128,1440574.5,10276018.06233,0
2024-04-09 10:45:00,6.9737,7.5694,6.8681,7.3808,4631736.0,2024-04-09 10:59:59.999,33569400.76268,96702,2401358.1,17418588.03713,0
2024-04-09 11:00:00,7.3808,7.635,7.2222,7.3055,5241446.2,2024-04-09 11:14:59.999,38878846.75928,115700,2542686.3,18871719.27225,0
2024-04-09 11:15:00,7.3055,7.388,7.0434,7.1257,4097274.0,2024-04-09 11:29:59.999,29400857.82095,94233,1972772.8,14165744.5787,0
2024-04-09 11:30:00,7.1223,7.22,7.05,7.1396,2720326.7,2024-04-09 11:44:59.999,19413966.94338,60394,1377650.0,9835176.46022,0
2024-04-09 11:45:00,7.1373,7.19,7.0684,7.0903,2255676.1,2024-04-09 11:59:59.999,16040298.11668,48193,1075551.7,7650898.65231,0
2024-04-09 12:00:00,7.0939,7.15,6.6666,6.7634,6581424.7,2024-04-09 12:14:59.999,45041322.21482,138073,2942791.1,20139390.32934,0
2024-04-09 12:15:00,6.7602,6.7994,6.2742,6.6009,10403137.3,2024-04-09 12:29:59.999,67646907.7308,153331,5088764.5,33100301.64463,0
2024-04-09 12:30:00,6.6019,6.76,6.49,6.6198,4804011.6,2024-04-09 12:44:59.999,31898551.12737,80362,2466511.4,16386803.93949,0
2024-04-09 12:45:00,6.6196,6.78,6.582,6.582,2921633.2,2024-04-09 12:59:59.999,19587351.92116,60717,1423505.7,9549846.81763,0
2024-04-09 13:00:00,6.582,7.0942,6.58,7.0283,5945969.8,2024-04-09 13:14:59.999,41164566.7979,119127,3172702.8,21946121.18205,0
2024-04-09 13:15:00,7.0283,7.176,6.9033,6.995,4478209.9,2024-04-09 13:29:59.999,31483756.17047,95554,2190065.2,15404637.98292,0
2024-04-09 13:30:00,6.9998,7.0646,6.8136,6.8409,3056022.4,2024-04-09 13:44:59.999,21112035.3455,62512,1496396.4,10341674.42899,0
2024-04-09 13:45:00,6.8394,6.9887,6.6666,6.7249,2802118.0,2024-04-09 13:59:59.999,19110799.42171,59047,1376083.0,9392232.83299,0
2024-04-09 14:00:00,6.7265,6.98,6.67,6.8938,2759227.6,2024-04-09 14:14:59.999,18930780.10718,61189,1438005.2,9865794.39268,0
2024-04-09 14:15:00,6.8926,6.93,6.756,6.846,1730323.9,2024-04-09 14:29:59.999,11846718.01485,45019,861425.3,5899786.43524,0
2024-04-09 14:30:00,6.8459,6.8724,6.65,6.6953,2788082.1,2024-04-09 14:44:59.999,18829857.57632,61092,1374992.0,9289481.22137,0
2024-04-09 14:45:00,6.6911,6.7833,6.625,6.7034,2748635.6,2024-04-09 14:59:59.999,18408563.64206,64029,1402672.6,9397945.5121,0
2024-04-09 15:00:00,6.704,6.74,6.516,6.6501,3130925.2,2024-04-09 15:14:59.999,20688841.55379,67750,1585179.5,10477839.02458,0
2024-04-09 15:15:00,6.648,6.8892,6.6446,6.7918,3477701.1,2024-04-09 15:29:59.999,23600404.092,68121,1734509.1,11763588.52981,0
