open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-28 14:00:00,6.5,6.597,6.103,6.21,729049.2,2024-10-28 14:14:59.999,4582976.125,15906,348764.2,2192898.3367,0
2024-10-28 14:15:00,6.207,6.4,5.838,6.378,1162825.3,2024-10-28 14:29:59.999,7091748.3541,26868,639890.8,3907370.1321,0
2024-10-28 14:30:00,6.373,6.977,6.251,6.751,1711753.5,2024-10-28 14:44:59.999,11454169.1594,50095,847204.1,5665744.0953,0
2024-10-28 14:45:00,6.751,6.879,6.438,6.834,1391277.4,2024-10-28 14:59:59.999,9268124.5332,44296,692409.3,4618828.6093,0
2024-10-28 15:00:00,6.839,7.25,6.627,7.188,1643476.8,2024-10-28 15:14:59.999,11376966.8659,47043,877482.5,6082845.7093,0
2024-10-28 15:15:00,7.189,7.3,6.9,7.285,1784258.6,2024-10-28 15:29:59.999,12658939.548,50859,912557.7,6478049.9255,0
2024-10-28 15:30:00,7.291,7.292,6.965,7.042,1239368.9,2024-10-28 15:44:59.999,8803668.7677,34353,594983.0,4227531.0653,0
2024-10-28 15:45:00,7.043,7.128,6.668,6.76,1810550.0,2024-10-28 15:59:59.999,12413433.8173,49628,898384.4,6162673.288,0
2024-10-28 16:00:00,6.76,6.859,6.321,6.406,1917952.5,2024-10-28 16:14:59.999,12605490.9953,48406,905817.5,5956298.9043,0
2024-10-28 16:15:00,6.406,6.592,6.334,6.528,670845.3,2024-10-28 16:29:59.999,4343485.2279,17665,363492.9,2354238.0966,0
2024-10-28 16:30:00,6.528,6.594,6.174,6.351,1128675.8,2024-10-28 16:44:59.999,7139552.6995,27667,547343.5,3471457.7586,0
2024-10-28 16:45:00,6.353,6.484,6.229,6.322,926204.4,2024-10-28 16:59:59.999,5866045.0826,26977,476541.1,3020750.8931,0
2024-10-28 17:00:00,6.321,6.4,6.233,6.356,703246.5,2024-10-28 17:14:59.999,4449214.5894,22956,378492.1,2396670.4551,0
2024-10-28 17:15:00,6.358,6.388,6.25,6.34,554723.7,2024-10-28 17:29:59.999,3504254.9309,18639,262090.4,1655957.2313,0
2024-10-28 17:30:00,6.342,6.629,6.342,6.447,1049436.4,2024-10-28 17:44:59.999,6829224.6993,37625,561900.4,3654722.2063,0
2024-10-28 17:45:00,6.446,6.465,6.255,6.273,669655.3,2024-10-28 17:59:59.999,4237733.9155,26026,335836.3,2125407.4264,0
2024-10-28 18:00:00,6.273,6.543,6.191,6.368,778218.7,2024-10-28 18:14:59.999,4928504.2287,29912,405511.3,2570856.5881,0
2024-10-28 18:15:00,6.369,6.416,6.262,6.333,319059.0,2024-10-28 18:29:59.999,2018897.0929,16855,160135.2,1013658.2416,0
