open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-21 11:30:00,0.338,0.348,0.3358,0.3451,1542010,2024-11-21 11:44:59.999,528846.5581,2493,690310,236615.6143,0
2024-11-21 11:45:00,0.3451,0.3742,0.3388,0.366,4628882,2024-11-21 11:59:59.999,1660070.7031,18023,2218671,796322.1709,0
2024-11-21 12:00:00,0.366,0.371,0.3497,0.3584,5565511,2024-11-21 12:14:59.999,2014496.6518,20041,2824482,1025152.2182,0
2024-11-21 12:15:00,0.3584,0.3604,0.334,0.34,4139087,2024-11-21 12:29:59.999,1439530.425,11194,1855765,647523.3077,0
2024-11-21 12:30:00,0.3397,0.344,0.3373,0.3422,1192837,2024-11-21 12:44:59.999,407526.7587,3623,567797,194168.7851,0
2024-11-21 12:45:00,0.342,0.3473,0.34,0.3426,1059365,2024-11-21 12:59:59.999,364300.3167,2515,502311,172919.8969,0
2024-11-21 13:00:00,0.3428,0.3522,0.3386,0.3507,1777312,2024-11-21 13:14:59.999,614549.1436,3318,964702,334671.5176,0
2024-11-21 13:15:00,0.3507,0.352,0.3386,0.3431,1169868,2024-11-21 13:29:59.999,404200.3539,2180,458106,158392.4272,0
2024-11-21 13:30:00,0.3435,0.3471,0.341,0.341,623860,2024-11-21 13:44:59.999,214624.8499,1752,270112,93068.515,0
2024-11-21 13:45:00,0.3413,0.3456,0.3386,0.3417,837369,2024-11-21 13:59:59.999,286378.0588,1775,517448,177064.4692,0
2024-11-21 14:00:00,0.342,0.3426,0.334,0.3399,1275705,2024-11-21 14:14:59.999,431806.1604,2066,406410,137713.5078,0
2024-11-21 14:15:00,0.3403,0.345,0.3384,0.3417,856869,2024-11-21 14:29:59.999,292706.5685,1364,382378,130529.6478,0
2024-11-21 14:30:00,0.3416,0.3423,0.3317,0.3382,1479249,2024-11-21 14:44:59.999,498720.0453,2347,531950,179522.4911,0
2024-11-21 14:45:00,0.3383,0.342,0.334,0.341,661087,2024-11-21 14:59:59.999,223003.5231,1347,324851,109780.6481,0
2024-11-21 15:00:00,0.341,0.3429,0.3358,0.3383,516545,2024-11-21 15:14:59.999,175063.6712,1452,240919,81676.3569,0
2024-11-21 15:15:00,0.3383,0.3404,0.3318,0.3318,843329,2024-11-21 15:29:59.999,284139.8544,1784,310216,104458.8499,0
2024-11-21 15:30:00,0.3319,0.3399,0.3308,0.3378,1198267,2024-11-21 15:44:59.999,402829.5911,2148,782253,263117.7245,0
2024-11-21 15:45:00,0.3378,0.3385,0.335,0.338,341773,2024-11-21 15:59:59.999,115230.4057,547,149905,50568.0835,0
2024-11-21 16:00:00,0.3379,0.3447,0.337,0.3447,691204,2024-11-21 16:14:59.999,236635.816,1262,376471,128975.8941,0
2024-11-21 16:15:00,0.3444,0.3464,0.3353,0.3395,1312310,2024-11-21 16:29:59.999,447257.0249,1876,424356,144759.4537,0
2024-11-21 16:30:00,0.3395,0.3414,0.3384,0.3404,289665,2024-11-21 16:44:59.999,98400.3207,1090,149125,50678.4747,0
2024-11-21 16:45:00,0.3404,0.3424,0.3402,0.3416,180044,2024-11-21 16:59:59.999,61409.6674,979,77674,26516.2431,0
2024-11-21 17:00:00,0.3418,0.3418,0.3338,0.3361,575326,2024-11-21 17:14:59.999,193928.4744,1832,183248,61839.7473,0
2024-11-21 17:15:00,0.336,0.3379,0.3354,0.3378,146921,2024-11-21 17:29:59.999,49491.5825,1238,68612,23117.7526,0
2024-11-21 17:30:00,0.3378,0.3422,0.3378,0.3398,250877,2024-11-21 17:44:59.999,85382.0231,1001,114661,39029.1512,0
2024-11-21 17:45:00,0.3398,0.3416,0.3387,0.3393,169730,2024-11-21 17:59:59.999,57788.5859,1183,75006,25554.654,0
2024-11-21 18:00:00,0.3393,0.3396,0.3361,0.3369,183597,2024-11-21 18:14:59.999,62037.2919,1455,76134,25736.9117,0
2024-11-21 18:15:00,0.3369,0.3407,0.3365,0.3403,259369,2024-11-21 18:29:59.999,87899.5525,1878,150319,50931.4485,0
2024-11-21 18:30:00,0.3403,0.341,0.3384,0.3393,160309,2024-11-21 18:44:59.999,54450.0752,1209,54459,18504.2559,0
2024-11-21 18:45:00,0.3393,0.344,0.3389,0.3438,221573,2024-11-21 18:59:59.999,75651.992,1307,128639,43942.4367,0
2024-11-21 19:00:00,0.3438,0.3439,0.3387,0.3398,253262,2024-11-21 19:14:59.999,86417.5636,1335,76604,26103.0817,0
2024-11-21 19:15:00,0.3398,0.342,0.3384,0.3396,151123,2024-11-21 19:29:59.999,51370.782,1437,95513,32485.2062,0
2024-11-21 19:30:00,0.3396,0.3428,0.3396,0.3422,143695,2024-11-21 19:44:59.999,49090.1778,1105,36930,12631.8124,0
2024-11-21 19:45:00,0.3422,0.3442,0.3416,0.3422,172048,2024-11-21 19:59:59.999,59043.3283,1158,77749,26683.6973,0
2024-11-21 20:00:00,0.3423,0.3437,0.3411,0.343,117536,2024-11-21 20:14:59.999,40239.913,601,61212,20978.676,0
2024-11-21 20:15:00,0.3432,0.345,0.3425,0.3436,162047,2024-11-21 20:29:59.999,55722.7502,287,78016,26835.127,0
2024-11-21 20:30:00,0.3439,0.3446,0.3388,0.3413,533543,2024-11-21 20:44:59.999,181904.7146,1063,189581,64628.4133,0
2024-11-21 20:45:00,0.3407,0.3423,0.3387,0.341,157182,2024-11-21 20:59:59.999,53489.8203,409,61879,21091.4102,0
