open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-10-22 10:00:00,1.251,1.26,1.226,1.227,1216492,2024-10-22 10:14:59.999,1514378.501,5514,628399,783017.574,0
2024-10-22 10:15:00,1.228,1.25,1.21,1.227,2354541,2024-10-22 10:29:59.999,2898137.561,8902,1286687,1585015.222,0
2024-10-22 10:30:00,1.227,1.277,1.223,1.261,2377236,2024-10-22 10:44:59.999,2970802.651,7781,1332788,1665849.388,0
2024-10-22 10:45:00,1.26,1.288,1.246,1.249,3380227,2024-10-22 10:59:59.999,4278772.125,9701,1845079,2335545.667,0
2024-10-22 11:00:00,1.25,1.264,1.231,1.235,2103967,2024-10-22 11:14:59.999,2627621.633,5940,1271083,1588114.951,0
2024-10-22 11:15:00,1.237,1.251,1.217,1.229,1607399,2024-10-22 11:29:59.999,1981050.339,5556,815848,1007071.696,0
2024-10-22 11:30:00,1.23,1.242,1.223,1.226,1037793,2024-10-22 11:44:59.999,1277375.785,4169,525835,647588.664,0
2024-10-22 11:45:00,1.226,1.232,1.215,1.218,1022318,2024-10-22 11:59:59.999,1250143.404,3806,474678,581029.322,0
2024-10-22 12:00:00,1.217,1.219,1.176,1.188,3009674,2024-10-22 12:14:59.999,3607219.526,10753,1231805,1476669.836,0
2024-10-22 12:15:00,1.189,1.19,1.133,1.145,4851470,2024-10-22 12:29:59.999,5644227.952,18202,2232818,2601683.261,0
2024-10-22 12:30:00,1.145,1.156,1.106,1.133,5010272,2024-10-22 12:44:59.999,5658751.535,17209,2504027,2829360.95,0
2024-10-22 12:45:00,1.132,1.157,1.132,1.145,2683339,2024-10-22 12:59:59.999,3073405.976,8918,1522418,1744020.161,0
2024-10-22 13:00:00,1.145,1.155,1.121,1.155,2508949,2024-10-22 13:14:59.999,2850055.385,7730,1399674,1592376.295,0
2024-10-22 13:15:00,1.155,1.155,1.128,1.151,1496739,2024-10-22 13:29:59.999,1716273.541,5612,815219,935073.219,0
2024-10-22 13:30:00,1.151,1.179,1.14,1.159,2349884,2024-10-22 13:44:59.999,2731370.75,8523,1221020,1420630.085,0
2024-10-22 13:45:00,1.159,1.162,1.144,1.149,1190560,2024-10-22 13:59:59.999,1371521.13,3848,569150,655658.127,0
2024-10-22 14:00:00,1.148,1.174,1.145,1.172,1806557,2024-10-22 14:14:59.999,2097288.081,6034,1046720,1215961.109,0
2024-10-22 14:15:00,1.172,1.196,1.166,1.167,2306500,2024-10-22 14:29:59.999,2728139.723,6907,1147248,1356828.206,0
2024-10-22 14:30:00,1.166,1.18,1.151,1.154,1963851,2024-10-22 14:44:59.999,2284137.443,6617,984940,1146837.401,0
2024-10-22 14:45:00,1.154,1.158,1.131,1.139,2050024,2024-10-22 14:59:59.999,2348059.052,6442,936808,1073591.883,0
2024-10-22 15:00:00,1.139,1.197,1.137,1.194,3597011,2024-10-22 15:14:59.999,4183287.169,11779,1969440,2291967.061,0
2024-10-22 15:15:00,1.194,1.2,1.16,1.163,2521510,2024-10-22 15:29:59.999,2977520.702,9426,1132088,1337323.744,0
2024-10-22 15:30:00,1.163,1.178,1.158,1.166,1142453,2024-10-22 15:44:59.999,1333418.241,4136,602224,702982.308,0
2024-10-22 15:45:00,1.167,1.174,1.145,1.165,1909052,2024-10-22 15:59:59.999,2210663.351,7551,931502,1079332.639,0
2024-10-22 16:00:00,1.165,1.194,1.16,1.177,2169969,2024-10-22 16:14:59.999,2559736.696,7700,1074586,1268010.324,0
2024-10-22 16:15:00,1.178,1.182,1.167,1.169,1073141,2024-10-22 16:29:59.999,1261740.796,3905,536418,631183.881,0
2024-10-22 16:30:00,1.169,1.185,1.154,1.169,2081509,2024-10-22 16:44:59.999,2438686.354,8377,1046024,1226104.13,0
2024-10-22 16:45:00,1.168,1.192,1.167,1.185,2012217,2024-10-22 16:59:59.999,2378982.919,6979,1104930,1306764.178,0
2024-10-22 17:00:00,1.184,1.238,1.183,1.208,4709606,2024-10-22 17:14:59.999,5702243.748,16420,2460343,2979849.206,0
2024-10-22 17:15:00,1.208,1.222,1.2,1.207,1775288,2024-10-22 17:29:59.999,2152666.824,7012,904011,1096761.033,0
2024-10-22 17:30:00,1.208,1.21,1.172,1.184,1790027,2024-10-22 17:44:59.999,2131215.032,6468,796029,948112.076,0
2024-10-22 17:45:00,1.183,1.199,1.165,1.184,1737059,2024-10-22 17:59:59.999,2052846.477,6685,872289,1031545.246,0
2024-10-22 18:00:00,1.183,1.222,1.182,1.206,1632964,2024-10-22 18:14:59.999,1969315.439,6884,830725,1001461.568,0
2024-10-22 18:15:00,1.207,1.22,1.198,1.218,1346995,2024-10-22 18:29:59.999,1632538.489,6141,649315,787413.608,0
