open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-18 13:00:00,22.099,22.099,17.721,19.679,5199661.66,2025-01-18 13:14:59.999,101130522.13768,202119,2601419.23,50758650.49014,0
2025-01-18 13:15:00,19.685,21.14,19.0,20.019,4142490.91,2025-01-18 13:29:59.999,83267571.8163,202943,1999214.57,40231202.52976,0
2025-01-18 13:30:00,20.018,21.623,19.81,21.343,2745117.2,2025-01-18 13:44:59.999,56949776.93684,150025,1482373.49,30799059.00175,0
2025-01-18 13:45:00,21.346,23.224,21.327,22.912,3700346.62,2025-01-18 13:59:59.999,82389814.46715,188533,1931823.35,43013382.67726,0
2025-01-18 14:00:00,22.925,26.39,22.757,24.196,7236074.02,2025-01-18 14:14:59.999,178283483.73162,383945,3569855.35,87986368.77326,0
2025-01-18 14:15:00,24.194,25.75,23.5,25.41,4963155.32,2025-01-18 14:29:59.999,122913292.03126,314155,2399811.72,59518746.1326,0
2025-01-18 14:30:00,25.395,27.755,25.157,27.505,5876055.35,2025-01-18 14:44:59.999,155583513.27129,402371,2905934.05,77019995.45578,0
2025-01-18 14:45:00,27.504,31.88,26.736,31.819,9182426.05,2025-01-18 14:59:59.999,269053283.10994,616920,4707178.96,138145341.88891,0
2025-01-18 15:00:00,31.838,31.88,27.33,29.214,10058624.79,2025-01-18 15:14:59.999,295664003.41958,633601,4420241.19,130115994.70191,0
2025-01-18 15:15:00,29.225,29.625,27.111,29.103,5552498.36,2025-01-18 15:29:59.999,157466934.48107,353829,2671310.85,75847471.2789,0
2025-01-18 15:30:00,29.111,31.778,28.45,31.702,4870348.38,2025-01-18 15:44:59.999,146980520.2919,312044,2465187.41,74487657.337,0
2025-01-18 15:45:00,31.699,34.5,30.946,33.95,8183746.47,2025-01-18 15:59:59.999,269246448.53494,518938,3955450.1,130181472.6166,0
2025-01-18 16:00:00,33.95,34.8,30.401,31.02,8783363.21,2025-01-18 16:14:59.999,288452623.63549,576158,4010751.48,131957152.89987,0
2025-01-18 16:15:00,31.007,32.077,28.775,30.097,9217709.83,2025-01-18 16:29:59.999,280964864.77293,521835,4397601.66,134276172.78475,0
2025-01-18 16:30:00,30.092,31.275,29.1,29.388,5117949.33,2025-01-18 16:44:59.999,154098889.95628,333995,2408237.97,72585665.98966,0
2025-01-18 16:45:00,29.397,29.49,25.35,26.02,11319423.29,2025-01-18 16:59:59.999,310034840.19491,533231,4900265.46,134304941.8804,0
2025-01-18 17:00:00,26.0,28.65,25.999,28.639,7455282.93,2025-01-18 17:14:59.999,203679214.61451,388843,3784847.74,103400730.79071,0
2025-01-18 17:15:00,28.641,29.526,26.6,28.0,6625254.37,2025-01-18 17:29:59.999,186925607.4502,375034,3346982.22,94656296.52571,0
2025-01-18 17:30:00,27.998,29.516,26.8,29.099,3832117.61,2025-01-18 17:44:59.999,107309569.56556,303045,1980436.81,55556921.72731,0
2025-01-18 17:45:00,29.109,31.5,28.759,29.699,6256982.41,2025-01-18 17:59:59.999,189384754.73128,427125,3102510.55,94018529.37385,0
2025-01-18 18:00:00,29.696,32.0,29.62,29.908,4974351.27,2025-01-18 18:14:59.999,153659290.35616,364212,2438501.83,75405024.42052,0
2025-01-18 18:15:00,29.908,30.638,29.01,29.862,3372040.68,2025-01-18 18:29:59.999,100363380.67229,258482,1613495.45,48077912.77924,0
2025-01-18 18:30:00,29.86,30.89,29.542,30.648,2254173.4,2025-01-18 18:44:59.999,68461140.74629,199463,1108485.1,33666534.27184,0
2025-01-18 18:45:00,30.647,30.93,27.3,28.394,5119215.96,2025-01-18 18:59:59.999,147108301.07105,346842,2318050.38,66603971.74411,0
2025-01-18 19:00:00,28.394,29.024,28.0,28.368,2320068.77,2025-01-18 19:14:59.999,66245206.15889,177163,1164674.96,33268033.77736,0
2025-01-18 19:15:00,28.367,28.775,27.02,28.228,2869375.73,2025-01-18 19:29:59.999,79737820.46443,228399,1363064.86,37891324.95496,0
2025-01-18 19:30:00,28.23,28.253,27.4,27.661,1493928.38,2025-01-18 19:44:59.999,41738294.18426,131067,727288.08,20329484.3352,0
2025-01-18 19:45:00,27.66,27.877,25.53,26.136,3858837.94,2025-01-18 19:59:59.999,102033150.67095,257883,1730591.17,45775071.81117,0
2025-01-18 20:00:00,26.137,27.507,24.4,24.674,5027779.42,2025-01-18 20:14:59.999,129982909.95009,341141,2269968.5,58953222.24835,0
2025-01-18 20:15:00,24.673,25.145,23.51,23.984,5419677.54,2025-01-18 20:29:59.999,131225592.63102,315598,2491994.06,60400141.64141,0
2025-01-18 20:30:00,23.987,25.128,22.4,24.203,7076453.27,2025-01-18 20:44:59.999,166562516.25035,398001,3323534.46,78275012.62997,0
2025-01-18 20:45:00,24.198,25.794,24.198,24.929,3450258.54,2025-01-18 20:59:59.999,86155538.68064,252086,1734369.7,43335319.34546,0
2025-01-18 21:00:00,24.928,26.739,24.516,26.489,3252876.87,2025-01-18 21:14:59.999,84317777.75362,245518,1648377.33,42724894.3423,0
2025-01-18 21:15:00,26.481,27.317,25.376,27.112,3161451.68,2025-01-18 21:29:59.999,83305533.12405,245663,1642635.01,43354339.25736,0
2025-01-18 21:30:00,27.117,27.826,26.468,27.591,2561255.37,2025-01-18 21:44:59.999,69675993.91915,212276,1288584.36,35073429.85489,0
2025-01-18 21:45:00,27.588,28.0,25.339,25.558,3414306.3,2025-01-18 21:59:59.999,91016950.00651,279016,1631206.83,43493223.76339,0
2025-01-18 22:00:00,25.564,27.052,25.465,26.811,2103727.63,2025-01-18 22:14:59.999,55442541.46712,184390,1080569.69,28466344.00132,0
2025-01-18 22:15:00,26.814,27.365,26.0,26.73,1989835.51,2025-01-18 22:29:59.999,53103733.86343,176074,959140.94,25597610.75176,0
2025-01-18 22:30:00,26.735,27.275,26.211,26.767,1489504.57,2025-01-18 22:44:59.999,40036059.3223,133542,711832.12,19141247.44656,0
2025-01-18 22:45:00,26.763,27.696,26.45,27.632,1475232.32,2025-01-18 22:59:59.999,40006599.67075,115214,784993.63,21294506.3394,0
2025-01-18 23:00:00,27.633,29.688,27.514,29.167,2814037.44,2025-01-18 23:14:59.999,80871392.18644,221121,1462963.58,41992264.14209,0
2025-01-18 23:15:00,29.172,29.924,28.345,28.975,2435516.67,2025-01-18 23:29:59.999,71092794.84357,207865,1152303.28,33641279.36138,0
