open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-20 09:00:00,0.04287,0.04953,0.04265,0.0492,255052533,2025-03-20 09:14:59.999,11922264.01568,54175,123852948,5798882.45196,0
2025-03-20 09:15:00,0.04923,0.05,0.04741,0.04813,165564497,2025-03-20 09:29:59.999,8023400.9918,42733,77629966,3765282.96634,0
2025-03-20 09:30:00,0.04809,0.04823,0.04564,0.04616,121920655,2025-03-20 09:44:59.999,5695515.25071,36989,54872096,2566062.81547,0
2025-03-20 09:45:00,0.04616,0.04773,0.0449,0.04556,94205973,2025-03-20 09:59:59.999,4346181.05884,32615,45912305,2120857.31336,0
2025-03-20 10:00:00,0.04558,0.04634,0.04403,0.04593,104577019,2025-03-20 10:14:59.999,4728146.15188,34790,49282755,2228934.01301,0
2025-03-20 10:15:00,0.04592,0.047,0.04333,0.04475,144012360,2025-03-20 10:29:59.999,6429303.18405,47890,70072445,3132688.00271,0
2025-03-20 10:30:00,0.04474,0.04587,0.04405,0.0449,67533945,2025-03-20 10:44:59.999,3023163.26968,25080,32362922,1450256.8469,0
2025-03-20 10:45:00,0.0449,0.04616,0.04423,0.04568,66783261,2025-03-20 10:59:59.999,3014327.3056,25121,34034379,1538158.19582,0
2025-03-20 11:00:00,0.04568,0.04735,0.0451,0.04703,96176519,2025-03-20 11:14:59.999,4445932.28432,33989,45411119,2102016.72014,0
2025-03-20 11:15:00,0.04703,0.04769,0.0453,0.04574,93169962,2025-03-20 11:29:59.999,4336813.06392,32954,44889714,2091361.26458,0
2025-03-20 11:30:00,0.0458,0.04629,0.04474,0.04544,53185984,2025-03-20 11:44:59.999,2419363.28697,21234,26171372,1191749.88567,0
2025-03-20 11:45:00,0.04543,0.04663,0.04514,0.04564,38482790,2025-03-20 11:59:59.999,1765382.33274,16223,20352133,934179.88128,0
2025-03-20 12:00:00,0.04565,0.04665,0.0446,0.04608,48491981,2025-03-20 12:14:59.999,2215973.61457,20367,23448068,1072603.36343,0
2025-03-20 12:15:00,0.04609,0.04769,0.04555,0.04703,61878937,2025-03-20 12:29:59.999,2893387.82581,21946,31719304,1483204.46189,0
2025-03-20 12:30:00,0.04702,0.04784,0.04636,0.0469,67158315,2025-03-20 12:44:59.999,3163764.10303,25540,33856803,1595904.9316,0
2025-03-20 12:45:00,0.04691,0.04757,0.0464,0.04668,39960138,2025-03-20 12:59:59.999,1875920.74737,14189,19601977,920597.88901,0
2025-03-20 13:00:00,0.04667,0.04732,0.04546,0.04639,65962498,2025-03-20 13:14:59.999,3049606.73146,22571,31546278,1458463.51772,0
2025-03-20 13:15:00,0.0464,0.04655,0.04556,0.04613,30913801,2025-03-20 13:29:59.999,1424080.53678,12251,14896460,686526.83278,0
2025-03-20 13:30:00,0.04613,0.04635,0.04523,0.04546,40689031,2025-03-20 13:44:59.999,1861027.85609,12281,19315522,883892.78681,0
2025-03-20 13:45:00,0.04547,0.04573,0.04395,0.04458,77310233,2025-03-20 13:59:59.999,3452831.96418,19258,36035918,1609927.45154,0
2025-03-20 14:00:00,0.04458,0.04487,0.04309,0.0437,64388630,2025-03-20 14:14:59.999,2833023.00812,19805,30172503,1329372.24706,0
2025-03-20 14:15:00,0.04371,0.04412,0.04345,0.04374,31811543,2025-03-20 14:29:59.999,1393714.89776,10576,17442149,764452.35419,0
2025-03-20 14:30:00,0.04374,0.04386,0.03832,0.03946,266069368,2025-03-20 14:44:59.999,10699076.74654,65480,125010658,5012863.17691,0
