open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-18 13:00:00,0.7784,0.85,0.7784,0.8454,13047916,2024-12-18 13:14:59.999,10766223.1751,41425,6591940,5435670.3963,0
2024-12-18 13:15:00,0.8443,0.8833,0.8323,0.8398,16142701,2024-12-18 13:29:59.999,13843754.7944,41665,7901488,6782826.1319,0
2024-12-18 13:30:00,0.8393,0.8425,0.7934,0.813,17401261,2024-12-18 13:44:59.999,14090149.2796,45216,7964241,6452598.274,0
2024-12-18 13:45:00,0.8131,0.83,0.8081,0.8192,8323251,2024-12-18 13:59:59.999,6823349.2034,25025,4041256,3314011.9502,0
2024-12-18 14:00:00,0.8196,0.909,0.8046,0.9079,24030230,2024-12-18 14:14:59.999,20691961.8273,70397,13266957,11446683.2448,0
2024-12-18 14:15:00,0.9083,0.9319,0.8688,0.8954,35586582,2024-12-18 14:29:59.999,32035415.095,118235,17716249,15973075.4325,0
2024-12-18 14:30:00,0.8958,0.9149,0.8758,0.8959,17864823,2024-12-18 14:44:59.999,16010090.837,55787,9227484,8275498.2155,0
2024-12-18 14:45:00,0.896,0.935,0.8956,0.9135,24619729,2024-12-18 14:59:59.999,22590667.8552,70606,12623536,11587953.5777,0
2024-12-18 15:00:00,0.9134,0.947,0.8905,0.945,24959652,2024-12-18 15:14:59.999,23033420.2302,77524,12990499,11998441.17,0
2024-12-18 15:15:00,0.9449,0.9858,0.94,0.9807,30458804,2024-12-18 15:29:59.999,29461923.8527,92798,16047946,15523752.0156,0
2024-12-18 15:30:00,0.9807,1.0789,0.9724,1.0664,62116982,2024-12-18 15:44:59.999,63935743.0727,193624,32041663,32976906.1418,0
2024-12-18 15:45:00,1.0664,1.1066,1.036,1.0471,63101720,2024-12-18 15:59:59.999,67849953.0916,184707,30881009,33250604.6152,0
2024-12-18 16:00:00,1.0471,1.086,1.0163,1.0734,48765003,2024-12-18 16:14:59.999,50991178.5315,161767,24562968,25699217.1516,0
2024-12-18 16:15:00,1.0735,1.0849,1.0375,1.0417,29175075,2024-12-18 16:29:59.999,31004099.9376,102599,13831035,14696285.172,0
2024-12-18 16:30:00,1.0416,1.075,1.0253,1.0609,22574514,2024-12-18 16:44:59.999,23794188.0525,79763,11630444,12265504.085,0
2024-12-18 16:45:00,1.0611,1.0935,1.0386,1.0816,27968331,2024-12-18 16:59:59.999,29857466.8603,93779,14834791,15854324.4749,0
2024-12-18 17:00:00,1.0817,1.1724,1.0688,1.1426,58881061,2024-12-18 17:14:59.999,66344156.828,183742,31170182,35117878.9413,0
