open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-12-16 13:30:00,25.101,30.249,23.455,24.579,603290.47,2024-12-16 13:44:59.999,15239832.29867,50149,287858.19,7276791.42528,0
2024-12-16 13:45:00,24.597,26.082,24.594,25.268,530882.46,2024-12-16 13:59:59.999,13460186.08737,40671,260369.73,6605431.89917,0
2024-12-16 14:00:00,25.278,25.756,24.056,24.413,708008.31,2024-12-16 14:14:59.999,17639097.84143,53969,364041.29,9068749.49618,0
2024-12-16 14:15:00,24.409,24.8,24.001,24.427,658044.33,2024-12-16 14:29:59.999,16045212.33447,50200,347335.51,8473571.14622,0
2024-12-16 14:30:00,24.415,25.735,24.387,25.568,726051.08,2024-12-16 14:44:59.999,18278651.15974,65550,397506.74,10003413.64962,0
2024-12-16 14:45:00,25.568,26.0,24.376,24.651,719905.74,2024-12-16 14:59:59.999,18063205.47484,67050,320062.16,8029115.09705,0
2024-12-16 15:00:00,24.652,25.5,24.627,25.139,550350.81,2024-12-16 15:14:59.999,13812107.75568,60347,303907.89,7625189.08561,0
2024-12-16 15:15:00,25.139,25.6,25.0,25.295,409237.46,2024-12-16 15:29:59.999,10361383.67179,50420,205509.43,5206543.44472,0
2024-12-16 15:30:00,25.295,26.5,25.186,26.131,580924.6,2024-12-16 15:44:59.999,15071560.24572,67862,301748.66,7825799.24754,0
2024-12-16 15:45:00,26.13,27.6,25.703,27.363,878312.18,2024-12-16 15:59:59.999,23586486.8277,93863,462133.32,12416473.2846,0
2024-12-16 16:00:00,27.363,27.783,26.3,27.59,914617.61,2024-12-16 16:14:59.999,24684703.77033,87356,435980.53,11778622.92164,0
2024-12-16 16:15:00,27.593,28.278,26.369,26.745,812467.25,2024-12-16 16:29:59.999,22102069.30648,95922,397790.42,10826494.38021,0
2024-12-16 16:30:00,26.745,26.899,26.1,26.609,550486.92,2024-12-16 16:44:59.999,14541819.61758,67172,267794.7,7076757.68917,0
2024-12-16 16:45:00,26.614,26.727,25.656,26.394,518018.28,2024-12-16 16:59:59.999,13536994.71165,64405,243184.89,6357388.21611,0
2024-12-16 17:00:00,26.392,27.191,26.297,26.73,393251.82,2024-12-16 17:14:59.999,10498844.9655,52243,195248.07,5215316.71386,0
2024-12-16 17:15:00,26.729,27.018,26.346,26.507,322628.18,2024-12-16 17:29:59.999,8614350.29618,38629,150118.81,4009267.71788,0
2024-12-16 17:30:00,26.505,27.75,26.5,27.566,417377.97,2024-12-16 17:44:59.999,11315674.6655,47683,242632.19,6586044.65671,0
2024-12-16 17:45:00,27.566,27.666,27.0,27.219,486318.56,2024-12-16 17:59:59.999,13285547.30248,51369,256781.2,7018372.80903,0
2024-12-16 18:00:00,27.211,27.65,26.925,27.592,367255.22,2024-12-16 18:14:59.999,10051048.89189,46112,186103.98,5094661.43431,0
2024-12-16 18:15:00,27.592,28.7,27.545,28.114,716459.67,2024-12-16 18:29:59.999,20134928.31534,87335,356935.48,10024294.1923,0
2024-12-16 18:30:00,28.112,29.468,28.002,29.134,679063.12,2024-12-16 18:44:59.999,19502833.72072,74011,351519.38,10096442.02137,0
2024-12-16 18:45:00,29.136,29.272,28.712,28.917,433849.2,2024-12-16 18:59:59.999,12585189.15105,52155,205046.48,5950256.55253,0
2024-12-16 19:00:00,28.918,30.892,28.02,30.527,1369290.83,2024-12-16 19:14:59.999,40751562.24463,144567,717546.52,21375548.39469,0
2024-12-16 19:15:00,30.535,30.791,29.5,29.926,851742.5,2024-12-16 19:29:59.999,25687761.38345,109719,394944.58,11911843.11783,0
2024-12-16 19:30:00,29.935,31.43,29.888,31.301,848013.84,2024-12-16 19:44:59.999,26152185.61677,109435,435067.28,13416477.71757,0
2024-12-16 19:45:00,31.301,31.5,30.673,31.162,837715.59,2024-12-16 19:59:59.999,26096210.54812,96408,398002.12,12406711.07776,0
2024-12-16 20:00:00,31.162,32.364,30.764,31.961,1309565.75,2024-12-16 20:14:59.999,41682631.56878,152728,665840.57,21199376.04032,0
2024-12-16 20:15:00,31.962,32.443,31.639,31.922,600305.51,2024-12-16 20:29:59.999,19275542.53135,74077,285087.09,9159695.61859,0
2024-12-16 20:30:00,31.913,32.3,31.63,31.861,505919.43,2024-12-16 20:44:59.999,16173975.3355,65902,248853.17,7959231.61193,0
2024-12-16 20:45:00,31.861,31.998,30.651,31.186,826468.68,2024-12-16 20:59:59.999,25856896.21177,96104,376542.11,11779960.93418,0
2024-12-16 21:00:00,31.182,31.324,29.707,30.121,957262.66,2024-12-16 21:14:59.999,28970438.56966,114299,477121.03,14438312.48324,0
2024-12-16 21:15:00,30.115,31.167,29.998,30.263,588656.87,2024-12-16 21:29:59.999,17954730.03239,82607,309089.4,9431718.66697,0
2024-12-16 21:30:00,30.263,31.3,30.244,31.008,560152.83,2024-12-16 21:44:59.999,17315002.30834,79531,295632.09,9138837.28296,0
2024-12-16 21:45:00,31.008,32.1,31.008,31.959,584813.63,2024-12-16 21:59:59.999,18561064.90564,79239,305957.27,9712780.36601,0
2024-12-16 22:00:00,31.961,32.3,31.062,31.109,498137.8,2024-12-16 22:14:59.999,15739419.40038,66810,232624.45,7354219.19703,0
2024-12-16 22:15:00,31.109,31.883,31.107,31.685,404880.16,2024-12-16 22:29:59.999,12763328.10675,56247,209030.45,6589351.09941,0
