open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-12 17:00:00,0.3342,0.3857,0.3079,0.3747,24895727,2025-03-12 17:14:59.999,8886668.8096,39333,12652411,4502836.0304,0
2025-03-12 17:15:00,0.3743,0.4189,0.3693,0.3921,28342859,2025-03-12 17:29:59.999,11334337.9861,54116,14032315,5616097.0722,0
2025-03-12 17:30:00,0.3922,0.4141,0.377,0.3877,23223986,2025-03-12 17:44:59.999,9097643.2403,50053,12047037,4718715.1909,0
2025-03-12 17:45:00,0.3876,0.429,0.3875,0.4094,26814121,2025-03-12 17:59:59.999,11030949.5956,66274,13925418,5733784.2165,0
2025-03-12 18:00:00,0.4094,0.418,0.3899,0.3968,22471062,2025-03-12 18:14:59.999,9111032.2956,50323,11064831,4493687.2533,0
2025-03-12 18:15:00,0.3968,0.4095,0.3763,0.3767,19624104,2025-03-12 18:29:59.999,7686585.7378,49345,9273417,3641251.4,0
2025-03-12 18:30:00,0.3771,0.398,0.3769,0.3899,12500277,2025-03-12 18:44:59.999,4853227.1166,30739,6375356,2476037.9315,0
2025-03-12 18:45:00,0.3897,0.3989,0.3797,0.3873,11064200,2025-03-12 18:59:59.999,4320994.9202,30036,5579199,2181721.6505,0
2025-03-12 19:00:00,0.3873,0.395,0.3765,0.3873,10210930,2025-03-12 19:14:59.999,3948634.7062,31520,5263104,2038318.458,0
2025-03-12 19:15:00,0.3868,0.3953,0.38,0.3876,8116280,2025-03-12 19:29:59.999,3152814.1887,24088,4141395,1610654.2955,0
2025-03-12 19:30:00,0.3876,0.393,0.381,0.3852,7837594,2025-03-12 19:44:59.999,3031184.5802,22317,3784206,1465046.4228,0
2025-03-12 19:45:00,0.3854,0.4042,0.3827,0.3966,14282064,2025-03-12 19:59:59.999,5641426.6664,33878,7665952,3029207.7759,0
2025-03-12 20:00:00,0.3966,0.4,0.3718,0.38,18178133,2025-03-12 20:14:59.999,7005194.4087,38282,8424349,3249816.6376,0
2025-03-12 20:15:00,0.3805,0.3828,0.3609,0.3683,17314454,2025-03-12 20:29:59.999,6395480.3574,34844,8290445,3062582.5127,0
2025-03-12 20:30:00,0.3684,0.3732,0.3566,0.3603,11716804,2025-03-12 20:44:59.999,4263222.5649,30953,5687341,2071470.0636,0
2025-03-12 20:45:00,0.3605,0.3833,0.3594,0.3805,18026066,2025-03-12 20:59:59.999,6740692.0135,45500,8992590,3361767.6859,0
2025-03-12 21:00:00,0.3801,0.3895,0.3712,0.379,11844403,2025-03-12 21:14:59.999,4495379.2851,29090,6107921,2319914.1036,0
2025-03-12 21:15:00,0.379,0.381,0.3656,0.3719,10524993,2025-03-12 21:29:59.999,3916703.8115,21522,5539238,2060574.1841,0
2025-03-12 21:30:00,0.3719,0.375,0.364,0.3683,8111172,2025-03-12 21:44:59.999,2990315.5804,18559,3965069,1462843.3854,0
2025-03-12 21:45:00,0.368,0.3783,0.3672,0.3725,7970237,2025-03-12 21:59:59.999,2971299.9545,20126,4191357,1562718.0843,0
2025-03-12 22:00:00,0.3726,0.3778,0.3658,0.3693,8251026,2025-03-12 22:14:59.999,3056430.9978,22545,4019572,1489075.5066,0
2025-03-12 22:15:00,0.3693,0.3719,0.361,0.3631,7960117,2025-03-12 22:29:59.999,2923806.4064,24788,4021633,1478398.7134,0
2025-03-12 22:30:00,0.3631,0.3682,0.3599,0.3636,7496436,2025-03-12 22:44:59.999,2727752.2325,21346,3908382,1423065.0071,0
2025-03-12 22:45:00,0.3634,0.3688,0.361,0.368,4817297,2025-03-12 22:59:59.999,1756648.7928,14717,2519845,919259.766,0
2025-03-12 23:00:00,0.3679,0.37,0.3611,0.3659,5119959,2025-03-12 23:14:59.999,1875306.7986,14699,2495337,914488.4379,0
2025-03-12 23:15:00,0.3659,0.3687,0.364,0.3658,2229026,2025-03-12 23:29:59.999,816359.4698,6709,1109575,406568.8762,0
2025-03-12 23:30:00,0.3659,0.3688,0.3632,0.3682,2754239,2025-03-12 23:44:59.999,1007400.8976,6450,1498646,548532.9468,0
2025-03-12 23:45:00,0.3683,0.3779,0.368,0.3743,5708677,2025-03-12 23:59:59.999,2133702.2593,14913,2918528,1090392.7049,0
2025-03-13 00:00:00,0.3743,0.3747,0.3531,0.3583,10420780,2025-03-13 00:14:59.999,3748377.3115,29311,4980934,1790617.4558,0
2025-03-13 00:15:00,0.3583,0.3586,0.34,0.3427,8471134,2025-03-13 00:29:59.999,2963106.1339,21594,3422603,1197212.5864,0
2025-03-13 00:30:00,0.3426,0.3481,0.335,0.3481,7121734,2025-03-13 00:44:59.999,2437613.8159,17876,3567645,1221954.0692,0
2025-03-13 00:45:00,0.3479,0.3657,0.3464,0.3637,8923699,2025-03-13 00:59:59.999,3180772.7312,22827,4572075,1628735.1422,0
2025-03-13 01:00:00,0.3638,0.3944,0.3611,0.3809,14061364,2025-03-13 01:14:59.999,5351161.8817,39393,7611072,2896136.5271,0
2025-03-13 01:15:00,0.3807,0.3929,0.3741,0.3887,14194947,2025-03-13 01:29:59.999,5479623.0867,44784,7329013,2831229.4297,0
2025-03-13 01:30:00,0.3887,0.4059,0.3884,0.3998,14490036,2025-03-13 01:44:59.999,5758859.3987,43134,7641938,3039889.569,0
2025-03-13 01:45:00,0.3995,0.4082,0.3887,0.3996,15848211,2025-03-13 01:59:59.999,6333724.4848,43155,7829483,3132636.8769,0
2025-03-13 02:00:00,0.3996,0.401,0.385,0.3922,11117333,2025-03-13 02:14:59.999,4357171.4775,29473,5545348,2174332.2555,0
