open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-29 08:15:00,10.636,10.9,9.974,10.29,347625.32,2025-01-29 08:29:59.999,3582308.0996,11720,178333.76,1838199.59256,0
2025-01-29 08:30:00,10.28,10.5,10.046,10.21,190329.54,2025-01-29 08:44:59.999,1948779.2264,10460,99094.16,1016163.30302,0
2025-01-29 08:45:00,10.21,10.252,9.609,9.893,346031.42,2025-01-29 08:59:59.999,3416908.10972,16157,183257.42,1807464.0522,0
2025-01-29 09:00:00,9.891,9.966,9.437,9.944,353227.58,2025-01-29 09:14:59.999,3429704.21075,16076,205633.06,1998404.53738,0
2025-01-29 09:15:00,9.938,10.478,9.804,9.997,413742.33,2025-01-29 09:29:59.999,4206385.77684,21184,205751.97,2092881.6492,0
2025-01-29 09:30:00,9.998,10.4,9.65,9.948,320704.5,2025-01-29 09:44:59.999,3198259.55874,15082,152432.25,1525494.69887,0
2025-01-29 09:45:00,9.942,10.051,9.607,9.655,204692.4,2025-01-29 09:59:59.999,2008022.91046,10877,97620.62,956891.56084,0
2025-01-29 10:00:00,9.656,9.76,9.543,9.568,187793.95,2025-01-29 10:14:59.999,1811867.49714,12843,93302.22,900762.76287,0
2025-01-29 10:15:00,9.568,9.633,9.1,9.364,390737.75,2025-01-29 10:29:59.999,3657556.81508,22547,176145.23,1649428.44433,0
2025-01-29 10:30:00,9.366,9.784,9.315,9.534,301326.29,2025-01-29 10:44:59.999,2887465.0927,18798,151742.26,1453946.06823,0
2025-01-29 10:45:00,9.534,9.858,9.49,9.759,273581.81,2025-01-29 10:59:59.999,2647346.05054,15409,151277.69,1465545.22583,0
2025-01-29 11:00:00,9.759,9.857,9.557,9.687,172745.18,2025-01-29 11:14:59.999,1676233.06056,12773,86648.5,841352.51397,0
2025-01-29 11:15:00,9.692,9.748,9.5,9.599,119259.14,2025-01-29 11:29:59.999,1148583.75489,10259,57141.59,550327.65829,0
2025-01-29 11:30:00,9.603,9.65,9.283,9.544,211631.71,2025-01-29 11:44:59.999,2004637.51324,16220,112012.41,1061181.46455,0
2025-01-29 11:45:00,9.544,9.685,9.436,9.64,154434.15,2025-01-29 11:59:59.999,1478143.84743,11169,81876.8,783909.94059,0
2025-01-29 12:00:00,9.64,9.938,9.469,9.841,193031.42,2025-01-29 12:14:59.999,1864460.01399,12453,117295.38,1133780.20848,0
2025-01-29 12:15:00,9.847,10.25,9.694,9.755,452027.7,2025-01-29 12:29:59.999,4517406.02072,29305,223390.17,2236062.95098,0
2025-01-29 12:30:00,9.755,9.88,9.419,9.56,215478.39,2025-01-29 12:44:59.999,2081500.2899,16576,109936.94,1063358.02542,0
2025-01-29 12:45:00,9.561,9.977,9.514,9.707,248922.09,2025-01-29 12:59:59.999,2416691.83011,16587,119541.54,1161098.9468,0
2025-01-29 13:00:00,9.708,9.877,9.523,9.596,240544.18,2025-01-29 13:14:59.999,2324565.67609,18335,118535.9,1146842.57669,0
2025-01-29 13:15:00,9.597,9.602,9.21,9.258,320912.87,2025-01-29 13:29:59.999,3010445.21124,16629,143655.92,1348647.11975,0
2025-01-29 13:30:00,9.256,9.485,9.107,9.316,248457.13,2025-01-29 13:44:59.999,2315024.23037,11789,122797.09,1145948.04344,0
2025-01-29 13:45:00,9.314,9.354,8.98,9.13,286508.69,2025-01-29 13:59:59.999,2619500.71647,11459,138820.93,1270110.3071,0
2025-01-29 14:00:00,9.133,9.291,8.615,8.888,623917.9,2025-01-29 14:14:59.999,5544221.54798,23285,293429.51,2607282.90238,0
2025-01-29 14:15:00,8.887,9.2,8.732,9.191,376207.44,2025-01-29 14:29:59.999,3366942.72675,14353,201382.97,1805249.6195,0
2025-01-29 14:30:00,9.198,9.292,8.87,9.034,314312.3,2025-01-29 14:44:59.999,2853986.7837,14166,157011.23,1426057.51042,0
2025-01-29 14:45:00,9.03,9.243,8.858,9.218,220979.26,2025-01-29 14:59:59.999,1996659.10328,10421,119323.07,1079669.29343,0
2025-01-29 15:00:00,9.215,9.227,8.928,9.021,257222.6,2025-01-29 15:14:59.999,2340696.29669,11654,129812.14,1181744.00602,0
2025-01-29 15:15:00,9.02,9.048,8.613,8.884,402254.69,2025-01-29 15:29:59.999,3525405.6182,16856,196817.26,1724377.62607,0
2025-01-29 15:30:00,8.878,8.91,8.69,8.71,182551.32,2025-01-29 15:44:59.999,1611486.66585,7517,82666.79,730506.95025,0
2025-01-29 15:45:00,8.709,8.88,8.685,8.821,179340.0,2025-01-29 15:59:59.999,1573229.46963,8177,98047.8,860539.45882,0
2025-01-29 16:00:00,8.818,9.219,8.806,9.092,430314.44,2025-01-29 16:14:59.999,3880183.69916,16987,236018.04,2129545.09954,0
2025-01-29 16:15:00,9.098,9.106,8.857,8.929,230490.28,2025-01-29 16:29:59.999,2064914.81062,10402,109628.01,981727.69186,0
2025-01-29 16:30:00,8.927,9.092,8.777,8.904,247432.98,2025-01-29 16:44:59.999,2213114.83563,9814,136118.52,1218610.20381,0
