open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-17 11:00:00,0.2364,0.2504,0.2326,0.2459,14016332,2024-06-17 11:14:59.999,3403128.9558,13276,6641705,1613394.454,0
2024-06-17 11:15:00,0.2459,0.257,0.2446,0.2521,53168985,2024-06-17 11:29:59.999,13349777.2556,41471,24974901,6276175.0501,0
2024-06-17 11:30:00,0.2523,0.2639,0.25,0.2516,71240036,2024-06-17 11:44:59.999,18395714.0168,52748,32419868,8381192.4615,0
2024-06-17 11:45:00,0.2516,0.2559,0.2428,0.2476,74274612,2024-06-17 11:59:59.999,18536609.8154,57110,34698098,8666499.0953,0
2024-06-17 12:00:00,0.2475,0.2508,0.237,0.2397,60442545,2024-06-17 12:14:59.999,14760076.7264,47085,26702783,6529847.2204,0
2024-06-17 12:15:00,0.2397,0.2475,0.2382,0.2444,47109721,2024-06-17 12:29:59.999,11407586.0607,40541,24506039,5935639.7488,0
2024-06-17 12:30:00,0.2444,0.2528,0.2416,0.2439,43964247,2024-06-17 12:44:59.999,10866141.7783,41094,22127964,5472991.3774,0
2024-06-17 12:45:00,0.244,0.2533,0.242,0.2513,39192176,2024-06-17 12:59:59.999,9704687.439,38612,21554308,5339084.9235,0
2024-06-17 13:00:00,0.2515,0.2571,0.2491,0.2569,54203799,2024-06-17 13:14:59.999,13740263.9547,50558,27983316,7097945.4744,0
2024-06-17 13:15:00,0.257,0.2624,0.2515,0.2603,71706733,2024-06-17 13:29:59.999,18476029.9896,66851,36235690,9345740.9434,0
2024-06-17 13:30:00,0.2603,0.263,0.2523,0.2531,48854621,2024-06-17 13:44:59.999,12566956.0258,55077,22784193,5867624.2038,0
2024-06-17 13:45:00,0.2532,0.2554,0.243,0.2469,70950341,2024-06-17 13:59:59.999,17577857.5628,65984,32721103,8110208.3827,0
2024-06-17 14:00:00,0.247,0.2511,0.2427,0.2483,40351654,2024-06-17 14:14:59.999,10019070.0136,41944,20740826,5154017.1836,0
2024-06-17 14:15:00,0.2482,0.2501,0.2432,0.2468,39436671,2024-06-17 14:29:59.999,9710358.983,43220,18906678,4658877.5404,0
2024-06-17 14:30:00,0.2468,0.25,0.24,0.2489,65026706,2024-06-17 14:44:59.999,15938821.7127,70878,29633915,7277106.1145,0
2024-06-17 14:45:00,0.2488,0.2517,0.245,0.2487,31306363,2024-06-17 14:59:59.999,7765814.7477,35458,16039349,3981347.2959,0
2024-06-17 15:00:00,0.2487,0.2504,0.2435,0.2448,31760449,2024-06-17 15:14:59.999,7839998.5283,36089,15428034,3810649.2549,0
2024-06-17 15:15:00,0.2448,0.246,0.233,0.2369,85616883,2024-06-17 15:29:59.999,20378034.5397,73131,37813145,9002131.8553,0
2024-06-17 15:30:00,0.2368,0.2386,0.2253,0.2309,100963748,2024-06-17 15:44:59.999,23265646.5548,66727,44697581,10297831.6312,0
2024-06-17 15:45:00,0.2308,0.233,0.2163,0.2204,100404771,2024-06-17 15:59:59.999,22426319.6514,67811,45216228,10114084.5807,0
2024-06-17 16:00:00,0.2205,0.2253,0.2181,0.2206,74289701,2024-06-17 16:14:59.999,16495349.3437,50037,38888418,8641698.38,0
2024-06-17 16:15:00,0.2206,0.2268,0.2144,0.2266,80474100,2024-06-17 16:29:59.999,17859651.2574,61872,41226984,9161115.1172,0
2024-06-17 16:30:00,0.2266,0.2322,0.2261,0.231,50067311,2024-06-17 16:44:59.999,11459723.5595,41596,26591202,6090626.2131,0
2024-06-17 16:45:00,0.2311,0.234,0.2279,0.2321,47660444,2024-06-17 16:59:59.999,11015818.9339,35571,24789049,5730954.7967,0
2024-06-17 17:00:00,0.2321,0.2375,0.2313,0.2356,42837587,2024-06-17 17:14:59.999,10054832.5225,29401,22040969,5173848.4164,0
2024-06-17 17:15:00,0.2355,0.2383,0.2335,0.236,33318254,2024-06-17 17:29:59.999,7851409.393,24899,17093894,4029689.5061,0
2024-06-17 17:30:00,0.2361,0.2365,0.2235,0.2285,60420630,2024-06-17 17:44:59.999,13817844.1254,42114,30526629,6978997.3562,0
2024-06-17 17:45:00,0.2285,0.2309,0.2258,0.2299,22033739,2024-06-17 17:59:59.999,5030191.942,19446,11765620,2687200.2164,0
2024-06-17 18:00:00,0.2299,0.2357,0.228,0.23,26569699,2024-06-17 18:14:59.999,6153999.7369,24402,14697150,3405883.0873,0
2024-06-17 18:15:00,0.23,0.2372,0.2285,0.2329,26271515,2024-06-17 18:29:59.999,6125706.7586,32372,13542051,3158897.5127,0
2024-06-17 18:30:00,0.2327,0.2377,0.2292,0.2296,23707486,2024-06-17 18:44:59.999,5532122.7439,27163,11188823,2612646.5858,0
2024-06-17 18:45:00,0.2296,0.2307,0.2262,0.2293,17916773,2024-06-17 18:59:59.999,4096044.94,20874,8840143,2022125.8157,0
2024-06-17 19:00:00,0.2293,0.2297,0.2211,0.222,28594857,2024-06-17 19:14:59.999,6441963.9975,34143,12909916,2910159.1071,0
2024-06-17 19:15:00,0.222,0.2249,0.2183,0.2204,33475735,2024-06-17 19:29:59.999,7396653.7628,31728,16612458,3673778.4475,0
2024-06-17 19:30:00,0.2203,0.2205,0.2132,0.2146,46727655,2024-06-17 19:44:59.999,10122752.1872,37509,22479296,4872713.832,0
2024-06-17 19:45:00,0.2146,0.2185,0.2092,0.2124,47002381,2024-06-17 19:59:59.999,10030511.4899,36988,22641723,4837726.536,0
2024-06-17 20:00:00,0.2126,0.2173,0.2088,0.2121,38645094,2024-06-17 20:14:59.999,8236801.3636,33835,18908474,4032481.3853,0
2024-06-17 20:15:00,0.212,0.2199,0.2119,0.2183,30579528,2024-06-17 20:29:59.999,6638733.4979,31718,15192892,3298091.2542,0
2024-06-17 20:30:00,0.2182,0.2202,0.2132,0.2171,19594068,2024-06-17 20:44:59.999,4245843.3601,22366,9572935,2075853.042,0
2024-06-17 20:45:00,0.217,0.2172,0.2101,0.2155,26783487,2024-06-17 20:59:59.999,5709984.4261,29501,13196599,2813319.2876,0
2024-06-17 21:00:00,0.2155,0.2192,0.2112,0.2127,23068287,2024-06-17 21:14:59.999,4970767.2185,24524,10820306,2331438.4695,0
2024-06-17 21:15:00,0.2127,0.2163,0.2122,0.215,11415607,2024-06-17 21:29:59.999,2444627.2272,13297,5780126,1238266.1802,0
2024-06-17 21:30:00,0.215,0.2212,0.2138,0.2207,17675871,2024-06-17 21:44:59.999,3849871.3349,19005,10230533,2229488.4526,0
2024-06-17 21:45:00,0.2207,0.2235,0.2168,0.222,19236949,2024-06-17 21:59:59.999,4250032.4645,20267,10040423,2219694.633,0
2024-06-17 22:00:00,0.222,0.2289,0.2197,0.226,30442889,2024-06-17 22:14:59.999,6864855.9978,32269,15647728,3528992.3117,0
2024-06-17 22:15:00,0.226,0.2271,0.2221,0.2238,14580902,2024-06-17 22:29:59.999,3274482.0837,15443,6950932,1561255.6904,0
2024-06-17 22:30:00,0.2239,0.2242,0.2193,0.2226,11597904,2024-06-17 22:44:59.999,2570441.9955,12103,5869807,1301306.5474,0
2024-06-17 22:45:00,0.2226,0.2235,0.2177,0.2225,11860437,2024-06-17 22:59:59.999,2621075.5189,14217,5770149,1276117.3003,0
2024-06-17 23:00:00,0.2225,0.2243,0.2183,0.2188,12451228,2024-06-17 23:14:59.999,2749310.3386,13507,5847539,1291441.382,0
2024-06-17 23:15:00,0.2187,0.22,0.2168,0.2191,12340060,2024-06-17 23:29:59.999,2695353.0827,11332,5553331,1213486.6727,0
2024-06-17 23:30:00,0.2191,0.2191,0.2121,0.2142,20206100,2024-06-17 23:44:59.999,4348154.7093,21344,9278249,1996759.67,0
2024-06-17 23:45:00,0.2142,0.218,0.2112,0.213,15662070,2024-06-17 23:59:59.999,3359586.0526,18630,7561409,1623228.976,0
2024-06-18 00:00:00,0.213,0.2158,0.206,0.2067,39811469,2024-06-18 00:14:59.999,8371239.8836,40558,17660754,3717909.9814,0
2024-06-18 00:15:00,0.2069,0.2125,0.2062,0.2121,22467201,2024-06-18 00:29:59.999,4718189.2575,19007,12370173,2598360.8711,0
2024-06-18 00:30:00,0.2121,0.2158,0.2053,0.2056,28427850,2024-06-18 00:44:59.999,5977818.8383,29563,13547002,2851137.053,0
2024-06-18 00:45:00,0.2056,0.2086,0.2022,0.2074,37425073,2024-06-18 00:59:59.999,7680174.1833,30274,18054184,3707121.3082,0
2024-06-18 01:00:00,0.2074,0.2102,0.205,0.2066,24376750,2024-06-18 01:14:59.999,5051545.9459,23810,11807264,2446292.0532,0
2024-06-18 01:15:00,0.2065,0.2112,0.2052,0.208,23184606,2024-06-18 01:29:59.999,4824605.054,20953,10978717,2285597.0393,0
2024-06-18 01:30:00,0.2081,0.2089,0.1959,0.197,54499895,2024-06-18 01:44:59.999,11064147.0234,42836,23391304,4760498.5155,0
2024-06-18 01:45:00,0.1971,0.2047,0.1904,0.2009,67597948,2024-06-18 01:59:59.999,13361459.2763,54784,32602989,6449630.4495,0
2024-06-18 02:00:00,0.201,0.2015,0.186,0.1945,78500029,2024-06-18 02:14:59.999,15213755.0775,51170,36533043,7085484.5648,0
2024-06-18 02:15:00,0.1946,0.2033,0.1932,0.2011,46172129,2024-06-18 02:29:59.999,9174954.6816,35903,23051457,4583556.4956,0
2024-06-18 02:30:00,0.2012,0.2037,0.1962,0.1968,26967886,2024-06-18 02:44:59.999,5393682.0678,21283,12770718,2557530.5818,0
2024-06-18 02:45:00,0.1968,0.202,0.1962,0.2001,25594019,2024-06-18 02:59:59.999,5108242.9689,19234,12846768,2564462.3579,0
2024-06-18 03:00:00,0.2,0.206,0.1993,0.2031,25601402,2024-06-18 03:14:59.999,5191771.425,19980,13650933,2769848.8628,0
2024-06-18 03:15:00,0.2031,0.2043,0.1919,0.1965,34826105,2024-06-18 03:29:59.999,6901833.7232,26050,15707046,3114391.8528,0
2024-06-18 03:30:00,0.1965,0.2057,0.1963,0.2047,33671168,2024-06-18 03:44:59.999,6769338.4785,27491,17746582,3569578.9273,0
2024-06-18 03:45:00,0.2045,0.2145,0.2024,0.2108,38928359,2024-06-18 03:59:59.999,8093669.7876,28984,20854277,4339122.4384,0
2024-06-18 04:00:00,0.2108,0.2111,0.205,0.208,29173819,2024-06-18 04:14:59.999,6063313.3686,22260,14347303,2983155.7791,0
2024-06-18 04:15:00,0.208,0.2116,0.2042,0.2065,27929352,2024-06-18 04:29:59.999,5814430.8641,22473,14431624,3006251.5351,0
2024-06-18 04:30:00,0.2066,0.2115,0.2052,0.2094,18741741,2024-06-18 04:44:59.999,3907774.4205,15641,9902069,2066187.3196,0
2024-06-18 04:45:00,0.2095,0.211,0.208,0.2081,15916605,2024-06-18 04:59:59.999,3333422.9453,11533,7247867,1518915.2024,0
2024-06-18 05:00:00,0.2081,0.2099,0.203,0.2057,30193031,2024-06-18 05:14:59.999,6217974.3322,22471,14022220,2888368.9517,0
2024-06-18 05:15:00,0.2056,0.206,0.2032,0.2038,22469212,2024-06-18 05:29:59.999,4588123.1995,16219,10562815,2158010.6786,0
2024-06-18 05:30:00,0.2037,0.2039,0.199,0.2025,31850004,2024-06-18 05:44:59.999,6417823.5514,20663,14624431,2948230.3249,0
2024-06-18 05:45:00,0.2025,0.2047,0.1993,0.2001,19171710,2024-06-18 05:59:59.999,3867182.1487,13629,9544799,1926337.0326,0
2024-06-18 06:00:00,0.2001,0.2125,0.1984,0.2115,54618805,2024-06-18 06:14:59.999,11265829.9383,32846,30038213,6200868.6665,0
2024-06-18 06:15:00,0.2116,0.2218,0.2098,0.2159,92209437,2024-06-18 06:29:59.999,19959540.9319,52611,50324207,10895819.3531,0
2024-06-18 06:30:00,0.216,0.2187,0.2105,0.2123,44373677,2024-06-18 06:44:59.999,9519187.8082,25356,20788376,4460310.4997,0
2024-06-18 06:45:00,0.2122,0.216,0.211,0.2116,28026447,2024-06-18 06:59:59.999,5984370.1308,19506,14081725,3007201.8958,0
