open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-06-20 14:30:00,3.648,3.83,3.602,3.7,1945257.5,2024-06-20 14:44:59.999,7244107.6057,18720,915744.9,3411082.2412,0
2024-06-20 14:45:00,3.697,3.845,3.671,3.68,1718404.5,2024-06-20 14:59:59.999,6410947.4177,18773,705249.8,2633435.671,0
2024-06-20 15:00:00,3.679,3.682,3.55,3.583,1924778.8,2024-06-20 15:14:59.999,6939078.147,20607,863300.7,3115193.9294,0
2024-06-20 15:15:00,3.583,3.614,3.411,3.423,3018167.0,2024-06-20 15:29:59.999,10551197.0438,34887,1407166.2,4920327.9125,0
2024-06-20 15:30:00,3.423,3.63,3.403,3.539,3680361.1,2024-06-20 15:44:59.999,12957917.6552,42356,1877105.6,6610378.0513,0
2024-06-20 15:45:00,3.539,3.66,3.513,3.566,3808002.1,2024-06-20 15:59:59.999,13626402.6576,43012,1932328.8,6915897.2051,0
2024-06-20 16:00:00,3.566,3.566,3.41,3.514,3836237.1,2024-06-20 16:14:59.999,13355825.1092,37702,1799268.3,6268858.0797,0
2024-06-20 16:15:00,3.513,3.552,3.378,3.419,2552374.1,2024-06-20 16:29:59.999,8863569.8949,25536,1203472.7,4182727.9543,0
2024-06-20 16:30:00,3.418,3.467,3.354,3.436,2674363.2,2024-06-20 16:44:59.999,9106651.746,28216,1364258.7,4647237.1842,0
2024-06-20 16:45:00,3.436,3.539,3.435,3.522,2103207.4,2024-06-20 16:59:59.999,7333152.1363,21364,1112534.8,3879151.6046,0
2024-06-20 17:00:00,3.52,3.557,3.443,3.47,1603464.5,2024-06-20 17:14:59.999,5605134.3514,18660,762524.7,2666092.7066,0
2024-06-20 17:15:00,3.472,3.582,3.464,3.576,1524051.2,2024-06-20 17:29:59.999,5375666.4841,17128,851882.9,3004785.5864,0
2024-06-20 17:30:00,3.576,3.66,3.547,3.633,1760664.9,2024-06-20 17:44:59.999,6343775.2536,21583,903050.9,3255256.0649,0
2024-06-20 17:45:00,3.634,3.695,3.589,3.69,1833107.3,2024-06-20 17:59:59.999,6678314.5095,20202,913113.7,3327627.0959,0
2024-06-20 18:00:00,3.69,3.812,3.677,3.716,3477172.8,2024-06-20 18:14:59.999,13027182.6266,37754,1735552.3,6502808.701,0
2024-06-20 18:15:00,3.717,3.778,3.675,3.694,1719748.4,2024-06-20 18:29:59.999,6398401.9627,19490,846967.5,3151215.345,0
